postid,tags,title,question,answers,Related
1376,issue,tls   not in built ins,tls not in built ins Why isn t tls and fs in builtins js exports fs require resolve empty js exports tls require resolve empty js I need it,What would you expect the behaviour of those to be in a browser environment Shimming the behaviour of can be somewhat accomplished with or Hi I need fs to read certificate files stored in the user s local file system Additionally and more importantly I need the tls object in order to parse pkcs certificate file contents for digital signature On Emil Bay notificationswrote What would you expect the behaviour of those to be in a browser environment Shimming the behaviour of can be somewhat accomplished with or Reply to this email directly or view it on GitHub You can t just read files from the users system like that You might be able to use FileReader however this requires the user picking the files and AFAIK there isn t a browserify compatible shim around it You might write one yourself defining the methods of in terms of and overriding in the field in See the example Ok reading files is fine I can find many ways on how to do that but what about the TLS object I need it in order to parse the certificates On Emil Bay notificationswrote You can t just read files from the users system like that You might be able to use FileReader however this requires the user picking the files and AFAIK there isn t a browserify compatible shim around it You might write one yourself defining the methods of in terms of and overriding in the field in See the example Reply to this email directly or view it on GitHub How do you parse certificates with the tls package The docs show that is only used to create TLS servers and sockets and could never work in today s browser I parse certificats using Crypto but crypto createCredentials function is deprecated This function is to be used within why browserify should contain TLS,Yes
863,pr,Feature/fix blacklist,Feature fix blacklist Fixing bugs Blacklist was not being updated due to a bad comparison Related pages was not being updated due to not sorting,Nice belated,Yes
1988,issue,rustup hash failing,rustup hash failing Hi the hash of rustup is failing It looks like the json file was updated days ago maybe something wasn t updated properly Installing rustup bit C MB Checking hash of C Hash check failed for Expected b d e a de bd b b f db bb c c e cc a Actual c ada fb d d ad f e e c b f af acd b,Fixed Thanks for being so quick I have a similar issue now with Bucket seems to be updated but hash check is failing fixed with,Yes
7150,issue,[Source Control] Issue trying to checkout a git SSH repository (Failed to start SSH session: Unable to exchange encryption keys),Source Control Issue trying to checkout a git SSH repository Failed to start SSH session Unable to exchange encryption keys Clone any repository with SSH url Create open a Solution in the cloned path in MD Press menu SourceControl Checkout In connect repository url set your SSH url Failed to start SSH session Unable to exchange encryption keys This is the full VS bug,Should be fixed by libgit bump Fixed in version master Pull Request merged by Vsevolod Kukol Author mono Commit e c e bc b fe dec f c eb f b cc mono monodevelop Fixed in version release Pull Request merged by Vsevolod Kukol Author mono Commit e c e bc b fe dec f c eb f b cc xamarin monodevelop Fixed in version master Pull Request merged by Vsevolod Kukol Author mono Commit e c e bc b fe dec f c eb f b cc xamarin monodevelop,Unsure
661,issue,Not able to get encrypted value of string using AES ECB NoPadding,Not able to get encrypted value of string using AES ECB NoPadding Describe the bug String can not be reproduced from the encrypted uint array To Reproduce Steps to reproduce the behavior encrypt a string using ECB block Try to get the string equivalent from the given uint array it gives nil Sample code Expected behavior crash as you unwrap a nil value Environment please complete the following information Swift version Platform iOS macOS Linux mac OS high sierra Installation method CocoaPods Carthage SPM CocoaPods Project name Additional context,String can not be reproduced from the encrypted uint array that s basically how encryption works A string is just a representation of bytes It s not guaranteed that we can form the valid UTF string from the ciphertext I need to send the encrypted string to server So how do I do it depends on what form of data server accepts It may be base encoded or binary Can t tell for sure without checking the protocol docs you re using server is expecting base encoded string value so how can I convert the uint array to base I m sure you checked README for that In case you didn t there is a section about conversion helpers Thanks man,Yes
2228,issue,Sticky cookies are improperly formatted.,Sticky cookies are improperly formatted Steps to reproduce the problem Go to Click Set Test Cookie Observe that one cookie is sent to the server Remove the cookie launch mitmproxy with and tell your browser to use it as a proxy Reload the page Click Set Test Cookie Observe that two cookies are sent to the server Any other comments What have you tried so far There appears to be a comma in the output of mitmproxy even though it is surrounded by quotes It s possible then that this is a parsing fail on the tool s end caused by a difference in what s sent back for the format of the date Still should it really be changing that System information Arch Linux freshly updated Mitmproxy version release version Python version Platform Linux ARCH x with glibc SSL version OpenSSL k Jan,Thanks for the report It looks like we parse it correctly But for some reason includes the attributes in the header My understanding is that this is very wrong We definitely should catch that in our tests So I ve got a hack that seems to fix it If you replace with I don t like this solution though The issue appears to be with how the cookies are stored in the sticky cookie implementation as well as to an extent the implementation Sticky cookies stores them as a list of tuple lists instead of a list of tuples as seems to be used elsewhere expects a list of tuples for each cookie It is noteworthy that this seems broken at the moment because the way it should work as currently implemented should give me cookies for every attribute The changes I would reccomend would be to have take a list tuples same as and change the cookie jar in sticky cookies to store cookies in this same format If there are big issues with this the hack I mentioned above can be applied I m going to go ahead and submit the hack in a pull request for now,Yes
964,pr,[NT-620] Skip danger for external contributors,NT Skip danger for external contributors What Does not run Danger on PRs from external contributors Why We received an external contribution recently and the CircleCI workflow that runs Danger is failing because it does not have access to How Moved the command that we previously used to execute Danger into a bash script and updated it so that it will not run if this environment variable is not available This is the solution described in Danger s docs for not exposing environment vars CircleCI also recommends explicitly passing of secrets to builds that run on forks See Acceptance criteria Danger still runs on our own branches Once this is merged into all CircleCI workflows should pass,,Unsure
7769,pr,Correct instructions for enabling the firewall.,Correct instructions for enabling the firewall Fixes,can you review the changes in my commit Hmm I m ok with more concise wording but it is fairly easy to miss and most VPS hosts don t use the default port Is there a way to make it stand out that you will LOSE access to your machine if you re not careful without using a warning Ah I missed that point Reverted Additional remark should I work in I was debating with myself on how to respond to the comments I think that adding the links would probably be a good idea Taking out the firewall section or recommending skipping it isn t wise in my opinion The last thing we need it more bots added to botnets Even if the programmer doesn t fully understand firewalls the basic instructions as we have them should enable them to reduce the hackability of their machine Links to additional resources would be a nice touch After all the reason a programmer is reading the docs is because he doesn t know the information already go ahead and add the links please review Ok I m satisfied,Yes
4662,pr,"Fix missing ""warn"" transition for spnego weblflow with ""renew"" query param",Fix missing warn transition for spnego weblflow with renew query param param When requesting sso session renew with spnego enabled eg authentication process fails on missing transition for warn User receives error screen instead of being redirected to requested service because ST was succesfully created From application logs,,Yes
6820,pr,bump webpack-dev-server due to security warning,bump webpack dev server due to security warning ,,Yes
