postid,tags,title,question,answers,words,creation_date,Related
40471439,blockchain diffie-hellman encryption javascript,js diffi hellman ssl blockchain auth,tri figur secur qualiti ssl mimick without need central ca mani question set pure-j diffi hellman place ssl roundli refut think understand although complet disagre valu dh-key symmetr encrypt million site go implement full ssl anytim soon either anyway question seem though prevent reason js dh work lose authent still subject man-in-the-middl myriad issu flow attempt resolv one use blockchain certif authority? process form dh key encrypt handshak string known public key blockchain encrypt verifi string dh key handshak string receiv back authent verifi dh secur ssl dh edit mean impli dh symmetr adjust clariti,,encrypt|scripting|diffie hellman|ssl|security|authentication|certificate|authorise|public key,2016-11-07 17:52:22.793 UTC,Yes
32771909,cryptography jar jarsigner java smartcard,sign jar smartcard,use pkcs11 smartcard work jarsign sign jar file use certif card mostli work linux coolkey see card oracl document mention smartcard appar actual provid name -list argument jarsign appear exist final got jarsign see card report valid entri privat key smartcard.config got list alias [from ident #0 comes] programmat load card java whole point smartcard privat key stay card card sign make jarsign want? edit noodl notic seem abl sha1withdsa sha1withrsa print list sha512withrsa sha256withrsa sha1withrsa md5withrsa rsa/ecb/pkcs1pad sha384withrsa md2withrsa rsa pkcs11 notic sign jar seem dsa like issu,ad -sigalg algortihm avail [sha256withrsa case] help jarsign jar contain entri whose certif chain valid mix binari coupl differ jdk accid final command line use ~/cardpass file contain noth notmyrealpass card_linux.config similar @gari b except use opensc command card piv work cac pkcs11.cfg includ card pin command line make prompt pin aka passphras keystor test cac yubikey neo piv configur jdk-1.8.0_102 github mouse07410/opensc,crypt|signing|certificate|validate|private key|dsa|rsa|availability,2015-09-24 22:23:45.947 UTC,Yes
15574818,java jespa ntlm servlets spring-security,cannot creat session respons commit ie7 ie8,work applic allow user login use ntlm form login simultan mean user log use window credenti use jespa possibl logout formulari check user/password database.it work fine work ie8 build bigger 8.0.6001.18702 ie9 firefox chrome work ie7 least 7.0.5730.13 ie8 build 8.0.6001.18702 issu loge user tri log back valid user get follow error securitycontext.xml follow one last method fail method check servletrequest class servletrequest instanceof httpsecurityservletrequest { ie7 ie8 fail servletrequest jespa.http.httpsecurityservletrequest ie8 build fail ie9 ff chrome servlet request one.so reason ofend ie version seem keep send ntlm inform springsecur tri authent version spring 3.1.2 core secur jespa 1.1.7 jcif 1.3.15 ever issue? solv it? thank lot,,security|login|credential|password|validate|authentication,2013-03-22 16:04:18.12 UTC,Yes
19042957,asp.net c# security,strong name assembl,thought learn strong name creat one exampl cacheui project - cacheui.dl creat strong name use sn.ex c:\test.snk ad test.snk project -> properti -> sign -> sign assembl -> choos strong name key file gener public token key understand strong name consist assembl identity・・it simpl text name version number cultur inform provided・・plu public key digit signatur refer strong-nam assembly? delay sign help develop,refer strong-nam assembl normal assembl includ .snk file dll project one benefit sign assembl two version assembl .net automat refer latest one delay sign process gener partial signatur develop access public key privat key store secur use appli final strong name signatur ship project delay sign help organ ensur develop edit code deploy updat malfunct code publish environ enforc better secur,security|signing|public key|signature|private key,2013-09-27 04:51:44.143 UTC,Yes
59694966,ssh digital-ocean cyberduck,eof read packet,connect via sftp digitalocean vps username/password authent cyberduck give follow error connect server via maco termin work fine cau issu,need updat password termin window *open digit ocean panel * go access tab * open consol access * login root access * put password digit ocean send email * put new password yes creat new password login cyberduck,sftp|username|password|authentication|login,11/01/2020 13:43,Yes
59155732,aes cryptoswift encryption swift,decrypt aes ecb mode,tri decrypt simpl frame encrypt follow key know result plaintext swift code convers crypt messag string convers secret key string cryptoswift perform aes decrypt function issu try decrypt messag someon idea understand wrong sure ecb mode nopad option thank,cannot convert arbitrari data utf-8 string line invalid get lucki crash similarli pass string pass data cipher text key,aes|crypt|encrypt|validate|cipher,3/12/2019 11:07,Yes
35482405,java jms jndi,error tri send jms messag,"run applic error jndi connect precis error happen code look jms-server.properti file entir error 12:36:35,198 error jmsmessageproducer:90 - error tri send jms messag javax.naming.namenotfoundexcept incoming1jobsqueu bound org.jnp.server.namingserver.getbindingnamingserver.java:771 org.jnp.server.namingserver.getbindingnamingserver.java:779 org.jnp.server.namingserver.getobjectnamingserver.java:785 org.jnp.server.namingserver.lookupnamingserver.java:443 org.jnp.server.namingserver.lookupnamingserver.java:399 sun.reflect.nativemethodaccessorimpl.invoke0n method >sun.reflect.nativemethodaccessorimpl.invokenativemethodaccessorimpl java:57 >sun.reflect.delegatingmethodaccessorimpl.invokedelegatingmethodacc sorimpl.java:43 java.lang.reflect.method.invokemethod.java:606 sun.rmi.server.unicastserverref.dispatchunicastserverref.java:322 sun.rmi.transport.transport$2.runtransport.java:202 sun.rmi.transport.transport$2.runtransport.java:199 java.security.accesscontroller.doprivilegedn method sun.rmi.transport.transport.servicecalltransport.java:198 >sun.rmi.transport.tcp.tcptransport.handlemessagestcptransport.java:5 67 >sun.rmi.transport.tcp.tcptransport$connectionhandler.run0tcptranspor t.java:828 >sun.rmi.transport.tcp.tcptransport$connectionhandler.access$400tcptr ansport.java:619 >sun.rmi.transport.tcp.tcptransport$connectionhandler$1.runtcptranspo rt.java:684 >sun.rmi.transport.tcp.tcptransport$connectionhandler$1.runtcptranspo rt.java:681 java.security.accesscontroller.doprivilegedn method >sun.rmi.transport.tcp.tcptransport$connectionhandler.runtcptransport .java:681 >java.util.concurrent.threadpoolexecutor.runworkerthreadpoolexecutor java:1145 >java.util.concurrent.threadpoolexecutor$worker.runthreadpoolexecutor .java:615 java.lang.thread.runthread.java:745 >sun.rmi.transport.streamremotecall.exceptionreceivedfromserverstream remotecall.java:275 >sun.rmi.transport.streamremotecall.executecallstreamremotecall.java 252 sun.rmi.server.unicastref.invokeunicastref.java:161 org.jnp.server.namingserver_stub.lookupunknown sourc org.jnp.interfaces.namingcontext.lookupnamingcontext.java:728 org.jnp.interfaces.namingcontext.lookupnamingcontext.java:688 javax.naming.initialcontext.lookupinitialcontext.java:411 >fr.inra.grignon.persyst.web.jms.jmsmessageproducer.sendjmstextmessag jmsmessageproducer.java:74 >fr.inra.grignon.persyst.web.servlet.doresultats.dopostdoresultats.ja va:407 javax.servlet.http.httpservlet.servicehttpservlet.java:650 javax.servlet.http.httpservlet.servicehttpservlet.java:731 >org.apache.catalina.core.applicationfilterchain.internaldofilterappl icationfilterchain.java:303 >org.apache.catalina.core.applicationfilterchain.dofilterapplicationf ilterchain.java:208 >org.apache.tomcat.websocket.server.wsfilter.dofilterwsfilter.java:52 >org.apache.catalina.core.applicationfilterchain.internaldofilterappl icationfilterchain.java:241 >org.apache.catalina.core.applicationfilterchain.dofilterapplicationf ilterchain.java:208 >org.apache.catalina.core.standardwrappervalve.invokestandardwrapperv alve.java:220 >org.apache.catalina.core.standardcontextvalve.invokestandardcontextv alve.java:122 org.apache.tomee.catalina.openejbvalve.invokeopenejbvalve.java:44 >org.apache.catalina.authenticator.authenticatorbase.invokeauthentica torbase.java:505 >org.apache.catalina.core.standardhostvalve.invokestandardhostvalve.j ava:170 >org.apache.catalina.valves.errorreportvalve.invokeerrorreportvalve.j ava:103 >org.apache.catalina.valves.accesslogvalve.invokeaccesslogvalve.java 957 >org.apache.catalina.core.standardenginevalve.invokestandardenginev ve.java:116 >org.apache.catalina.connector.coyoteadapter.servicecoyoteadapter.jav a:423 >org.apache.coyote.http11.abstracthttp11processor.processabstracthttp 11processor.java:1079 >org.apache.coyote.abstractprotocol$abstractconnectionhandler.process abstractprotocol.java:620 org.apache.tomcat.util.net.jioendpoint$socketprocessor.runjioendpoin t.java:316 >java.util.concurrent.threadpoolexecutor.runworkerthreadpoolexecutor java:1145 >java.util.concurrent.threadpoolexecutor$worker.runthreadpoolexecutor .java:615 >org.apache.tomcat.util.threads.taskthread$wrappingrunnable.runtaskth read.java:61 java.lang.thread.runthread.java:745 use jboss tomcat reason jboss jmx consol insert imag indent know problem come connect bound thank advanc help",run jee environ contain go expect jndi name want contain manag resourc nativ make jms resourc queue interest appropri jndi name access,delegation|transport|security|privilege|authentication,2016-02-18 13:09:57.55 UTC,Yes
281068,asp.net-membership c# security,encrypt algorithm .net membership provid,look sourc code .net membership provid sqlmembershipprovider.c call encryptpassword decryptpassword see method anywher sourc algorithm using? sourc releas,although encrypt code public default encrypt membership provid base uniqu machin key sqlmembershipprovid use system.web.security.membershipprovid base class encryptpassword decryptpassword method call base class fire .net reflector point system.web.security.membershipprovid see pretti sure base decrypt/encryptpassword standard .net implement aes perhap key defin somewher probabl machin specif see aesmanag class sqlmembershipprovid deriv membershipprovid inherit encryptpassword decryptpassword look though code reflector look algorithm des key 8 byte long aes rijndael otherwis,security|encrypt|crypt|password|aes|rijndael,2008-11-11 14:47:07.373 UTC,Yes
45281845,https security swift transport,app transport secur error despit use http,essenti use url session pull data https://www.floridabar.org/mybarprofile/ see use http visit site verifi inde issu certif entrust cert valid yet error app transport secur block cleartext http http:// resourc load sinc insecur temporari except configur via app info.plist file know bypass via info.plist feel given http code,,security|transport|certificate|trust|validate|insecure|bypass,2017-07-24 13:22:45.213 UTC,Yes
21917034,https java x509,modifi x509 certif,want show modifi one bit byte given x509 certif signatur verif result fals modif result differ hash valu certif stuck case modif certif use gettbscertif method follow code verif process perfectli tri make fail use bit byte modif idea work note idea propos proof modif certif make failur signatur verif setup proof-of-concept code show verif fail,mr mike row data der-encod certif inform tbs part extract copi content array b anoth array bcopi loop ever modif want i.e use mask techniqu and x55 hash valu point hash valu modifi certif go extract signatur origin certif [ ] decrypt signatur hash valu compar modifi hash valu good luck note idea propos proof modif certif make failur signatur verif demonstr certain probabl correct simpli flip random bit valid certif attempt yo valid howev cannot prove proper proof requir mathemat proof properli implement x509 certif properti formal-method proof code load certif verif correctli implement look rfc 5280 cert 3 field tbscertif signaturealgorithm signaturevalu signaturevalu last item certif similar requir step follow 1 certif .crt format base-64 encod file cert enclos -----begin certificate----- -----end certificate----- edit last charact certif line end certif line add 1 charact reduc 1 last charact x make either w chang signatur certif signatur valid anymor chang byte array obtain certif chang certif reload byte array use,certificate|signature|hash|encode|crypt|validate,2014-02-20 16:40:03.85 UTC,Yes
