postid,creation_date
37996679,2016-06-23 16:06:03.807 UTC
4915459,2011-02-06 19:12:04.263 UTC
37980604,2016-06-23 00:59:33.497 UTC
51142419,2018-07-02 19:12:18.103 UTC
39982765,2016-10-11 17:04:04.9 UTC
22174349,2014-03-04 14:14:20.893 UTC
25636452,2014-09-03 04:50:57.74 UTC
2938563,2010-05-30 12:17:24.35 UTC
7853859,2011-10-21 18:44:49.053 UTC
4887698,2011-02-03 14:55:56.943 UTC
9863224,2012-03-25 19:20:47.087 UTC
36036657,2016-03-16 13:10:07.59 UTC
17288565,2013-06-25 03:13:30.293 UTC
46927980,2017-10-25 08:51:17.267 UTC
28281094,2015-02-02 15:29:00.523 UTC
27977889,2015-01-16 05:36:10.88 UTC
49167906,2018-03-08 07:45:24.46 UTC
39039209,2016-08-19 12:35:20.823 UTC
53076395,2018-10-31 04:37:47.193 UTC
43377163,2017-04-12 18:36:30.277 UTC
23081693,2014-04-15 10:58:51.233 UTC
22591882,2014-03-23 14:02:27.02 UTC
540738,2009-02-12 10:27:37.003 UTC
27929466,2015-01-13 18:57:07.337 UTC
17881363,2013-07-26 12:30:21.523 UTC
23604347,2014-05-12 08:32:21.457 UTC
31192581,2015-07-02 19:00:54.483 UTC
45866462,2017-08-24 16:11:45.133 UTC
15552677,2013-03-21 16:12:43.15 UTC
40641732,2016-11-16 20:30:36.173 UTC
12122513,2012-08-25 13:43:56.237 UTC
7230979,2011-08-29 13:44:58.087 UTC
15152386,2013-03-01 07:04:49.41 UTC
3511573,2010-08-18 11:33:22.297 UTC
51221457,2018-07-07 08:44:22.753 UTC
47366815,2017-11-18 13:49:06.703 UTC
24364973,2014-06-23 11:39:34.453 UTC
41872614,2017-01-26 11:37:04.257 UTC
51022191,2018-06-25 11:16:15.19 UTC
24130154,2014-06-09 22:37:44.173 UTC
30943760,2015-06-19 17:16:14.503 UTC
22260086,2014-03-07 20:29:40.25 UTC
21038504,2014-01-10 07:33:09.463 UTC
38340491,2016-07-12 23:42:10.79 UTC
34807248,2016-01-15 08:47:36.313 UTC
52485318,2018-09-24 18:30:00.117 UTC
884207,2009-05-19 17:58:14.677 UTC
36385943,2016-04-03 13:25:36.847 UTC
52012625,2018-08-24 22:56:01.643 UTC
37394016,2016-05-23 14:42:30.297 UTC
12851472,2012-10-12 02:42:14.95 UTC
51705835,2018-08-06 10:45:07.617 UTC
1973031,2009-12-29 05:13:57.727 UTC
2770550,2010-05-05 04:06:43.483 UTC
56358714,2019-05-29 10:44:58.673 UTC
44629836,2017-06-19 11:51:17.903 UTC
46516566,2017-10-01 20:24:50.133 UTC
4907890,2011-02-05 15:59:13.883 UTC
32082052,2015-08-18 20:29:41.887 UTC
12329508,2012-09-08 09:12:54.197 UTC
15053373,2013-02-24 15:41:48.043 UTC
19391834,2013-10-15 21:56:43 UTC
32133770,2015-08-21 06:30:47.963 UTC
8715794,2012-01-03 17:00:26.597 UTC
49321590,2018-03-16 13:08:35.243 UTC
21281609,2014-01-22 11:25:37.457 UTC
7281067,2011-09-02 08:41:22.03 UTC
8431524,2011-12-08 13:12:28.423 UTC
12891508,2012-10-15 08:04:35.733 UTC
57132022,2019-07-21 09:50:26.003 UTC
12758067,2012-10-06 08:22:14.97 UTC
26498357,2014-10-21 23:58:43.73 UTC
19204816,2013-10-06 02:31:37.057 UTC
30302992,2015-05-18 12:15:46.2 UTC
15655870,2013-03-27 09:50:42.583 UTC
55081689,2019-03-09 20:32:50.237 UTC
10924900,2012-06-07 02:32:15.23 UTC
48495891,2018-01-29 06:54:47.807 UTC
48277853,2018-01-16 09:24:24.307 UTC
42104624,2017-02-08 04:18:41.223 UTC
46731754,2017-10-13 14:04:52.577 UTC
18280511,2013-08-16 19:12:15.113 UTC
6506771,2011-06-28 12:56:55.057 UTC
55530449,2019-04-05 07:38:19.85 UTC
39830196,2016-10-03 11:09:49.453 UTC
46343384,2017-09-21 11:59:57.577 UTC
31642913,2015-07-26 23:14:42.07 UTC
54307713,2019-01-22 11:51:37.777 UTC
23347965,2014-04-28 17:54:51.847 UTC
12855050,2012-10-12 08:27:40.463 UTC
17339512,2013-06-27 09:29:34.337 UTC
42708468,2017-03-10 01:18:26.553 UTC
31737763,2015-07-31 03:50:16.297 UTC
22965019,2014-04-09 14:02:26.54 UTC
8539810,2011-12-16 20:34:58.793 UTC
14469308,2013-01-22 22:34:24.14 UTC
31060794,2015-06-25 21:06:13.627 UTC
32343206,2015-09-02 01:13:48.263 UTC
21557713,2014-02-04 16:19:40.073 UTC
19321829,2013-10-11 15:26:53.717 UTC
19833842,2013-11-07 10:43:58.62 UTC
52347404,2018-09-15 17:57:06.113 UTC
53961609,2018-12-28 16:38:43.397 UTC
19044236,2013-09-27 06:39:23.193 UTC
15285645,2013-03-08 02:24:04.877 UTC
55586710,2019-04-09 06:51:31.687 UTC
34443523,2015-12-23 20:51:02.577 UTC
15453644,2013-03-16 19:23:12.123 UTC
30749139,2015-06-10 06:55:31.783 UTC
49364229,2018-03-19 13:31:56.693 UTC
6140219,2011-05-26 14:27:19.01 UTC
4081333,2010-11-02 19:22:11.66 UTC
56518635,2019-06-09 21:53:06.09 UTC
604792,2009-03-03 01:38:09.06 UTC
17209856,2013-06-20 09:18:05.18 UTC
43369486,2017-04-12 12:25:34.997 UTC
37370596,2016-05-22 04:35:56.977 UTC
35985608,2016-03-14 10:54:45.62 UTC
17219626,2013-06-20 17:05:15.69 UTC
5249713,2011-03-09 17:28:41.977 UTC
32372289,2015-09-03 09:48:15.017 UTC
46294947,2017-09-19 07:55:18.913 UTC
42386850,2017-02-22 08:59:58.42 UTC
41276262,2016-12-22 05:22:18.87 UTC
55042749,2019-03-07 11:29:51.367 UTC
41070550,2016-12-09 23:45:16.98 UTC
48711085,2018-02-09 17:24:43.05 UTC
41601859,2017-01-11 22:27:13.8 UTC
11960326,2012-08-14 20:34:53.293 UTC
15881490,2013-04-08 14:16:41.263 UTC
550908,2009-02-15 13:58:26.15 UTC
38744181,2016-08-03 12:49:30.613 UTC
1597727,2009-10-20 22:43:46.333 UTC
32858546,2015-09-30 05:37:58.87 UTC
56976744,2019-07-10 18:35:26.493 UTC
33817877,2015-11-20 02:13:30.783 UTC
15055052,2013-02-24 18:29:40.56 UTC
49503866,2018-03-27 03:24:26.667 UTC
6569672,2011-07-04 09:37:43.137 UTC
53348731,2018-11-17 06:12:15.377 UTC
4947544,2011-02-09 16:20:47.387 UTC
54671064,2019-02-13 13:13:44.143 UTC
13898598,2012-12-16 04:26:33.093 UTC
26583294,2014-10-27 08:09:02.167 UTC
39612824,2016-09-21 09:37:46.983 UTC
31297610,2015-07-08 15:49:05.44 UTC
50425424,2018-05-19 12:42:21.96 UTC
48820845,2018-02-16 05:52:43.983 UTC
14336570,2013-01-15 11:17:24.913 UTC
28183421,2015-01-28 02:03:22.133 UTC
977007,2009-06-10 17:22:21.653 UTC
10148836,2012-04-13 21:56:31.423 UTC
51814391,2018-08-13 02:13:04.32 UTC
8791452,2012-01-09 16:10:39.877 UTC
11087700,2012-06-18 17:10:12.39 UTC
1499283,2009-09-30 16:34:08.463 UTC
51714595,2018-08-06 19:40:22.023 UTC
8953498,2012-01-21 13:54:12.977 UTC
4410821,2010-12-10 16:11:52.687 UTC
56385988,2019-05-30 21:42:58.5 UTC
22521646,2014-03-20 01:25:51.467 UTC
9782988,2012-03-20 07:43:02.327 UTC
18697352,2013-09-09 11:35:23.667 UTC
1487738,2009-09-28 15:34:32.513 UTC
7753130,2011-10-13 11:03:05.457 UTC
44289260,2017-05-31 15:46:20.29 UTC
49667486,2018-04-05 08:22:21.997 UTC
16495382,2013-05-11 08:46:00.187 UTC
37002314,2016-05-03 11:02:07.537 UTC
24580012,2014-07-04 19:34:36.223 UTC
39576791,2016-09-19 15:27:01.943 UTC
22576380,2014-03-22 10:28:22.06 UTC
1902453,2009-12-14 18:00:53.523 UTC
20410497,2013-12-05 20:55:26.527 UTC
8551485,2011-12-18 11:42:09.95 UTC
4772470,2011-01-23 05:25:21.31 UTC
19725162,2013-11-01 10:42:27.14 UTC
13549242,2012-11-25 07:46:26.77 UTC
44939166,2017-07-06 03:10:44.967 UTC
18640345,2013-09-05 15:27:54.977 UTC
27375908,2014-12-09 09:51:57.303 UTC
55906736,2019-04-29 15:45:43.273 UTC
34526675,2015-12-30 09:31:21.327 UTC
44914794,2017-07-04 22:38:29.113 UTC
13471058,2012-11-20 10:19:07.19 UTC
36705886,2016-04-18 23:16:01.013 UTC
30126779,2015-05-08 14:52:07.79 UTC
31025871,2015-06-24 11:56:02.07 UTC
44039073,2017-05-18 05:13:32.437 UTC
15144262,2013-02-28 19:43:29.387 UTC
14954332,2013-02-19 09:42:38.75 UTC
18319989,2013-08-19 17:49:56.513 UTC
39830485,2016-10-03 11:26:13.617 UTC
41263677,2016-12-21 13:16:25.49 UTC
19271751,2013-10-09 12:16:17.497 UTC
18428016,2013-08-25 10:27:24.597 UTC
5225515,2011-03-07 21:32:08.283 UTC
4723368,2011-01-18 11:11:19.84 UTC
16605518,2013-05-17 09:17:54.777 UTC
11966279,2012-08-15 08:37:20.6 UTC
21344764,2014-01-25 00:08:42.88 UTC
56929232,2019-07-08 06:12:52.047 UTC
55536215,2019-04-05 13:11:51.927 UTC
5975147,2011-05-12 08:12:22.153 UTC
6082264,2011-05-21 14:10:51.34 UTC
19270294,2013-10-09 11:04:43.197 UTC
26158498,2014-10-02 10:00:12.877 UTC
25671353,2014-09-04 17:13:34.79 UTC
28100214,2015-01-22 22:59:47.59 UTC
1192485,2009-07-28 07:47:47.27 UTC
29812301,2015-04-23 02:02:37.213 UTC
21420507,2014-01-29 01:42:27.58 UTC
1483595,2009-09-27 13:37:02.15 UTC
13491428,2012-11-21 10:39:28.423 UTC
13667437,2012-12-02 07:51:08.977 UTC
37720467,2016-06-09 08:19:34.48 UTC
30011090,2015-05-03 06:53:12.6 UTC
30904417,2015-06-18 00:01:18.747 UTC
27232823,2014-12-01 16:30:56.467 UTC
54476322,2019-02-01 09:15:38.647 UTC
39253988,2016-08-31 15:49:10.823 UTC
36530314,2016-04-10 13:22:03.26 UTC
21353877,2014-01-25 17:36:59.91 UTC
42129616,2017-02-09 06:22:58.137 UTC
19695201,2013-10-30 22:41:25.89 UTC
6447484,2011-06-22 22:50:08.76 UTC
16173382,2013-04-23 15:29:09.167 UTC
8921895,2012-01-19 06:24:45.483 UTC
27751726,2015-01-03 04:25:19.24 UTC
21199427,2014-01-18 02:53:51.73 UTC
9651372,2012-03-11 00:22:54.63 UTC
18428856,2013-08-25 12:14:23.273 UTC
8203535,2011-11-20 18:06:36.123 UTC
37728599,2016-06-09 14:19:40.06 UTC
32143717,2015-08-21 15:05:07.783 UTC
41420018,2017-01-01 23:45:48.743 UTC
12214690,2012-08-31 11:45:24.817 UTC
45900861,2017-08-27 00:54:20.483 UTC
28926537,2015-03-08 12:45:28.487 UTC
30813812,2015-06-13 00:03:03.617 UTC
16055377,2013-04-17 08:38:31 UTC
40477766,2016-11-08 01:57:28.113 UTC
1872592,2009-12-09 09:19:39.867 UTC
51759897,2018-08-09 06:08:21.82 UTC
4654020,2011-01-11 03:51:08.147 UTC
278651,2008-11-10 17:57:43.713 UTC
27504537,2014-12-16 12:18:53.9 UTC
17694357,2013-07-17 08:02:54.283 UTC
11601332,2012-07-22 14:59:02.523 UTC
27257828,2014-12-02 19:56:53.267 UTC
10629685,2012-05-17 04:06:37.917 UTC
25367503,2014-08-18 16:04:39.22 UTC
1057871,2009-06-29 11:42:38.97 UTC
41756202,2017-01-20 04:36:49.38 UTC
6977784,2011-08-08 04:34:05.713 UTC
51505759,2018-07-24 18:57:22.583 UTC
4957108,2011-02-10 12:31:58.287 UTC
31010002,2015-06-23 17:52:57.01 UTC
16783802,2013-05-28 04:20:18.593 UTC
36153653,2016-03-22 11:51:13.66 UTC
3798193,2010-09-26 14:22:21.913 UTC
26086443,2014-09-28 15:26:12.717 UTC
36308753,2016-03-30 12:22:24.92 UTC
13983318,2012-12-21 02:05:19.35 UTC
18787070,2013-09-13 13:05:46.483 UTC
8591136,2011-12-21 14:11:35.723 UTC
35844468,2016-03-07 13:02:04.113 UTC
30991962,2015-06-23 00:27:17.33 UTC
28242700,2015-01-30 18:49:53.13 UTC
38168323,2016-07-03 08:55:29.467 UTC
53543982,2018-11-29 16:54:33.45 UTC
29527461,2015-04-09 00:07:37.67 UTC
43988249,2017-05-15 20:27:02.66 UTC
35403002,2016-02-15 06:42:12.513 UTC
31725745,2015-07-30 13:55:41.687 UTC
19285545,2013-10-10 01:21:47.5 UTC
8616336,2011-12-23 12:54:21.403 UTC
20744735,2013-12-23 13:38:58.137 UTC
11041188,2012-06-14 20:54:04.847 UTC
21362211,2014-01-26 10:20:53.09 UTC
34616129,2016-01-05 16:08:43.433 UTC
52103803,2018-08-30 19:03:23.333 UTC
10350065,2012-04-27 11:47:04.283 UTC
23556018,2014-05-09 03:11:26.09 UTC
16119786,2013-04-20 11:27:54.487 UTC
