topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,22,7,8,293,323,317,2,0,0,1,0,13,2
topic_1,45,23,17,220,744,682,1,0,0,1,0,19,1
topic_2,2,0,0,12,28,23,0,0,0,0,0,3,0
topic_3,69,11,26,258,751,743,0,0,0,0,0,17,1
topic_4,83,20,22,559,1033,973,1,0,0,0,0,42,0
topic_5,63,38,21,312,781,723,1,0,0,1,0,14,0
topic_6,36,3,1,199,4174,599,0,0,0,0,0,45,0
topic_7,40,17,8,202,346,330,1,0,1,0,0,20,0
topic_8,109,25,29,513,936,880,5,0,0,1,0,43,0
topic_9,81,9,7,234,557,543,3,0,0,0,0,41,2
topic_10,73,17,9,348,727,709,0,0,2,0,0,48,1
