topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,50,0,0,0,2,0,0,0,392,22
topic_1,170,26,3,8,21,9,0,1,514,54
topic_2,4,1,1,1,1,0,0,0,48,4
topic_3,282,0,0,0,4,5,3,1,866,81
topic_4,282,1,1,3,14,11,2,3,911,107
topic_5,95,0,1,1,3,3,2,0,616,39
topic_6,13,3,0,1,2,0,0,0,542,11
topic_7,54,1,1,1,4,3,0,2,453,34
topic_8,203,3,2,10,6,6,1,1,1069,87
topic_9,177,0,0,0,1,9,3,3,456,40
topic_10,186,3,1,1,21,7,0,2,525,58
