topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,663,372,52,1695,1912,1546,2,0,5,0,0,844,31
topic_1,39,39,16,51,368,357,1,0,0,1,0,6,0
topic_2,47,15,6,58,84,84,0,0,0,0,0,23,2
topic_3,142,30,17,121,393,379,1,0,2,0,0,120,15
topic_4,13,11,12,23,198,198,4,0,0,1,0,7,1
topic_5,112,79,20,97,551,526,1,0,1,0,0,37,1
topic_6,127,43,11,191,424,314,0,0,0,0,0,49,2
topic_7,37,6,7,27,210,181,0,0,0,0,0,9,1
topic_8,122,58,13,272,676,585,2,0,0,0,0,85,0
topic_9,49,21,18,86,584,530,1,0,1,1,0,18,0
topic_10,36,5,9,16,279,283,0,0,2,0,0,14,0
topic_11,66,76,9,124,416,349,0,0,3,1,0,86,0
topic_12,82,68,10,153,445,351,0,0,0,0,0,40,8
topic_13,123,68,23,125,980,873,2,0,1,0,0,19,1
topic_14,170,124,30,72,1288,1270,1,0,1,0,0,21,1
topic_15,127,53,25,265,508,420,0,0,2,0,0,146,13
topic_16,120,59,14,71,813,790,2,0,0,0,0,11,0
topic_17,106,23,12,295,801,669,0,0,0,0,0,101,5
topic_18,118,43,22,206,1000,979,0,0,2,0,0,77,18
topic_19,89,38,10,68,412,407,1,0,0,0,0,1,0
topic_20,26,10,1,25,99,98,0,0,2,0,0,7,0
topic_21,75,51,8,151,549,513,0,0,0,1,0,92,11
topic_22,50,47,6,65,399,378,0,0,0,1,0,21,1
topic_23,139,68,26,219,693,674,3,0,1,1,0,59,7
topic_24,132,57,20,169,712,703,0,0,1,0,0,26,0
topic_25,203,97,14,82,495,497,0,0,0,0,0,52,5
