topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,283,0,2,0,19,8,2,3,2835,137
topic_1,78,5,2,3,0,0,0,0,352,23
topic_2,16,0,0,0,0,1,0,1,160,10
topic_3,49,1,0,1,1,0,0,1,300,19
topic_4,30,0,0,1,0,0,0,0,228,8
topic_5,72,0,3,1,3,2,0,1,615,28
topic_6,41,0,2,0,5,1,1,2,373,22
topic_7,43,0,0,0,0,1,0,1,131,10
topic_8,114,30,11,4,5,3,0,0,405,35
topic_9,133,0,2,0,3,1,0,0,395,47
topic_10,27,0,0,0,0,0,0,0,211,8
topic_11,40,0,0,0,0,1,0,1,263,22
topic_12,59,0,0,1,0,1,0,0,269,19
topic_13,172,4,1,1,21,3,3,3,521,65
topic_14,157,3,2,2,6,0,1,2,728,65
topic_15,23,0,0,1,2,2,1,2,364,15
topic_16,186,0,0,0,3,0,0,1,300,47
topic_17,81,1,0,0,0,4,0,0,385,27
topic_18,174,0,0,0,6,2,0,3,684,62
topic_19,31,0,0,0,0,0,0,0,280,17
topic_20,9,0,1,0,0,12,0,0,130,8
topic_21,87,0,1,1,7,5,0,1,341,30
topic_22,20,1,0,1,0,1,0,0,239,12
topic_23,78,1,2,5,18,1,0,4,685,42
topic_24,72,0,0,0,0,0,0,0,430,31
topic_25,39,0,0,1,1,0,0,0,264,24
