topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,331,68,33,1711,981,863,1,0,7,0,0,523,7
topic_1,154,40,40,601,791,779,0,0,0,0,0,86,3
topic_2,55,14,15,430,523,439,0,0,2,0,0,60,4
topic_3,106,26,36,514,1048,1025,5,0,0,1,0,53,0
topic_4,141,18,27,1179,1487,1423,0,0,1,0,0,412,35
topic_5,151,44,33,926,1918,1771,1,0,2,1,0,322,34
topic_6,89,10,42,580,1137,1113,2,0,1,0,0,53,10
topic_7,31,6,15,313,192,173,0,0,2,0,0,32,1
topic_8,41,27,11,364,276,267,3,0,0,0,0,60,0
topic_9,70,74,27,518,433,351,2,0,1,0,0,35,4
topic_10,74,13,11,489,259,244,0,0,1,0,0,74,1
topic_11,156,45,36,421,927,922,1,0,4,4,0,92,4
topic_12,172,10,18,771,451,433,1,0,4,0,0,164,0
topic_13,110,26,31,1143,1124,908,1,0,1,0,0,500,31
topic_14,55,14,16,377,485,462,0,0,0,0,0,90,21
topic_15,50,16,18,327,634,627,0,0,0,0,0,69,5
topic_16,64,45,30,462,1216,1186,0,0,0,0,0,43,2
topic_17,20,6,1,41,57,52,0,0,1,0,0,28,0
topic_18,102,20,18,351,600,568,0,0,1,0,0,53,2
