topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,85,2,1,1,5,8,0,0,2538,67
topic_1,123,2,2,1,7,0,2,1,1047,56
topic_2,62,0,0,0,2,0,0,0,530,27
topic_3,255,4,1,0,0,4,1,3,1298,106
topic_4,110,0,0,0,22,12,1,0,1047,74
topic_5,247,2,1,2,9,7,1,1,1093,87
topic_6,149,3,1,1,2,1,0,4,990,55
topic_7,10,2,0,0,1,0,0,0,328,7
topic_8,20,0,0,0,0,5,0,0,486,16
topic_9,46,0,0,1,1,0,2,3,863,27
topic_10,40,1,0,7,1,0,0,0,559,22
topic_11,222,1,0,2,21,2,4,3,1012,93
topic_12,22,0,0,1,3,3,0,1,927,19
topic_13,44,0,0,1,4,4,0,0,1206,31
topic_14,42,0,0,0,1,0,0,0,554,16
topic_15,101,1,0,0,5,1,0,1,599,39
topic_16,277,7,9,0,8,7,5,4,908,85
topic_17,1,0,0,0,0,0,0,0,88,1
topic_18,131,4,1,0,8,0,0,7,720,36
