links,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
https://api.github.com/repos/0xbadjuju/Tokenvator/issues/2,1,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/de4dot/issues/127,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/de4dot/issues/131,0,0,0,1,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/de4dot/issues/132,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/de4dot/issues/133,0,0,0,1,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/de4dot/issues/134,0,0,0,1,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/de4dot/issues/154,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/de4dot/issues/182,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/de4dot/issues/206,0,0,0,1,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/dnSpy/issues/3,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/dnSpy/issues/4,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/dnSpy/issues/8,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/dnSpy/issues/20,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/dnSpy/issues/24,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/dnlib/issues/9,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/dnlib/issues/14,0,0,0,1,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/dnlib/issues/21,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/dnlib/issues/24,0,0,0,0,0,0,0,0,0,0,0,0,0
https://api.github.com/repos/0xd4d/dnlib/issues/37,0,0,0,0,0,0,0,0,0,0,0,0,0
