topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,163,50,8,704,605,473,1,0,1,0,0,173,6
topic_1,866,5,23,756,3165,2882,0,0,0,0,0,1062,3
topic_2,35,11,4,131,179,168,1,0,0,0,0,22,0
topic_3,72,49,7,329,340,281,0,0,0,1,0,95,3
topic_4,39,16,4,161,175,147,1,0,0,0,0,34,0
topic_5,4,5,0,54,32,32,0,0,0,0,0,11,0
topic_6,92,19,14,222,549,527,0,0,0,0,0,28,1
topic_7,483,149,39,757,1172,803,3,0,0,0,0,211,6
topic_8,30,8,2,178,83,63,0,0,0,0,0,52,0
topic_9,115,40,8,104,224,208,0,0,0,0,0,36,2
topic_10,175,80,24,366,727,663,3,0,0,0,0,77,3
topic_11,5,0,0,10,55,6,0,0,0,0,0,1,0
topic_12,57,25,6,170,214,199,1,0,0,0,0,83,3
topic_13,763,124,41,3972,4637,3480,0,0,5,0,0,2494,57
topic_14,35,4,2,69,117,100,0,0,0,0,0,24,1
topic_15,10,6,1,55,92,81,0,0,0,0,0,5,0
topic_16,359,83,19,246,697,662,1,0,0,0,0,55,0
topic_17,107,19,17,334,651,654,0,0,0,0,0,173,0
topic_18,50,14,3,193,132,123,0,0,0,0,0,76,1
topic_19,2548,1452,284,6817,17943,16193,14,0,6,2,0,1711,87
topic_20,52,31,7,274,475,474,3,0,1,0,0,76,0
topic_21,953,355,114,1480,3779,3518,8,0,2,1,0,111,1
topic_22,22,16,0,88,172,170,0,0,0,0,0,15,3
topic_23,102,23,10,46,505,418,0,0,0,0,0,15,0
