topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,93,5,0,1,8,3,2,0,751,38
topic_1,63,0,7,0,8,5,0,0,749,40
topic_2,37,0,0,13,7,2,4,3,235,15
topic_3,83,0,3,0,1,0,0,1,429,36
topic_4,24,1,0,0,0,2,0,0,237,15
topic_5,19,0,0,0,0,0,0,0,66,3
topic_6,76,0,0,1,2,3,0,0,427,32
topic_7,228,0,0,1,5,5,2,2,1179,97
topic_8,10,0,0,0,0,0,0,0,170,6
topic_9,48,0,0,0,1,1,1,0,198,22
topic_10,247,0,0,2,8,6,1,2,777,74
topic_11,1,0,0,0,0,0,0,0,16,1
topic_12,115,0,0,0,2,4,0,0,349,32
topic_13,178,0,1,1,42,50,8,5,3426,110
topic_14,6,0,0,1,0,0,0,0,80,4
topic_15,6,0,0,0,0,0,0,3,138,5
topic_16,242,0,1,0,3,3,1,5,575,77
topic_17,55,0,0,0,2,6,1,0,440,21
topic_18,31,0,0,0,0,3,0,0,208,16
topic_19,5665,102,54,35,264,207,40,36,9609,1422
topic_20,810,1,0,1,10,2,0,0,550,120
topic_21,787,3,0,3,17,5,1,3,3267,281
topic_22,41,0,0,0,1,2,0,0,149,20
topic_23,197,0,0,0,0,0,0,1,263,47
