topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,1338,548,159,3391,10276,7343,13,0,6,2,0,765,19
topic_1,650,129,47,2306,3778,2275,1,0,2,0,0,929,12
topic_2,135,31,5,237,245,217,0,0,0,1,0,15,0
topic_3,104,31,21,190,558,554,11,0,0,0,0,27,2
topic_4,165,37,23,441,890,567,7,0,1,0,0,76,0
topic_5,143,71,28,513,1076,622,1,0,0,0,0,158,0
topic_6,285,45,14,578,611,499,1,0,1,0,0,65,0
topic_7,28,0,3,85,131,30,1,0,0,0,0,16,0
topic_8,399,186,44,799,1308,1187,4,0,6,0,0,106,4
topic_9,53,2,0,37,77,57,0,0,0,0,0,3,1
topic_10,24,0,1,37,72,37,0,0,0,0,0,5,0
topic_11,51,19,12,65,343,333,0,0,0,0,0,8,0
topic_12,135,64,9,187,596,454,0,0,0,0,0,61,1
topic_13,61,4,8,160,213,201,0,0,0,0,0,32,0
