topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,1156,19,6,22,62,30,3,8,5086,447
topic_1,82,0,4,0,11,19,2,2,2132,47
topic_2,32,0,0,0,0,0,0,0,412,16
topic_3,183,14,10,1,13,9,2,2,721,57
topic_4,79,0,0,2,3,2,0,1,741,37
topic_5,42,0,0,0,10,2,1,2,629,24
topic_6,81,0,0,2,0,0,0,0,815,40
topic_7,3,0,0,0,0,0,0,0,100,2
topic_8,218,0,1,6,4,5,0,0,1664,98
topic_9,3,0,0,0,0,0,0,0,147,3
topic_10,5,0,0,0,0,0,0,0,95,4
topic_11,44,0,0,1,0,1,0,0,290,14
topic_12,51,1,1,1,1,1,2,1,529,28
topic_13,26,1,1,1,2,1,0,0,286,12
