topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,142,43,22,547,956,855,4,0,0,1,0,105,2
topic_1,249,130,24,445,878,765,0,0,1,0,0,91,3
topic_2,93,44,15,398,499,416,1,0,0,1,0,54,0
topic_3,283,61,27,2450,2564,1488,1,0,0,0,0,609,17
topic_4,1073,649,203,3303,11089,9435,11,0,5,2,0,623,19
topic_5,75,7,10,269,387,291,0,0,1,0,0,45,0
topic_6,20,2,4,59,171,123,0,0,0,0,0,7,0
topic_7,74,15,3,201,271,232,0,0,0,0,0,39,1
topic_8,134,37,29,354,1187,1081,1,0,0,0,0,34,1
topic_9,37,15,24,303,870,730,0,0,0,0,0,16,4
topic_10,53,5,15,216,360,350,1,0,0,0,0,38,1
topic_11,198,172,36,364,1030,909,11,0,1,1,0,33,0
topic_12,147,33,17,321,792,697,3,0,0,0,0,95,2
topic_13,42,25,9,261,258,249,1,0,0,0,0,78,4
topic_14,15,3,2,59,60,62,0,0,0,0,0,11,0
topic_15,83,38,16,337,403,365,3,0,0,1,0,89,0
topic_16,28,1,10,166,414,350,1,0,0,0,0,16,0
