topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,230,0,0,2,3,5,2,2,1005,117
topic_1,160,3,1,10,11,14,0,2,881,75
topic_2,157,1,19,0,11,13,1,5,715,59
topic_3,274,0,1,0,60,23,3,0,1427,152
topic_4,3690,52,21,22,187,98,16,23,5820,874
topic_5,139,0,0,6,2,3,1,0,506,42
topic_6,46,4,2,2,2,5,0,1,188,25
topic_7,91,0,0,2,2,1,1,3,366,41
topic_8,433,10,1,4,20,9,7,5,954,106
topic_9,332,1,1,1,5,1,0,2,703,81
topic_10,235,0,1,0,12,12,1,5,400,59
topic_11,284,5,3,6,12,5,4,10,1295,120
topic_12,171,3,5,2,3,9,1,5,757,62
topic_13,30,1,0,1,3,6,0,0,279,14
topic_14,8,0,0,0,0,0,0,3,83,4
topic_15,593,3,1,4,4,4,1,20,587,110
topic_16,58,0,0,0,0,0,1,5,280,27
