topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,77,0,1,1,1,0,7,5,308,21
topic_1,24,0,0,0,1,0,0,0,200,6
topic_2,10,0,0,0,0,0,0,0,89,6
topic_3,26,0,0,1,0,0,0,0,109,16
topic_4,32,0,0,0,0,0,0,0,325,15
topic_5,53,0,0,0,0,0,0,0,185,18
topic_6,11,0,0,0,0,0,0,0,85,7
topic_7,56,1,0,0,0,0,0,0,196,15
topic_8,9,0,0,0,1,1,0,0,162,6
topic_9,30,0,0,0,2,1,0,0,274,13
topic_10,82,0,0,0,5,2,0,0,132,21
topic_11,29,0,0,0,1,0,0,3,270,13
topic_12,23,0,0,0,6,0,2,0,96,9
topic_13,10,0,0,0,1,0,0,0,41,4
