topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,542,109,24,1385,1032,791,7,0,2,1,0,332,7
topic_1,187,165,62,589,3026,2704,2,0,1,1,0,63,0
topic_2,165,169,41,452,1369,1182,1,0,1,0,0,76,2
topic_3,62,23,14,165,761,701,0,0,1,0,0,4,0
topic_4,126,100,27,361,892,787,1,0,1,0,0,42,1
topic_5,112,83,38,525,1460,1370,2,0,0,1,0,30,5
topic_6,196,128,36,718,1351,1133,1,0,1,0,0,33,2
topic_7,46,81,10,214,575,527,1,0,0,0,0,12,4
topic_8,74,44,30,256,721,657,1,0,1,0,0,49,1
topic_9,119,85,28,383,1108,1076,1,0,1,2,0,32,0
topic_10,207,70,35,303,1083,1079,9,0,4,0,0,34,2
topic_11,142,96,20,400,1237,842,0,0,2,0,0,79,4
topic_12,50,47,21,230,793,689,1,0,0,2,0,14,1
topic_13,123,120,41,359,1574,1442,2,0,1,1,0,49,3
topic_14,454,185,44,1769,2786,2383,1,0,2,0,0,819,57
topic_15,129,249,60,223,1917,1603,11,0,0,0,0,34,0
topic_16,110,101,24,281,1868,1727,5,0,0,0,0,42,1
topic_17,111,49,41,391,1243,1059,5,0,2,0,0,35,2
topic_18,87,82,34,242,1687,1564,0,0,1,0,0,45,3
