topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,193,11,9,3,16,7,1,1,2850,121
topic_1,731,38,17,6,70,51,22,17,1338,195
topic_2,188,4,1,4,6,8,0,3,1022,72
topic_3,35,0,0,0,0,1,0,1,550,22
topic_4,92,2,1,3,0,1,0,2,933,50
topic_5,277,10,0,0,17,9,0,0,1018,94
topic_6,138,6,1,5,11,8,0,1,1304,75
topic_7,28,0,1,6,6,1,0,1,397,20
topic_8,132,2,1,0,0,3,0,3,745,53
topic_9,212,0,5,8,7,4,1,11,1069,84
topic_10,161,0,0,6,3,1,0,0,858,70
topic_11,111,2,0,1,11,4,0,0,791,49
topic_12,105,6,3,1,3,1,0,0,680,46
topic_13,419,11,0,11,27,11,12,1,1359,128
topic_14,196,18,3,1,47,20,5,1,1844,95
topic_15,115,2,1,5,3,2,0,3,1056,56
topic_16,179,5,0,7,9,5,2,1,851,66
topic_17,149,5,0,1,1,1,0,2,1043,73
topic_18,130,4,2,6,10,10,0,1,682,58
