topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,257,82,28,1629,1387,1203,1,0,1,1,0,281,7
topic_1,16,6,7,52,225,224,0,0,0,0,0,1,1
topic_2,18,18,3,272,502,478,0,0,0,0,0,42,0
topic_3,78,38,14,435,655,599,0,0,0,0,0,253,11
topic_4,92,50,12,294,543,447,0,0,0,0,0,60,0
topic_5,88,32,21,384,641,552,2,0,3,0,0,63,0
topic_6,44,27,9,228,550,476,0,0,0,0,0,27,0
topic_7,108,18,20,793,2163,2167,3,0,0,0,0,43,0
topic_8,16,26,5,113,369,353,0,0,0,0,0,5,0
topic_9,175,26,56,2292,3324,3269,0,0,1,0,0,689,13
topic_10,4,13,0,48,153,162,0,0,0,0,0,1,2
topic_11,103,75,19,344,794,750,0,0,1,2,0,54,3
topic_12,90,71,35,286,1230,1007,0,0,0,0,0,89,0
topic_13,195,133,37,780,2792,2560,0,0,1,1,0,108,5
topic_14,65,67,24,329,1199,1162,0,0,1,0,0,26,1
topic_15,54,20,11,418,1107,1110,5,0,0,0,0,36,0
topic_16,237,226,42,414,2554,2070,3,0,1,0,0,40,0
topic_17,25,17,13,100,449,420,0,0,1,0,0,10,1
topic_18,101,47,32,271,1139,1066,2,0,1,0,0,4,1
topic_19,123,46,21,601,1279,981,0,0,1,1,0,121,6
