topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,320,3,0,0,10,9,2,0,2175,101
topic_1,35,0,1,0,1,0,0,2,290,13
topic_2,15,0,0,0,0,0,0,1,244,12
topic_3,43,0,0,0,9,6,0,1,544,27
topic_4,59,1,2,1,0,1,0,2,483,32
topic_5,149,1,2,0,3,10,1,3,725,38
topic_6,109,1,0,0,3,0,0,2,481,29
topic_7,210,0,0,0,1,4,0,0,802,75
topic_8,73,0,0,1,0,0,0,0,206,10
topic_9,96,1,0,0,7,17,0,2,1771,65
topic_10,7,0,0,0,0,0,0,0,99,5
topic_11,262,12,4,1,11,5,1,3,699,85
topic_12,118,2,2,2,13,3,0,0,654,53
topic_13,420,1,1,1,16,27,1,3,1151,132
topic_14,269,2,1,1,4,6,0,1,691,69
topic_15,155,0,0,0,5,0,0,1,943,55
topic_16,116,0,1,0,3,5,0,21,1117,64
topic_17,41,4,1,2,0,0,0,0,348,23
topic_18,211,0,3,1,8,3,2,3,820,68
topic_19,162,0,1,1,6,12,0,3,1125,73
