topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,72,9,26,476,1497,1001,0,0,0,0,0,35,1
topic_1,23,0,3,148,202,191,0,0,0,0,0,15,0
topic_2,127,26,52,710,2135,1620,1,0,0,1,0,45,0
topic_3,143,58,37,645,2336,2082,1,0,0,1,0,87,3
topic_4,159,31,38,1218,1856,1340,1,0,0,0,0,131,6
topic_5,60,8,125,327,554,493,0,0,0,0,0,118,0
topic_6,411,40,69,2100,3459,3112,0,0,1,0,0,412,5
topic_7,161,46,50,985,3295,2848,0,0,0,0,0,127,1
topic_8,60,29,33,340,949,860,0,0,1,0,0,51,1
topic_9,161,22,29,763,2143,1497,1,0,0,0,0,45,3
topic_10,784,4,42,1121,2546,2410,0,0,3,0,0,57,2
