topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,206,0,1,1,20,22,2,1,920,64
topic_1,20,0,0,0,1,2,0,1,259,13
topic_2,332,0,0,7,28,5,1,6,1624,108
topic_3,407,1,10,18,13,25,0,1,1426,97
topic_4,259,1,1,0,54,14,2,4,1584,94
topic_5,82,0,0,0,2,3,0,1,614,33
topic_6,187,2,2,0,63,37,2,0,2355,93
topic_7,676,13,3,10,93,62,3,33,1621,194
topic_8,103,1,1,0,1,5,0,0,845,51
topic_9,217,0,1,0,35,15,1,1,1676,104
topic_10,183,1,42,4,87,105,7,10,1610,90
