links,type,state,creation date,updated date,closed date,comment count,user count
https://api.github.com/repos/mssun/passforios/issues/218,issue,open,2018-09-18T16:47:48Z,2020-07-07T10:29:49Z,,30,17
https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/50,issue,closed,2016-11-15T01:58:46Z,2019-10-21T10:59:17Z,2017-05-13T08:35:25Z,23,6
https://api.github.com/repos/mssun/passforios/issues/95,issue,closed,2017-06-10T19:38:54Z,2017-07-23T16:55:35Z,2017-07-23T16:55:35Z,22,2
https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/28,issue,closed,2016-08-14T06:57:29Z,2016-09-20T17:57:46Z,2016-09-20T17:57:46Z,4,1
https://api.github.com/repos/mssun/passforios/issues/260,issue,closed,2019-03-30T12:25:39Z,2019-03-31T08:38:33Z,2019-03-31T08:38:33Z,6,2
https://api.github.com/repos/mssun/passforios/issues/142,issue,closed,2017-11-11T22:29:49Z,2017-11-26T17:13:36Z,2017-11-26T17:13:36Z,2,1
https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/52,issue,closed,2017-01-16T17:27:14Z,2017-07-21T18:40:31Z,2017-02-02T01:39:46Z,7,2
https://api.github.com/repos/mssun/passforios/issues/270,issue,closed,2019-05-26T17:28:13Z,2019-11-25T07:05:16Z,2019-11-25T07:04:47Z,6,2
https://api.github.com/repos/mssun/passforios/issues/80,issue,closed,2017-05-15T12:28:12Z,2017-06-21T05:21:23Z,2017-06-21T05:21:23Z,8,3
https://api.github.com/repos/mssun/passforios/issues/305,issue,closed,2019-09-16T19:42:12Z,2019-11-23T00:12:33Z,2019-11-23T00:12:33Z,5,2
https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/144,issue,open,2018-11-29T10:46:29Z,2020-05-28T06:21:01Z,,4,4
https://api.github.com/repos/shadowsocks/ShadowsocksX-NG/issues/647,issue,closed,2017-12-08T02:52:53Z,2018-07-30T16:42:10Z,2018-01-15T07:47:01Z,7,2
https://api.github.com/repos/mssun/passforios/issues/215,issue,closed,2018-09-06T15:09:13Z,2018-09-30T17:15:34Z,2018-09-30T17:15:34Z,1,1
https://api.github.com/repos/Carthage/Carthage/issues/219,issue,closed,2014-12-18T16:38:52Z,2018-02-25T20:17:17Z,2015-08-03T02:05:31Z,22,10
https://api.github.com/repos/mssun/passforios/issues/170,issue,closed,2018-03-26T21:05:29Z,2018-04-09T10:41:16Z,2018-04-09T10:41:16Z,4,3
https://api.github.com/repos/RNCryptor/RNCryptor/issues/37,issue,closed,2012-11-09T12:23:17Z,2013-01-30T09:49:18Z,2013-01-30T09:49:18Z,4,1
https://api.github.com/repos/mssun/passforios/issues/157,issue,closed,2018-01-22T20:36:10Z,2018-09-30T18:01:08Z,2018-09-30T18:01:08Z,2,1
https://api.github.com/repos/Carthage/Carthage/issues/2517,issue,closed,2018-07-17T11:14:59Z,2018-11-25T14:16:38Z,2018-11-25T14:16:38Z,10,5
https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/112,issue,closed,2018-04-04T10:39:06Z,2018-07-11T20:03:38Z,2018-07-11T20:03:38Z,2,1
https://api.github.com/repos/buildasaurs/Buildasaur/issues/260,pr,closed,2016-05-06T23:48:05Z,2016-05-10T13:31:17Z,2016-05-10T13:31:17Z,2,2
https://api.github.com/repos/Carthage/Carthage/issues/447,issue,closed,2015-05-09T04:11:57Z,2018-06-23T20:33:57Z,2015-05-12T20:34:20Z,30,16
https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/106,issue,closed,2018-02-19T04:50:22Z,2018-04-30T23:28:55Z,2018-04-30T23:28:55Z,2,2
https://api.github.com/repos/Alamofire/Alamofire/issues/956,pr,closed,2015-12-11T03:19:01Z,2015-12-11T06:04:09Z,2015-12-11T06:04:09Z,1,1
https://api.github.com/repos/watson-developer-cloud/swift-sdk/issues/423,issue,closed,2016-08-22T13:16:12Z,2017-02-10T16:27:50Z,2017-02-10T16:27:50Z,6,3
https://api.github.com/repos/mssun/passforios/issues/116,issue,closed,2017-07-28T05:08:06Z,2017-07-28T05:44:48Z,2017-07-28T05:44:48Z,2,1
https://api.github.com/repos/yanue/V2rayU/issues/517,issue,closed,2020-04-03T08:01:38Z,2020-06-08T07:57:04Z,2020-05-26T15:07:39Z,9,4
https://api.github.com/repos/Carthage/Carthage/issues/71,issue,closed,2014-11-15T09:27:49Z,2014-11-18T05:19:00Z,2014-11-18T05:19:00Z,5,2
https://api.github.com/repos/64characters/Telephone/issues/404,issue,closed,2017-12-24T19:54:41Z,2018-01-11T21:17:00Z,2018-01-11T21:16:59Z,1,1
https://api.github.com/repos/mssun/passforios/issues/363,issue,closed,2020-03-09T08:05:45Z,2020-04-07T08:42:50Z,2020-03-15T05:11:19Z,1,1
https://api.github.com/repos/louisdh/openterm/issues/143,issue,open,2018-05-20T02:33:09Z,2018-08-22T04:47:28Z,,7,6
https://api.github.com/repos/marmelroy/Zip/issues/151,issue,open,2018-09-04T11:56:21Z,2018-09-04T11:56:21Z,,0,0
https://api.github.com/repos/mssun/passforios/issues/69,issue,closed,2017-03-31T04:40:19Z,2017-04-03T17:22:53Z,2017-04-03T17:22:49Z,2,1
https://api.github.com/repos/yanue/V2rayU/issues/554,issue,closed,2020-05-04T10:58:07Z,2020-05-09T05:11:48Z,2020-05-09T05:11:48Z,5,1
https://api.github.com/repos/Urinx/iOSAppHook/issues/19,issue,open,2017-01-09T02:53:03Z,2017-01-23T11:54:51Z,,5,3
https://api.github.com/repos/apple/swift-package-manager/issues/1839,pr,closed,2018-11-02T03:24:35Z,2018-11-03T00:32:48Z,2018-11-03T00:32:45Z,1,0
https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/49,issue,closed,2016-10-31T16:11:39Z,2017-05-16T06:03:39Z,2017-05-16T06:03:39Z,1,0
https://api.github.com/repos/Carthage/Carthage/issues/596,issue,closed,2015-07-01T01:12:42Z,2015-07-04T16:09:52Z,2015-07-02T00:46:53Z,7,1
https://api.github.com/repos/airbnb/Lona/issues/90,pr,closed,2018-02-01T23:20:29Z,2018-02-01T23:28:04Z,2018-02-01T23:28:01Z,1,1
https://api.github.com/repos/Carthage/Carthage/issues/1236,issue,closed,2016-04-01T11:11:53Z,2016-04-04T12:59:24Z,2016-04-04T12:59:24Z,3,2
https://api.github.com/repos/JohnSundell/SwiftPlate/issues/4,issue,closed,2016-11-21T00:09:47Z,2016-11-21T00:28:06Z,2016-11-21T00:28:06Z,1,1
https://api.github.com/repos/mssun/passforios/issues/389,issue,open,2020-06-06T05:55:42Z,2020-06-06T05:56:29Z,,0,0
https://api.github.com/repos/krzyzanowskim/CryptoSwift/issues/214,pr,closed,2016-02-17T23:09:36Z,2016-02-17T23:31:58Z,2016-02-17T23:31:58Z,0,0
https://api.github.com/repos/nicklockwood/SwiftFormat/issues/82,issue,closed,2017-01-15T16:08:11Z,2017-01-15T16:50:56Z,2017-01-15T16:50:56Z,2,1
https://api.github.com/repos/malcommac/SwiftDate/issues/243,issue,closed,2016-09-14T05:35:00Z,2016-09-14T19:47:31Z,2016-09-14T19:47:24Z,2,1
https://api.github.com/repos/wireapp/wire-ios/issues/1746,pr,closed,2018-02-19T10:07:38Z,2018-02-19T10:33:48Z,2018-02-19T10:33:45Z,0,0
https://api.github.com/repos/RocketChat/Rocket.Chat.iOS/issues/140,pr,closed,2016-10-10T12:14:22Z,2016-10-10T13:16:00Z,2016-10-10T13:16:00Z,0,0
https://api.github.com/repos/Alamofire/Alamofire/issues/1317,pr,closed,2016-06-19T14:40:42Z,2016-06-19T21:43:08Z,2016-06-19T21:43:08Z,1,0
https://api.github.com/repos/grpc/grpc-swift/issues/699,pr,closed,2020-01-15T16:47:55Z,2020-02-07T14:44:00Z,2020-01-15T17:18:21Z,0,0
https://api.github.com/repos/grpc/grpc-swift/issues/494,pr,closed,2019-06-27T07:13:54Z,2019-07-16T09:26:42Z,2019-06-30T04:35:40Z,0,0
https://api.github.com/repos/daltoniam/Starscream/issues/668,issue,closed,2019-06-13T14:23:32Z,2020-01-02T23:00:24Z,2020-01-02T23:00:24Z,1,1
