topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,31,5,1,14,37,37,0,0,0,0,0,15,0
topic_1,687,191,81,988,3494,2865,19,0,6,2,0,355,10
topic_2,131,17,12,84,302,270,1,0,1,1,0,72,1
topic_3,265,20,7,1061,1177,484,2,0,2,0,0,885,27
topic_4,97,21,10,201,372,349,2,0,0,0,0,71,0
topic_5,475,179,55,824,1950,1836,14,0,6,1,0,266,6
topic_6,135,29,18,472,706,717,4,0,1,0,0,191,7
topic_7,25,0,8,257,915,249,2,0,0,0,0,4,0
topic_8,400,97,51,665,3011,2360,3,0,1,3,0,271,8
topic_9,101,7,6,441,308,272,2,0,6,0,0,283,32
topic_10,25,4,8,36,158,159,14,0,3,0,0,3,0
topic_11,200,40,36,275,669,616,7,0,1,1,0,26,0
topic_12,58,6,5,91,228,202,0,0,0,0,0,26,2
