topic,up_count,down_count,laugh_count,confused_count,heart_count,hooray_count,rocket_count,eyes_count,post_total_count,post_with_up_count
topic_0,5,0,0,0,0,0,0,0,65,5
topic_1,1350,30,5,11,53,24,6,10,2562,348
topic_2,220,0,0,0,1,0,1,0,288,44
topic_3,55,0,0,0,8,11,4,2,814,33
topic_4,326,6,0,6,11,3,2,8,378,51
topic_5,856,8,4,10,40,34,4,16,1735,237
topic_6,221,14,1,0,17,10,11,3,702,84
topic_7,8,0,0,0,0,0,0,0,427,1
topic_8,1296,26,6,20,58,27,9,19,1538,311
topic_9,217,0,2,0,11,18,2,3,449,57
topic_10,94,3,0,1,0,0,0,0,191,41
topic_11,322,1,2,9,0,0,1,6,840,102
topic_12,55,0,1,0,3,3,0,0,237,27
