Topic ID,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,23.0,121979.0,66.0,21.0,27.0,11.301216106221652,8.0,14389.024722222222,0.010968159569429151,155.66052201933996
TOPIC 1,88.0,205680.0,138.0,32.0,165.0,7.0703936796080615,56.0,8091.224444444445,0.520375430177759,29.01777018509335
TOPIC 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOPIC 3,1.0,57.0,2.0,1e-07,1e-07,0.0010332994847589594,1.0,1.7266666666666666,0.017543859649122806,4.6170132429035755
TOPIC 4,743.0,5026141.0,4116.0,1243.0,1011.0,17.090086693153523,399.0,136590.23666666663,2.158513236339098,49.02605556974309
TOPIC 5,403.0,2242250.0,1244.0,400.0,684.0,13.042176714881945,190.0,69990.54472222223,1.3362592488912082,48.07286787315031
TOPIC 6,285.0,940326.0,559.0,186.0,548.0,9.49294749382994,142.0,85612.19777777776,0.553095305969973,67.72734686810774
TOPIC 7,889.0,7341968.0,3206.0,1175.0,1784.0,16.764878855304232,438.0,270026.20694444445,2.400097635926379,61.12256237581047
TOPIC 8,75.0,268600.0,244.0,73.0,199.0,13.170633943564534,46.0,20117.74305555556,0.22807831379831545,52.392151316643236
TOPIC 9,573.0,1796542.0,1792.0,639.0,1271.0,12.479604591604865,317.0,157328.3941666667,1.9986138928364077,52.206493281066464
TOPIC 10,4.0,37802.0,19.0,4.0,16.0,20.585058087967028,1.0,7599.547777777779,0.00010989614814000767,651.5610134311776
TOPIC 11,517.0,2600859.0,1561.0,469.0,876.0,12.361142755799964,229.0,106589.81527777776,0.6924111520502609,70.30759441793515
TOPIC 12,487.0,5268766.0,3981.0,1179.0,906.0,25.122150416485773,226.0,113012.64722222221,0.9886638822699872,62.68538541217161
TOPIC 13,17.0,48056.0,34.0,16.0,36.0,10.302991308819054,8.0,28.42388888888889,0.0389805876349159,11.571722662636912
TOPIC 14,22.0,40919.0,7.0,7.0,31.0,4.035970800691299,3.0,14481.070555555554,0.003054612895582293,326.37381269103616
TOPIC 15,589.0,1620881.0,1012.0,449.0,845.0,8.479951701606224,262.0,109774.42722222225,1.2582811849014568,58.10040506063192
TOPIC 16,44.0,68376.0,66.0,34.0,91.0,7.812486996265053,22.0,39786.05805555555,0.1981695755815894,73.77478901261021
TOPIC 17,9.0,8164.0,7.0,3.0,11.0,4.117524903567652,2.0,1.4005555555555556,0.0017133522794706302,15.43673312059874
TOPIC 18,1.0,633.0,1e-07,1e-07,1.0,0.0015861743678050734,1.0,172.5261111111111,0.001579778830963665,47.799077427927955
TOPIC 19,427.0,1815439.0,766.0,282.0,791.0,9.828361693293306,177.0,27776.98,0.7078209086106224,45.576266839794776
TOPIC 20,12.0,21522.0,8.0,5.0,26.0,5.7318886568095415,3.0,51.757777777777775,0.06837040133377538,14.467355763812234
TOPIC 21,125.0,322947.0,190.0,86.0,189.0,7.994683306682645,50.0,5520.352500000001,0.3511372182736332,33.9998226407389
TOPIC 22,473.0,2723481.0,2459.0,845.0,824.0,17.470509032533347,236.0,57401.14083333334,1.5501465807622359,42.024152618461244
Security,5807.0,32521388.0,21477.000000099997,7148.000000200001,10332.0000001,14.594058466963372,2817.0,1244343.446944444,15.083984214730325,55.402546247342606
General,5807.0,20764372.0,18388.0,5030.0,13213.0,12.222325709783707,3498.0,639924.0466666665,42.687520299894274,29.195763779600906
