Topic ID,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,402.0,994920.0,996.0,386.0,577.0,9.58796856025925,225.0,172356.11888888892,1.0866646920561416,65.68379368577607
TOPIC 1,6998.0,23910175.0,18619.0,5913.0,16509.0,11.602270863105106,3495.0,1859472.7569444443,13.987737087282307,64.32646795226614
TOPIC 2,3506.0,10487239.0,12739.0,4804.0,8765.0,13.89075795406345,2055.0,408236.7705555555,11.249968675343123,39.55975840926268
TOPIC 3,31.0,51004.0,68.0,6.0,84.0,6.595902506103508,11.0,121.60583333333332,0.031636714757080416,22.12639592726016
TOPIC 4,1290.0,3925620.0,3764.0,1715.0,2052.0,11.706043347996493,536.0,183208.17527777774,1.967547161671545,60.74094433538357
TOPIC 5,696.0,1974651.0,1510.0,639.0,1310.0,10.155483924587825,329.0,93174.6352777778,0.8900532878685236,60.50134247881052
TOPIC 8,626.0,1404619.0,1112.0,283.0,1529.0,8.14497918011306,363.0,25497.723055555558,2.30288145801308,26.72796178107807
TOPIC 9,2598.0,5269437.0,3857.0,1299.0,4704.0,7.2257583455089875,1103.0,280134.36111111107,6.018792858310468,47.86009318931999
TOPIC 10,313.0,673405.0,435.0,133.0,547.0,6.864466701830553,132.0,86042.21416666669,0.6904566674500114,66.60628103012291
TOPIC 11,93.0,245557.0,366.0,94.0,190.0,12.103076160443766,53.0,7490.3488888888905,0.302745820548602,35.14608781753418
TOPIC 12,413.0,2321118.0,1774.0,823.0,1287.0,19.67692601215515,257.0,19491.678611111107,1.0846087289782222,30.68063600963471
TOPIC 13,163.0,601066.0,675.0,169.0,272.0,12.749195522395075,87.0,61123.636388888895,0.18929622879334373,84.57562018882193
TOPIC 14,57.0,210054.0,179.0,61.0,104.0,12.260605951026188,21.0,1111.515,0.09184350339358688,32.02635271956089
TOPIC 15,909.0,2801032.0,2166.0,733.0,2648.0,11.460029519039606,554.0,40663.17722222221,1.853922459984596,33.015759118989116
TOPIC 16,1560.0,4198236.0,2600.0,778.0,2570.0,7.791366448051447,677.0,290721.8288888889,2.52916137345056,64.22128785952269
TOPIC 17,208.0,397426.0,325.0,162.0,462.0,8.47736381427795,78.0,27160.55222222222,0.1741941126718668,74.63764908989323
TOPIC 18,325.0,955285.0,688.0,230.0,776.0,10.126150493201237,154.0,29849.120000000006,0.6443911968046954,46.06610831770129
TOPIC 19,570.0,2207315.0,1804.0,613.0,1023.0,12.40179029084906,271.0,100950.10083333332,0.8255247048404792,63.59565076607995
TOPIC 20,390.0,1034712.0,515.0,234.0,1196.0,8.960429577741127,175.0,10872.375000000004,0.5136671648636704,36.13181063622521
TOPIC 21,692.0,1936630.0,749.0,360.0,1916.0,8.127379237118147,356.0,125555.4325,2.16670804001418,48.29443282190609
TOPIC 22,308.0,724819.0,550.0,136.0,542.0,7.559305495151437,141.0,131823.4183333333,0.6550978220594568,76.03367915064352
Security,22148.0,66324320.0,55491.0,19571.0,49063.0,11.008574953330166,11073.0,3955057.545,49.25689975915554,54.35652058162303
General,22151.0,53950331.0,43703.0,11043.0,52927.0,8.698093892824163,12480.0,2392826.1333333333,94.78606861384688,35.517996608513066
