Topic ID,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,210.0,759520.0,581.0,216.0,656.0,13.390566159858393,123.0,37903.34638888889,0.5571981187932424,48.78961211318247
TOPIC 1,343.0,807036.0,701.0,268.0,735.0,9.47248976585633,175.0,117826.82388888887,0.4212414133938107,81.84454281309834
TOPIC 2,214.0,850310.0,599.0,184.0,424.0,11.732300384893474,100.0,41906.21388888889,0.3304926753148062,64.7406099327344
TOPIC 3,69.0,325495.0,175.0,77.0,87.0,11.390662819718454,37.0,60437.06861111111,0.07579246861884817,114.14097251078688
TOPIC 4,264.0,566252.0,413.0,166.0,545.0,8.123855142866878,112.0,77724.08777777778,0.4569337208265088,73.73880742186459
TOPIC 5,56.0,179899.0,331.0,86.0,164.0,17.094709838038032,36.0,23397.50305555556,0.22630949972513556,54.38144602069432
TOPIC 6,2.0,2834.0,4.0,1.0,8.0,8.676757510664617,1.0,0.4719444444444445,0.001049317943336831,9.653198975615066
TOPIC 7,509.0,1236685.0,806.0,268.0,1630.0,8.974522506179325,265.0,19692.818333333336,1.3702887612190922,30.221955543475502
TOPIC 8,235.0,598705.0,632.0,218.0,730.0,11.853851083121755,127.0,46499.30555555557,0.8202793072612115,47.16099407981232
TOPIC 9,110.0,354698.0,423.0,154.0,309.0,14.86027654794432,72.0,25688.677777777782,0.5657148657176634,41.08987148490704
TOPIC 10,8.0,9728.0,17.0,3.0,22.0,7.184790641931327,6.0,25246.611111111117,0.019331288312917142,120.30776984249742
TOPIC 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOPIC 12,621.0,1539253.0,1913.0,753.0,2391.0,13.74068180107558,334.0,42483.521944444445,2.1160950012921798,33.42028597172669
Security,2641.0,7230415.0,6595.0,2394.0,7701.0,11.594283685929007,1388.0,518806.4502777778,6.960726438418753,52.14867104499234
General,2641.0,7342592.0,7469.0,2316.0,9906.0,12.681446169074546,1474.0,235358.23305555558,14.960305567666282,30.433596817760787
