Topic ID,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,1234.0,5222630.0,3030.0,1502.0,2889.0,13.118137563750649,697.0,117287.35138888887,3.468833049251659,39.118607553375654
TOPIC 1,145.0,644530.0,526.0,213.0,312.0,15.025286690548265,65.0,91380.6611111111,0.08783467231628049,132.39786604037852
TOPIC 2,84.0,198368.0,113.0,57.0,102.0,7.152814879991879,28.0,8575.585833333334,0.08828090745886602,66.2988641552581
TOPIC 3,3292.0,10446482.0,13893.0,5707.0,7582.0,15.206512056707973,1840.0,652794.6686111111,9.536158651314217,49.66095247666824
TOPIC 4,1002.0,3206764.0,1646.0,746.0,1846.0,9.215080153295544,412.0,144276.25194444446,1.5837929813135363,60.50932584541246
TOPIC 5,10723.0,41227964.0,22087.0,9592.0,21930.0,10.971166329783859,4376.0,2280155.2625,16.40124432051408,69.84074632749939
TOPIC 6,2207.0,8154060.0,3725.0,4652.0,6158.0,13.838612844238725,1117.0,173671.80666666664,3.6317572359112185,45.546382660661784
TOPIC 7,1018.0,7951471.0,4154.0,1859.0,1548.0,17.248181018364086,479.0,157018.63027777776,1.339487964988211,62.92282478029245
TOPIC 8,911.0,2185789.0,1583.0,462.0,1834.0,8.077263251142737,400.0,129715.90027777778,1.6748959956211158,56.08171058416022
TOPIC 9,5349.0,17073898.0,13827.0,4910.0,8355.0,10.429165277662216,2499.0,940983.2616666668,9.373552150007608,59.89556693169934
TOPIC 10,1831.0,4503336.0,2669.0,1014.0,3138.0,7.637568362769933,752.0,354009.39555555553,3.350545978562061,63.59992010434998
TOPIC 11,213.0,693207.0,486.0,161.0,562.0,11.03152990573152,101.0,5399.7125000000015,0.6946141419938029,25.403589241042226
TOPIC 12,1865.0,4227524.0,3284.0,1436.0,2516.0,8.024347735405113,629.0,281418.3525,2.7317663543539834,67.34608462447396
TOPIC 13,1265.0,6673469.0,3845.0,2113.0,2438.0,15.073176062274523,578.0,294485.22055555554,1.5650355584665232,74.39903920750376
TOPIC 14,210.0,468454.0,451.0,125.0,478.0,8.975859709461712,117.0,18736.01527777778,0.7913728699517927,34.8960686347188
TOPIC 15,2859.0,5883457.0,5288.0,2374.0,3673.0,7.982561311999829,1232.0,522109.3744444444,5.64020765210086,59.89031744424717
TOPIC 16,1368.0,5882025.0,3351.0,1653.0,3445.0,13.379957872527001,678.0,96547.52916666667,4.204888202569583,35.91542731530465
Security,35576.0,124643428.0,83958.0,38576.0,68806.0,11.475236023082132,16000.0,6268564.980277779,66.1642686866954,59.50140897008676
General,35576.0,99233539.0,71002.0,21439.0,80931.0,9.346629053031707,17796.0,3988098.3280555564,158.14627814366756,36.94144396269271
