Topic ID,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,256.0,385491.0,350.0,100.0,541.0,6.420663695386711,112.0,13323.902222222225,0.5356196598141307,38.45318258481695
TOPIC 1,214.0,314842.0,322.0,109.0,511.0,7.203361489699002,114.0,17879.778333333332,0.7081783389287238,36.18896294157539
TOPIC 2,42.0,108631.0,99.0,17.0,91.0,8.551071366568623,31.0,2655.8738888888874,0.21652957875560452,25.518742615392213
TOPIC 3,15.0,31586.0,39.0,31.0,35.0,12.746941274458438,7.0,4370.369166666667,0.02331799888276801,73.78023289787937
TOPIC 4,158.0,296374.0,312.0,83.0,355.0,8.131453790212221,90.0,10777.249722222221,0.38944635286142826,36.48869188078192
TOPIC 5,86.0,171974.0,153.0,44.0,199.0,8.05594593422003,40.0,12288.119722222224,0.12672796325081906,59.29487342169531
TOPIC 6,41.0,55345.0,73.0,23.0,83.0,7.227996579271573,21.0,3475.8363888888894,0.11517467299507105,38.91248502557588
TOPIC 7,69.0,117331.0,51.0,16.0,161.0,5.106614934267092,28.0,5583.325000000002,0.15172054801284846,44.92759677937843
TOPIC 8,55.0,211923.0,160.0,38.0,117.0,11.329329138836755,29.0,22534.299722222222,0.16788254960271562,63.37739736555683
TOPIC 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOPIC 10,6.0,28936.0,32.0,12.0,16.0,19.24514445642,3.0,21.56888888888889,0.011020975660593313,15.759626062734105
Security,942.0,1722433.0,1591.0,473.0,2109.0,7.676029880006106,475.0,92910.32305555556,2.4456186387647025,42.23548729336678
General,942.0,1331155.0,1710.0,365.0,2170.0,6.917408629047043,595.0,76068.62861111111,6.1092862621213975,27.013634294218154
