Topic ID,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,1280.0,1799282.0,1433.0,605.0,1870.0,5.7415034757856365,514.0,196113.4713888889,2.6676205854516613,56.781919879444246
TOPIC 1,32.0,138678.0,112.0,52.0,61.0,14.722776334751035,18.0,174.66444444444443,0.17264999687250762,12.161070376289393
TOPIC 2,840.0,1642607.0,1584.0,619.0,3110.0,10.015109109581257,485.0,88684.54222222223,4.857552880692297,31.621998444316986
TOPIC 3,2339.0,8522852.0,7212.0,3374.0,8554.0,15.60301498130208,1480.0,214990.7947222222,10.21753987910299,32.15738140757387
TOPIC 4,508.0,985468.0,809.0,264.0,855.0,7.2098554911675485,278.0,62619.94166666666,1.6683442689941201,40.933790931930616
TOPIC 5,211.0,321374.0,264.0,118.0,374.0,6.5926438286163584,93.0,100617.84,0.2837054426029666,93.01127757741152
TOPIC 6,144.0,295384.0,149.0,69.0,334.0,6.969148300428759,85.0,18014.480000000003,0.3879148104867525,42.84922570681056
TOPIC 7,1399.0,3241691.0,2090.0,913.0,3130.0,8.431707643237443,692.0,161953.41000000006,5.413996272326137,39.25195161026047
TOPIC 8,180.0,263158.0,220.0,84.0,444.0,6.734461483942207,107.0,3815.868888888889,0.6612277296679498,21.332595792957754
TOPIC 9,1073.0,2698344.0,1654.0,863.0,3085.0,9.73027185310761,555.0,76372.56666666668,1.939567220365112,42.38183566008147
TOPIC 10,9462.0,23268738.0,26646.0,14623.0,26671.0,13.179144338505644,5588.0,1088402.3841666668,48.59932285513487,33.596595524052056
TOPIC 11,3585.0,5688811.0,1556.0,900.0,11308.0,4.832542607752447,1500.0,203973.3905555555,15.34503589284358,31.6714418943456
TOPIC 12,115.0,181448.0,122.0,39.0,323.0,6.3189794944478805,49.0,16039.616388888891,0.4674822197705558,43.182741783518296
TOPIC 13,1144.0,5094791.0,2510.0,778.0,2419.0,10.887492415851648,436.0,261213.92416666672,1.5932471041702936,75.48909872771995
TOPIC 14,7892.0,15612945.0,8470.0,2930.0,24354.0,7.0228673267027775,3964.0,1105834.2258333336,32.95323360383886,40.57717490904209
TOPIC 15,1343.0,3502364.0,2642.0,1251.0,3233.0,10.356506075538306,730.0,230018.45722222226,5.307560431676867,43.040135542883405
TOPIC 16,644.0,1417430.0,790.0,273.0,1608.0,7.31153365552789,306.0,44397.40916666666,2.5284714718841217,33.30846892217472
Security,32191.0,74675365.0,58263.0,27755.0,91733.0,10.078010077242071,16880.0,3873236.9875000007,135.06447266588162,37.957563128673264
General,32191.0,63683908.0,36676.0,11358.0,80413.0,6.676140714167053,16729.0,3021069.2444444443,218.4728087895754,29.854462607652394
