Topic ID,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,779.0,2213976.0,1541.0,530.0,1452.0,9.18897459193693,305.0,133771.5925,1.2806367787907849,64.37617690666156
TOPIC 1,249.0,1009196.0,911.0,234.0,538.0,13.172665403909415,155.0,60118.381111111106,0.6784529573873708,52.21377123875217
TOPIC 2,2095.0,5323319.0,5060.0,1614.0,3876.0,9.670992569601259,931.0,515857.60944444436,4.333519236033314,64.46260022089113
TOPIC 3,207.0,611318.0,864.0,217.0,429.0,12.792462206053926,116.0,38931.53416666666,0.6968599254472224,46.36847308159055
TOPIC 4,400.0,1104522.0,785.0,257.0,700.0,8.835045823644949,185.0,57013.28527777777,0.5921290896894436,59.26741391466668
TOPIC 5,818.0,1134850.0,511.0,215.0,1867.0,4.775097364800423,404.0,50842.48916666666,4.926742766425568,27.543108435318373
TOPIC 6,963.0,3900320.0,2744.0,783.0,1348.0,10.705518669722736,371.0,237845.9744444444,1.4187271340508834,75.77915693252552
TOPIC 7,1.0,143.0,1e-07,1e-07,1e-07,1.944616692368397e-05,0.0,1.0,0.006993006993006993,0.0
TOPIC 8,705.0,1465985.0,1195.0,475.0,1364.0,8.233078114543986,312.0,100718.065,2.0804240093847364,47.825921473515166
TOPIC 9,6.0,2144.0,4.0,1e-07,14.0,0.05516986885894861,2.0,1452.9552777777774,0.00355709549567515,107.01040120055815
TOPIC 10,1697.0,2829151.0,3522.0,1475.0,2058.0,7.771214119234517,752.0,297944.72000000003,3.6848089822636605,56.71895734099513
TOPIC 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOPIC 12,689.0,1559224.0,2322.0,772.0,1551.0,11.776893134611525,387.0,214908.1108333333,2.7469806312581424,51.83643854004744
TOPIC 13,931.0,2224246.0,2178.0,684.0,1761.0,9.38781141644176,464.0,55029.37611111109,2.693183765507859,34.481548999245824
TOPIC 14,1374.0,4364726.0,3165.0,1118.0,3361.0,10.98559341138699,697.0,115972.42388888886,3.2747350986266084,41.17600153451704
TOPIC 15,38.0,67168.0,44.0,11.0,62.0,5.5759166138347505,15.0,18.251111111111108,0.05652259304388488,9.352330726755543
TOPIC 16,1.0,61.0,1e-07,1e-07,4.0,0.0012498199611069313,0.0,1.0,0.0,0.0
TOPIC 17,400.0,1010138.0,738.0,454.0,703.0,9.818656592418863,153.0,61848.53249999999,1.0022510340444948,54.43862520563286
Security,11353.0,28820487.0,25584.0000002,8839.000000299999,21088.000000099997,9.537102148537217,5249.0,1942275.300833333,29.47652410444265,52.234349937128975
General,11353.0,29516616.0,23409.0,6361.0,22866.0,8.819228958019266,5864.0,904466.1372222222,68.54383312335591,29.451914666355208
