id,activity_time
"328","2083120"
"657","5950183"
"5611","4456934"
"15266","3670898"
"16861","4676004"
"28369","2203357"
"36877","6124391"
"38875","2658683"
"39929","1268298"
"49455","821825"
"54230","967656"
"55218","2840916"
"55643","5975146"
"60174","6177816"
"64631","4476844"
"69979","41898"
"70653","3925847"
"71328","3813151"
"73947","2973976"
"74358","5123589"
"76359","3562835"
"80612","4826384"
"90413","2035184"
"93100","1993198"
"97984","4556542"
"110575","4463164"
"112768","65"
"120977","1997236"
"123499","394118"
"127638","78"
"129677","5794384"
"131017","3520568"
"131902","3849097"
"132134","3520146"
"134099","5977387"
"140439","5438414"
"143632","4030410"
"146839","585"
"148068","1653418"
"154844","79"
"157938","6208645"
"159114","1922590"
"172040","1634"
"172392","1373208"
"173727","1840438"
"187434","6120460"
"187736","5169467"
"189555","3381705"
"199017","5452722"
"211483","4308"
"213683","250206"
"214431","4539529"
"216324","1945899"
"218531","4000151"
"220437","5400869"
"223800","3362728"
"226155","609"
"230845","2555964"
"232228","531968"
"241953","1601921"
"242118","808143"
"243426","1322"
"244952","751781"
"256172","5137085"
"258625","1957495"
"260236","5542053"
"260664","2905449"
"269713","283"
"278571","761"
"281485","542822"
"286938","2294465"
"291874","3364229"
"297850","2414002"
"298535","3988093"
"322607","197"
"325323","18882"
"329956","3115746"
"334776","48"
"335677","132590"
"335888","3791347"
"336575","4190432"
"339180","3414665"
"339603","2816925"
"343995","862202"
"346826","2197118"
"347088","1226211"
"354021","22"
"358772","1381465"
"362461","620"
"368329","2708862"
"372465","5"
"373761","1861067"
"379387","267"
"388800","4308293"
"394214","3717308"
"395652","98"
"401656","5741193"
"410150","8"
"410392","5060870"
"413137","189"
"414034","1743959"
"419738","108448"
"423369","3765535"
"426294","551"
"431698","961"
"436220","5889984"
"437962","157"
"443988","103"
"446467","51"
"446986","23"
"447600","2333788"
"451583","2428860"
"451601","213"
"451623","2677777"
"456546","4263439"
"457014","1445"
"459614","2644970"
"461800","1993414"
"463832","382670"
"465180","3249"
"466748","1003"
"474698","92"
"475216","25735"
"475928","19156"
"477649","65710"
"478251","319"
"481743","5678203"
"481995","1933998"
"487889","4981158"
"488804","4165528"
"492340","1388371"
"493531","18"
"498521","38"
"498630","633992"
"499062","38"
"501231","2121416"
"503666","1389811"
"509449","392787"
"523629","4543049"
"524908","539713"
"525056","4644941"
"526438","1448"
"534742","2229089"
"543096","1139"
"544239","623095"
"544433","3548182"
"545294","3492106"
"556572","719"
"564632","677"
"565425","3162174"
"568247","301916"
"568609","1901614"
"568657","934965"
"568924","481442"
"568995","3420605"
"569871","486990"
"577507","533"
"583592","3384571"
"585358","669"
"585891","5075466"
"588803","2556843"
"591300","5885"
"595114","3894313"
"598844","1238"
"599509","1308200"
"599535","2836"
"602539","2819215"
"604634","2308053"
"606098","1890870"
"606099","18"
"606179","5726572"
"608112","29"
"613680","839307"
"619620","24"
"619991","3072761"
"623788","1034"
"629695","2007533"
"633109","381"
"636912","985"
"638057","1825991"
"642007","102890"
"646425","12197"
"647514","740828"
"648307","2637"
"650101","7"
"650979","53"
"651481","2614"
"651902","81005"
"652300","2783195"
"654688","3216574"
"655691","1490"
"656329","35"
"659197","3586983"
"659657","5000372"
"659737","1890000"
"660175","2480638"
"661084","2986609"
"663490","12082"
"666828","4262558"
