Id,ParentId,OwnerUserId
"8023","8021","245"
"8025","8021","312"
"29078","29061","2697"
"29083","29061","2973"
"29089","29061","1693"
"29097","29061","3133"
"29114","29061","1438"
"33838","33829","3069"
"39189","39135","3979"
"43508","43199","3997"
"47149","43199","4287"
"57408","57384","5674"
"70184","70170","184"
"70186","70170","6282"
"70189","70170","598"
"70469","70170","10980"
"72371","72304","1870"
"72722","72304","12092"
"73220","72304","4893"
"75371","72304","13229"
"78889","78869","3535"
"78925","78869","4615"
"78931","78869","7672"
"84212","84096","716"
"84419","84096","10954"
"86367","84680","16414"
"97146","97137","17095"
"97187","97137","8934"
"98314","97137","7672"
"100713","96945","16724"
"102081","97137","17712"
"102545","102425","12754"
"102746","102425","6770"
"102827","102425","2598"
"102920","102425","3171"
"102936","102425","2443"
"103731","102778","16414"
"112409","112396","9567"
"112618","112396","17453"
"113291","96945","6329"
"116459","116415","20382"
"116473","116415","8136"
"116474","116415","9425"
"116478","116415","4203"
"116520","116415","20634"
"117568","116415","9925"
"126902","126798","5895"
"126981","126798","5193"
"137223","137212","1490"
"137252","137212","10026"
"137288","137212","13005"
"137559","123902","8171"
"137626","137212","3474"
"138745","137212","5171"
"139165","137212","2273540"
"140142","140113","1199"
"140214","140113","11142"
"102493","102425","18308"
"75725","70170","13189"
"33868","33829","3535"
"33851","33829","338"
"8363","8021","737"
"97521","97137","8002"
"97320","97137","15401"
"97469","96945","16206"
"97233","97137","15614"
"97224","97137","17688"
"97164","97137","10780"
"97154","97137","13744"
"33461","33412","1820"
"33456","33412","1827"
"140921","137212","9573"
"143534","57384","12344"
"143544","143523","13005"
"143549","143523","21234"
"144060","143523","22351"
"144128","143523","3474"
"150181","150167","2287"
"150195","150167","3474"
"150321","150167","7888"
"153240","153220","377"
"153316","153220","1544"
"153343","153220","7211"
"153356","153220","28952"
"153365","153220","5685"
"153375","153220","21239"
"153424","153220","7565"
"153471","153220","21002"
"162776","161160","11142"
"163759","140113","18796"
"165916","163113","3474"
"169338","137212","18093"
"178505","178479","3333"
"178517","178479","21632"
"178635","178479","2985"
"178650","178479","172211"
"179144","178479",""
"180872","178479","17871"
"181395","181341","1057"
"181443","181341","15124"
"181699","181341","20267"
"181726","8021","20267"
"181876","181341","1254442"
"182156","182133","7898"
"182157","182133","48310"
"182161","182133","12349"
"182190","182133","16800"
"183832","183830","8217"
"183852","183830","17832"
"183873","183830","8884"
"184664","183830","9925"
"185365","181341","16724"
"185392","181341","1612"
"185414","181341","8959"
"189347","178479","1163802"
"189399","178479","2648"
"190382","190376","3560"
"190429","190376","24582"
"190470","190376","22656"
"190485","190376","4725"
"190938","190912","14302"
"190941","190912","20272"
"191075","190912","9816"
"191851","190376","13531"
"215276","84680",""
"221866","221149","8174"
"223506","221149","13189"
"232630","232584","6309"
"232855","232839","1384"
"233224","233217","31141"
"233232","233217","12537"
"233234","233217","2811"
"233235","233217","31141"
"244325","244283","11142"
"244451","244283","972"
"245242","244283","3474"
"248672","244283","31828"
"256911","256899","13342"
"257786","256899","17205"
"257928","256899","5569"
"271100","271090","24279"
"271112","271090","1057"
"271354","271090","2209"
"271429","267738","15108"
"278080","271518","4208"
"278100","271518","26241"
"279982","221149","13189"
"295378","295163","36397"
"295396","295163","4725"
"301872","300334","23704"
"303042","303028","8209"
"303459","303028","459"
"304275","304268","1288"
"304350","304268","3474"
"304417","304268","3415"
"306069","303028","1237"
"308618","308609","31141"
"308677","308609","25343"
"311266","311243","33433"
"312001","311243","3474"
"315326","300334","456628"
"319804","319634","40866"
"320032","319634","3474"
"325264","288500","25724"
"325454","320355","33167"
"327318","248562","41754"
"328263","271090",""
"328464","325637","23969"
"332488","320477","30807"
"334798","320477","315650"
"338603","338578","39057"
"338639","338578","3474"
"339075","339004","3474"
"339548","339531","42344"
"339585","339531","3474"
"340722","339531","4725"
"342163","267738","20763"
"342610","340820","16883"
"346262","346225","12950"
"346300","346225","24054"
"346308","346225","3150"
"346645","346225","42994"
"347095","347056","7223"
"351916","233217","17453"
"354565","353010","3474"
"361404","361231","25737"
"363379","363329",""
"363519","271090","20840"
"364377","320355","3150"
"366392","361231","13447"
"372690","372268","45108"
"372890","372268","42404"
"373526","373518","35092"
"373533","373518","4893"
"373805","372268","20029"
"373855","373518","3474"
"374357","318781","42404"
"374739","373518","4249"
"376489","373518","943"
"376562","376561","2329"
"377608","376561","11761"
"385936","385907","24054"
"386769","376551","12930"
"387639","385907","3474"
"387701","372268","10165"
"388421","376561","30967"
"388984","137212","44330"
"390169","390150","48463"
"390437","390150","32188"
"394193","390150","18406"
