id,owner_user_id
"438","136"
"3385","384"
"13254","1353"
"17817","1912"
"20510","1638"
"29680","830"
"32333","1190"
"33104","1456"
"34490","3624"
"38838","744"
"39983","3043"
"45097",""
"49158","3847"
"51283","5321"
"52344","4906"
"52646","1581"
"53511","4474"
"61760","2017"
"66870","9947"
"72242","7473"
"75980","1341"
"76408","11234"
"81410","6478"
"86477","1414"
"86513","5471"
"88311","10157"
"93911","5569"
"95213","5619"
"102496","11503"
"114148","18793"
"116682",""
"117141","422"
"117352","15955"
"119818","20951"
"120189","7106"
"121490","21160"
"128028","21732"
"133546","9403"
"141427","22802"
"142573","5295"
"153039","4481"
"155751","8123"
"162159","7617"
"169334","18403"
"176255","14877"
"179355","3636"
"184028",""
"185149","21832"
"186932","26465"
"195509","15031"
"196776","422"
"198974","19753"
"205468","15815"
"215302","23486"
"223097","1348"
"226637","2357"
"234590","9859"
"235759","16957"
"240362","31662"
"245600","28076"
"247110","23458"
"250932","32834"
"252665",""
"253724","11042"
"268320","8741"
"271031","3700"
"272342","26155"
"278122","20178"
"278651","36263"
"283774","6615"
"286824",""
"288287","12367"
"291665",""
"292362","25778"
"295566","28150"
"301855","26465"
"302914","23524"
"308501","31569"
"316390","25645"
"319113","459"
"332872","9021"
"333532","26396"
"334259","253"
"334519","42486"
"335019","40867"
"338563","42969"
"339732","2329"
"342409",""
"343111","11256"
"350299","3041"
"351627","44482"
"355043","4082"
"366647","28454"
"367079","17494"
"372980","15168"
"378848","16124"
"381042","30176"
"386656","46758"
"387104","42588"
"394673",""
"395045","1606"
"395592","18393"
"399572","5988"
"406415","347256"
"421458","722"
"426463",""
"429005","6705"
"433558",""
"435408","1190"
"438886","4741"
"443430","35247"
"447537","21613"
"452415","4112"
"454813","49226"
"457239","56640"
"467885","15124"
"467897","44984"
"468089","23501"
"470531","1965"
"472552","50851"
"475840","44984"
"476576","58386"
"476821","37610"
"477053","20386"
"479499","26039"
"482213","59107"
"483018","59300"
"484261","16417"
"491914","52963"
"496152","41662"
"503469","12318"
"505235","52256"
"507591","40410"
"512825","44683"
"514688","42024"
"516127",""
"521639","57997"
"522064","2636656"
"525734",""
"526391","63202"
"526576",""
"527973","60103"
"530426","2843"
"534051","60045"
"539488","46981"
"540496","13470"
"553485",""
"554546","42595"
"556194",""
"559600","2506"
"561039","22184"
"562250","31610"
"572107","59637"
"579661","50348"
"581730","68861"
"591794","67494"
"593419","29669"
"593593","62031"
"594443","13447"
"595228","44984"
"597028","63472"
"604924",""
"608453","28540"
"610048",""
"615144","1491425"
"615954","399"
"625768",""
"631661","64238"
"631671","36680"
"633445","70774"
"637311",""
"641713","9106"
"646086","29909"
"647696","76590"
"651466","68507"
"651590","962474"
"651713","20126"
"651819","54844"
"655174","78773"
"671042","29291"
"675380","14540"
"675392","62871"
"681530","78026"
"682260","78026"
"686455",""
"688196","52745"
"688686","415865"
"690730","81946"
"691223","83776"
"691276","25068"
"699185","392"
"701084","61239"
"701580","80363"
"713600","430254"
"718611","63051"
"721446","31317"
"723886","14955"
"724950","50851"
"728706","66519"
"732223","2293"
"733463","86713"
"734561","82098"
"739850","36537"
"742089","82625"
"743939","50542"
"746347","23341"
"747641","343"
"753759","42595"
"754633","64489"
"754761","52745"
"755994","91613"
"756492","91670"
"756800","88898"
"762520","61427"
"764565","85095"
"764833","90451"
"768268","36532"
"770195","20126"
"770830","43923"
"774627","91857"
"778476","94517"
"779959","26349"
"787894","61427"
"791694",""
"793812","21011"
"798785","97208"
"799932","96723"
"801506","97208"
"805887","47754"
"807943","1190"
"808748","67814"
"808816","59499"
"810043","8946"
"811195","41021"
"812483","92714"
"821375","33918"
"824040","5742"
"827016","191083"
"832958","54426"
"834988","5449"
"839983",""
"841984",""
"844719",""
"846797","45261"
"856047","70195"
"858773",""
"859306",""
"859893","89946"
"860246","86191"
"863323","4003"
"870019","104200"
"874634","108009"
"876557","23643"
"877727","26004"
"877916","7442"
"884209","29653"
"885909","105136"
"897157",""
"898683","16429"
"900115","111311"
"904346","4980"
"904442",""
"906900",""
"908283","325418"
"921486","2737"
"923948","1275364"
"926137","20133"
"932423","91573"
"933199","95232"
"934213","73120"
"941594","19224"
"942518","116281"
"945015","35454"
"945981","116725"
"946170","21475"
"948172","14648"
"948192","104184"
"948507","325418"
"953118","90822"
"957884",""
"963403","119013"
"977686","4937"
"983977",""
"984680","2753"
"985074","73120"
