id,a_reputation,creationdate
"22","16726","2008-08-01 12:11:11"
"234","109235","2008-08-03 20:25:38"
"300","5902","2008-08-04 13:38:16"
"304","100375","2008-08-04 13:54:38"
"797","107452","2008-08-09 02:14:04"
"799","4757","2008-08-09 02:28:22"
"822","93369","2008-08-09 04:54:20"
"861","4717","2008-08-09 19:00:40"
"900","24542","2008-08-10 09:14:03"
"931","5993","2008-08-10 18:42:39"
"972","3704","2008-08-11 08:49:11"
"1150","851","2008-08-12 21:11:27"
"1175","72413","2008-08-13 10:21:54"
"1199","187095","2008-08-13 12:45:22"
"1247","16319","2008-08-13 18:48:08"
"1322","14381","2008-08-14 14:11:10"
"1423","49732","2008-08-15 15:20:12"
"1562","855","2008-08-16 17:21:33"
"1646","2048","2008-08-17 18:27:08"
"1969","7991","2008-08-19 16:03:19"
"2140","104430","2008-08-20 14:26:00"
"2281","6222","2008-08-21 13:07:52"
"2287","37804","2008-08-21 13:49:47"
"2309","17442","2008-08-21 15:09:37"
"2329","674","2008-08-21 16:46:54"
"2648","172037","2008-08-23 22:40:47"
"2811","28005","2008-08-25 11:09:26"
"2859","21251","2008-08-25 15:50:17"
"2965","3337","2008-08-26 09:12:59"
"2973","17691","2008-08-26 09:28:53"
"3069","1933","2008-08-26 14:28:50"
"3205","28512","2008-08-27 13:06:13"
"3295","46421","2008-08-27 17:52:45"
"3514","5231","2008-08-28 21:53:55"
"3535","19512","2008-08-29 02:26:17"
"3560","176372","2008-08-29 05:20:51"
"3657","2102","2008-08-29 17:57:49"
"4186","5589","2008-09-02 09:12:05"
"4362","6912","2008-09-03 03:58:00"
"4407","5952","2008-09-03 14:57:06"
"4411","9038","2008-09-03 15:12:29"
"4690","10829","2008-09-05 08:18:52"
"4728","37303","2008-09-05 11:33:05"
"4926","73348","2008-09-06 18:01:11"
"5079","421","2008-09-07 18:47:39"
"5193","2465","2008-09-08 12:23:54"
"5314","39621","2008-09-09 02:04:53"
"5454","7115","2008-09-09 18:07:51"
"6096","3657","2008-09-12 11:53:03"
"6148","69217","2008-09-12 16:33:46"
"6159","2205","2008-09-12 17:46:58"
"6282","3206","2008-09-13 15:18:21"
"6329","14298","2008-09-14 07:33:24"
"6365","12871","2008-09-14 20:49:19"
"6432","5453","2008-09-15 09:51:05"
"6615","9795","2008-09-15 12:22:13"
"7034","14703","2008-09-15 13:02:41"
"7226","5552","2008-09-15 13:23:04"
"7229","1094","2008-09-15 13:23:07"
"7267","9873","2008-09-15 13:26:34"
"7595","90488","2008-09-15 14:01:51"
"7671","63220","2008-09-15 14:11:45"
"7740","8940","2008-09-15 14:19:42"
"7979","12877","2008-09-15 14:49:25"
"8127","6247","2008-09-15 15:14:00"
"8209","3642","2008-09-15 15:25:05"
"8934","3467","2008-09-15 17:16:25"
"8946","57196","2008-09-15 17:17:51"
"8992","76490","2008-09-15 17:25:20"
"9435","31284","2008-09-15 18:48:18"
"9439","2146","2008-09-15 18:48:38"
"9443","11221","2008-09-15 18:49:14"
"9479","4402","2008-09-15 18:57:27"
"9567","69805","2008-09-15 19:11:07"
"9636","26331","2008-09-15 19:25:44"
"9686","12497","2008-09-15 19:38:15"
"9816","1679","2008-09-15 20:03:22"
"10273","1011","2008-09-15 22:04:51"
"10397","203636","2008-09-15 22:53:58"
"10715","19360","2008-09-16 01:16:54"
"10954","2204","2008-09-16 03:26:15"
"11092","4932","2008-09-16 04:50:02"
"11142","10755","2008-09-16 05:29:31"
"11236","191707","2008-09-16 06:29:28"
"11457","4677","2008-09-16 08:11:06"
"11492","49763","2008-09-16 08:33:50"
"11589","13578","2008-09-16 09:20:04"
"11649","55354","2008-09-16 09:48:59"
"11705","9379","2008-09-16 10:27:19"
"12034","19913","2008-09-16 12:56:56"
"12523","14212","2008-09-16 14:39:36"
"12597","208333","2008-09-16 14:53:25"
"12604","3085","2008-09-16 14:56:23"
"12679","2414","2008-09-16 15:16:01"
"12695","12522","2008-09-16 15:18:48"
"12716","51275","2008-09-16 15:23:19"
"12748","33882","2008-09-16 15:31:52"
"12754","676","2008-09-16 15:35:39"
"13070","123937","2008-09-16 16:54:04"
"13087","110860","2008-09-16 17:00:38"
"13189","8829","2008-09-16 17:34:51"
"13251","8196","2008-09-16 17:53:39"
"13342","4752","2008-09-16 18:29:09"
"13447","41775","2008-09-16 19:08:29"
"13792","100498","2008-09-16 20:52:54"
"13825","4019","2008-09-16 20:58:32"
"14419","50309","2008-09-16 23:51:08"
"14528","1618","2008-09-17 00:43:52"
"14731","71247","2008-09-17 02:21:49"
"15255","20901","2008-09-17 07:42:39"
"15355","10973","2008-09-17 08:36:39"
"15441","29476","2008-09-17 09:20:36"
"15529","4346","2008-09-17 10:10:49"
"15570","14564","2008-09-17 10:40:05"
"15689","17478","2008-09-17 11:52:54"
"15955","74073","2008-09-17 13:43:34"
"16152","4421","2008-09-17 15:05:35"
"16168","1008","2008-09-17 15:10:00"
"16414","13441","2008-09-17 17:01:27"
"16724","8194","2008-09-17 20:09:30"
"16853","126903","2008-09-17 21:33:16"
"17175","9062","2008-09-18 03:45:00"
"17373","12341","2008-09-18 07:51:51"
"17440","11152","2008-09-18 09:06:42"
"17867","6773","2008-09-18 15:41:33"
"18122","66737","2008-09-18 19:07:48"
"18196","23134","2008-09-18 20:10:09"
"18284","788","2008-09-18 21:35:52"
"18406","4355","2008-09-19 00:50:28"
"18437","15388","2008-09-19 01:34:52"
"18597","1662","2008-09-19 06:57:31"
"18716","2038","2008-09-19 10:22:50"
"18893","11228","2008-09-19 14:23:17"
"18937","1488","2008-09-19 15:02:17"
"19136","3192","2008-09-19 18:09:26"
"19219","4748","2008-09-19 19:22:21"
"19347","5530","2008-09-19 21:59:01"
"19629","26169","2008-09-20 14:10:52"
"19851","30387","2008-09-21 05:18:08"
"20029","26607","2008-09-21 18:36:10"
"20336","47466","2008-09-22 10:02:42"
"20402","16335","2008-09-22 12:16:35"
"20588","1890","2008-09-22 17:08:15"
"20634","22331","2008-09-22 18:14:38"
"20772","2475","2008-09-22 21:55:58"
"20788","6094","2008-09-22 22:33:34"
"20941","3726","2008-09-23 07:32:00"
