id,view_count
"7260","96760"
"8451","7016"
"10635","165088"
"11762","69987"
"17670","733"
"18448","11000"
"21965","15228"
"29346","28597"
"42115","11529"
"47262","1443"
"49211","3566"
"50684","1956"
"53824","2731"
"54991","222732"
"59893","42382"
"64469","3952"
"71077","4056"
"71146","3490"
"74443","5694"
"83553","484"
"86458","104383"
"94809","4612"
"98074","9285"
"100919","2514"
"102382","5225"
"103177","821"
"108518","41622"
"118599","3664"
"120116","5900"
"121493","3014"
"124674","2636"
"124885","6875"
"129544","543"
"129629","2543"
"136219","284"
"141399","1915"
"144605","1301"
"146973","7142"
"148879","15989"
"150737","13988"
"152419","4297"
"154430","7630"
"155400","2117"
"158800","2591"
"160373","357"
"162031","617"
"165808","216995"
"166617","4003"
"167252","1113"
"169222","16133"
"170689","7320"
"172951","615"
"177363","5688"
"178578","43228"
"179425","4754"
"181581","11701"
"188134","1448"
"192134","66369"
"196177","2374"
"197388","4456"
"198071","6254"
"198625","5003"
"201153","4536"
"202011","686277"
"206438","16461"
"206793","5764"
"209242","12008"
"211169","8975"
"211941","178"
"212510","160309"
"212763","12037"
"213568","4430"
"229596","302"
"234234","933"
"234872","1033"
"239463","1902"
"239979","1460"
"240224","6734"
"243646","119970"
"243995","1844"
"244019","3190"
"244152","1830"
"246822","4431"
"249540","19842"
"249567","8422"
"252882","30782"
"252974","1613"
"254980","1868"
"255171","1366"
"258889","431"
"261785","4240"
"261873","5550"
"262756","471"
"264889","530"
"269101","6855"
"270010","1374"
"270625","347"
"272112","734"
"273452","369314"
"280923","377"
"281068","4458"
"281843","418"
"283726","9196"
"284500","2851"
"288732","15633"
"289601","15574"
"290548","474793"
"291744","878"
"295538","276954"
"297498","368"
"298363","149902"
"299793","2017"
"300582","5582"
"301024","11842"
"308756","12524"
"311677","2462"
"312621","1168"
"317652","5393"
"318039","965"
"319508","6038"
"321128","28177"
"326818","116627"
"327654","5631"
"331468","2317"
"332477","4500"
"341956","254"
"343488","318"
"344774","715"
"354068","1538"
"359342","12911"
"360259","26845"
"360838","856"
"379276","13982"
"379319","310"
"379445","285"
"379941","630"
"380336","6929"
"382353","6948"
"382383","3726"
"384725","117"
"386982","22191"
"390853","3527"
"393118","660"
"396324","3970"
"399155","26988"
"416771","3029"
"424517","5817"
"425688","36758"
"428478","5510"
"430386","2659"
"430599","2150"
"431013","29503"
"432570","2794"
"432753","788"
"434404","657"
"436760","748"
"437864","2850"
"438142","250"
"438704","2087"
"439253","1899"
"440200","2429"
"442658","18688"
"443411","7280"
"444248","2510"
"446981","8954"
"447785","1056"
"450380","40841"
"453404","1844"
"454368","9630"
"454771","380"
"456837","165"
"457307","4154"
"459182","59914"
"462160","186"
"462264","1847"
"464478","2577"
"464580","2436"
"466482","6270"
"467150","291"
"473173","26127"
"473687","52033"
"474259","192"
"475421","53223"
"476701","2297"
"477863","1740"
"478498","25594"
"480358","27017"
"481098","2199"
"481160","50491"
"483197","991"
"485103","776"
"486000","553"
"492954","1734"
"494782","2800"
"497428","6593"
"502001","148"
"503220","1615"
"503967","220"
"507124","2447"
"508608","4812"
"514307","1267"
"517062","1297"
"517628","1044"
"517635","4867"
"518635","3764"
"519781","4370"
"519872","3565"
"521220","4259"
"524676","2310"
"526711","92833"
"529485","10920"
"530330","155542"
"532070","837"
"534215","6936"
"534664","368"
"536352","44454"
"538708","1261"
"540161","3142"
"541219","7128"
"544517","716"
"548462","7394"
"550210","16195"
"550667","424"
"550742","1594"
"557979","2904"
"558308","3687"
"562350","106967"
"563037","24801"
"564137","1467"
"566011","6634"
"566179","16111"
"566570","69391"
"567303","2547"
"567858","2743"
"568970","900"
"570042","12710"
"570605","4240"
"572656","1395"
"573079","23478"
"575157","13187"
"577048","7508"
"579035","15512"
"580817","9785"
"582556","1728"
"583955","2892"
"585320","1958"
"595002","3746"
"595165","642"
"595873","1934"
"597880","1491"
"598949","801"
"602625","969"
"603271","980"
"604210","62281"
"604290","276"
"605498","6383"
"608120","16791"
"609127","2452"
"609553","6395"
"610013","480"
"610080","2251"
"611092","5459"
"612015","117479"
"612178","3403"
"612957","35814"
"616161","2553"
"619921","11776"
"620134","6104"
"621189","6297"
"622900","5775"
"623159","3861"
"623815","74027"
"624898","1249"
"626303","1482"
"627353","2866"
"630566","7429"
"637090","11117"
"639034","933"
"639125","1149"
"640116","24202"
"641810","2716"
"642515","23681"
"642834","1487"
"646395","7861"
"649141","9524"
"649149","14484"
"653304","4517"
"654957","2039"
"655042","340"
"655137","6086"
"663440","1491"
"663768","3472"
"664673","29712"
"665386","2839"
"667412","542"
"670615","1944"
"671512","1614"
"672506","2235"
"678873","13196"
"679974","2242"
"680206","2556"
"681583","43103"
"681991","3246"
"684662","1777"
