Category,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty,Language
Access Control,6555.0,14614317.0,11241.0,4824.0,9327.0,7.954456125840446,2613.0,1157537.1224999998,11.722519985016906,62.8032922535112,java
Cryptography,4851.0,20694689.0,11126.0,8480.0,11797.0,14.281047815247767,2457.0,676825.0397222221,8.753460515945681,53.44506211452761,java
Data Security,4660.0,16328507.0,17244.0,7360.0,11027.0,14.836928481902024,2518.0,749342.1977777778,13.7410468538838,46.55827202203102,java
General,35576.0,99233539.0,71002.0,21439.0,80931.0,9.346629053031709,17796.0,3988098.328055557,158.14627814366756,36.941443962692716,java
Network Security,2020.0,11158235.0,5800.0,2605.0,3394.0,13.615525136320814,891.0,301294.8822222222,2.9232809463017473,61.59303740419747,java
Secure Development,17067.0,60686019.0,37610.0,15021.0,32221.0,10.681943396232434,7303.0,3359430.010277778,27.537973373601673,65.81575029071476,java
Security,35576.0,124643428.0,83958.0,38576.0,68806.0,11.475236023082132,16000.0,6268564.980277779,66.1642686866954,59.50140897008676,java
Software Vulnerabilities,423.0,1161661.0,937.0,286.0,1040.0,10.027997701764088,218.0,24135.72777777778,1.4859870119455956,31.58709983345839,java
Access Control,6208.0,10990457.0,5631.0,2756.0,16411.0,6.588737057466235,2744.0,630105.3191666666,23.32021690997211,39.39272767926966,php
Cryptography,1428.0,3315102.0,2067.0,1050.0,3793.0,9.000656155279891,733.0,195004.8866666667,2.611187473454831,52.59493118756856,php
Data Security,2339.0,8522852.0,7212.0,3374.0,8554.0,15.603014981302081,1480.0,214990.7947222222,10.21753987910299,32.15738140757387,php
General,32191.0,63683908.0,36676.0,11358.0,80413.0,6.676140714167052,16729.0,3021069.2444444443,218.47280878957542,29.854462607652387,php
Network Security,2543.0,8336482.0,4600.0,1691.0,5549.0,9.6311552830665,1128.0,423167.3341666668,7.00724337649643,51.443921254386424,php
Secure Development,17977.0,40048599.0,36047.0,17856.0,52203.0,10.65410088743968,9879.0,2272896.168055556,83.6883829477384,36.697759571421344,php
Security,32191.0,74675365.0,58263.0,27755.0,91733.0,10.07801007724207,16880.0,3873236.9875000007,135.06447266588162,37.957563128673264,php
Software Vulnerabilities,1696.0,3461873.0,2706.0,1028.0,5223.0,8.830029777810209,916.0,137072.4847222222,8.219902079116878,31.371696525503236,php
Access Control,3495.0,6362667.0,5644.0,1866.0,5859.0,7.162145741000845,1260.0,608734.0791666667,8.794555827678714,57.68950070561935,javascript
Cryptography,1719.0,4116708.0,3660.0,1337.0,3949.0,9.769819627532803,827.0,459231.4816666667,3.4036979251687063,65.45613179439016,javascript
Data Security,436.0,728762.0,209.0,110.0,1090.0,4.741342273403254,168.0,13769.097777777775,1.5793430429291655,28.2836468904167,javascript
General,22624.0,55374385.0,52994.0,18422.0,49890.0,10.072843412724271,12204.0,1866359.750555556,161.3006543887816,27.784898073209597,javascript
Network Security,783.0,1460625.0,1008.0,312.0,1812.0,6.859875760358926,343.0,118349.1097222222,3.1761739402952442,43.97874038632277,javascript
Secure Development,13758.0,38065343.0,36996.0,12494.0000001,31908.0000001,11.188351338508388,6694.0,2154547.4541666666,57.6448082943846,42.509743772432195,javascript
Security,22239.0,57225819.0,52644.0,17663.000000099993,49283.0000001,10.175608066269191,10264.0,3658889.4427777776,81.49040494494768,45.99180710819731,javascript
Software Vulnerabilities,2048.0,6491714.0,5127.0,1544.0,4665.0,10.804395108738555,972.0,304258.22027777776,6.891825914491257,45.30963563412582,javascript
Access Control,4603.0,10863382.0,9052.0,3533.0,7880.0,8.83698032353445,1996.0,721740.8694444444,9.763461379488167,55.44801132757062,c#
Cryptography,2408.0,8131513.0,5965.0,2429.0,6441.0,12.256999632291555,1315.0,164201.8661111111,4.342251641695012,41.06431758772345,c#
Data Security,4406.0,12821295.0,13813.0,5326.0,11143.0,12.922939361857273,2489.0,560952.7552777777,13.59087082802917,41.805446441554366,c#
General,22151.0,53950331.0,43703.0,11043.0,52927.0,8.698093892824163,12480.0,2392826.1333333333,94.78606861384688,35.517996608513066,c#
Network Security,2455.0,7360836.0,5092.0,1621.0,4369.0,9.245782070642695,1102.0,421521.0497222222,3.9990772750957344,61.694027722995976,c#
Secure Development,7557.0,25497118.0,20091.0,6285.0,17511.0,11.466418727563738,3755.0,2053652.9324999994,14.955611356285775,65.13595523516307,c#
Security,22148.0,66324320.0,55491.0,19571.0,49063.0,11.008574953330166,11073.0,3955057.545,49.25689975915554,54.35652058162303,c#
Software Vulnerabilities,719.0,1650176.0,1478.0,377.0,1719.0,8.76953551971611,416.0,32988.071944444455,2.6056272785616823,27.970060140844186,c#
Access Control,2915.0,4974139.0,4771.0,2144.0,4628.0,7.556971897455347,1309.0,410635.74166666664,9.613802782733725,45.64783142130995,python
Cryptography,1774.0,5469248.0,3950.0,1375.0,4061.0,10.505373183137372,882.0,172985.7091666666,3.866864188316052,44.81039572242291,python
Data Security,960.0,2477325.0,2110.0,709.0000001,1916.0,9.562150220154274,469.0,162289.4013888889,2.7624340622677823,49.35890797642975,python
General,11353.0,29516616.0,23409.0,6361.0,22866.0,8.819228958019265,5864.0,904466.1372222222,68.54383312335591,29.45191466635522,python
Network Security,1780.0,6181464.0,4329.0,1324.0,2862.0,10.025109705987955,691.0,371635.8180555556,2.755886505885553,70.29634265607845,python
