postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
609,https://api.github.com/repos/prometheus/blackbox_exporter/issues/609,pr,last ssl cert expiri,ad check expiri date ssl certif end chain,,2,3,ssl|certificate,13,0.23076923076923078,0.6715648174285889
3427,https://api.github.com/repos/caddyserver/caddy/issues/3427,issue,featur defin lifetim local pki root intermedi certif,add lifetim configur properti intern ca pki certif current configur subject certif longer ca chain certif root ca day intermedi ca day subject day intermedi trust store devic need updat everi day current workaround configur root intermid cert longer lifetim day,case long live leaf cert want caddi local ca lan revers proxi intermedi root certif chang everi day need updat trust ca certif devic possibl suppli nice caddi allow paramet much leaf certif lifetim short inde ca root intermedi import configur intermedi root certif chang everi day need updat trust ca certif devic root chang current good year root instal trust store intermedi need worri lifetim sign cert ok thank clear somehow lifetim leaf certif intermedi seem parent root ca cert clear lifetim set instal root ca cert trust store remov leaf certif restart leaf correct chain year root ca thank,4,19,pki|certificate|trust|signing,151,0.12582781456953643,0.6609963774681091
4295,https://api.github.com/repos/hashicorp/nomad/issues/4295,issue,nomad accept multipl consul certif author ca file ca path,configur ssl consul possibl specifi ca path contain multipl ca certif instead singl ca file direct oppos allow grace renew ca certif first ca near end life new ca certif gener ad directori consul client server updat chang certif certif sign new ca ca accept make problem nomad howev abil consul client specifi multipl consul ca grace migrat possibl allow,,4,9,certificate|authorise|ssl|signing,71,0.1267605633802817,0.6537330746650696
628,https://api.github.com/repos/prometheus/blackbox_exporter/issues/628,issue,export claim certif expir week valid,monitor cert prometheu export say one cert expir week check cert chrome valid year intermedi root valid year output prometheu th cert self sign one one monitor jut fine idea,read issu check cert use ssl checker onlin say root cert expir th idea possibl think root cert actual expir certif month old,4,7,certificate|validate|signing|ssl,60,0.11666666666666667,0.6460292339324951
11772,https://api.github.com/repos/goharbor/harbor/issues/11772,issue,x certif sign unknown author trust ssl,docker login harbor xxx com return x certif sign unknown author trust ssl cert self sign seem registri accept fix issu,need check verifi current certif trust command,6,14,certificate|signing|authorise|trust|ssl|login,36,0.3888888888888889,0.6359994411468506
11439,https://api.github.com/repos/goharbor/harbor/issues/11439,issue,docker harbor x certif sign unknown author,docker kuberrnet harbor v helm harbor nodeport www harbor com ca crt helm chart harbor x certif sign unknown author,pleas follow doc instal custom cert docker docker secur configur etc pki ca trust sourc anchor x certif sign unknown author,6,12,certificate|signing|authorise|security|pki|trust,49,0.24489795918367346,0.634148359298706
481,https://api.github.com/repos/linuxkit/linuxkit/issues/481,pr,append ca certif host global certif bundl,sign simon ferquel simon ferquel,,2,3,certificate|signing,13,0.23076923076923078,0.603160560131073
1834,https://api.github.com/repos/rancher/rke/issues/1834,issue,support certif chain use custom cert,rke version specifi custom certif rke assum specifi ca directli sign final certif kubernet compon specifi custom certif use intermedi ca valid certif fail due issuer name mismatch e inform kubernet compon serv whole certif chain instead certif intermedi ca setup benefici case intermedi ca rotat case need suppli long live offlin root ca client trust rotat intermedi certif,,4,11,certificate|signing|validate|trust,66,0.16666666666666666,0.5960469841957092
865,https://api.github.com/repos/cloudflare/cfssl/issues/865,issue,error sign intermedi ca,hi problem set cfssl root intermedi last step sign fail csr decod fail sure wrong debug log say much config syntax seem ok setup cfssl version version revis dev runtim go config ca config json ca root csr json ca intermedi csr json run command give error log output sign,remov ca section intermedi csr come instead configur profil cn intermedi ca v key algo ecdsa size name c fo l foo bar st foobar cfssl sign profil intermedi ca ca root pem ca key ca root key pem config ca config json ca intermedi csr json cfssljson bare ca intermedi cfssl sign profil intermedi ca ca root pem ca key ca root key pem config ca config json csr file cfssljson bare ca intermedi csr file ca intermedi csr json ca intermedi csr thank work follow direct happen intermedi ca command creat certif root creat sign certif intermedi intermedi ca sign client certif recogn client certif sign sign intermedi certif origin unsign one origin self sign certif break chain root miss possibl verifi client certif via command howev give error get ok howev get self sign error expect behavior,4,21,signing|decode|ecdsa|certificate,195,0.1076923076923077,0.5885656476020813
90,https://api.github.com/repos/fullstorydev/grpcurl/issues/90,issue,x certif sign unknown author,make tool accept self sign cert,actual ignor handshak instead accept certif assum option correct unsur correct want verifi self sign cert vs trust server cert add trust root cert option,4,8,certificate|signing|authorise|trust,37,0.21621621621621623,0.5839452743530273
1609,https://api.github.com/repos/hashicorp/vault/issues/1609,issue,integr certif chain need cert file curl approach vault tls,pki secret backend build ca gener certif vault server enabl tls everyth ok issu certif directli root error report issu certif intermedi ca sign anoth root ca anoth pki backend took sometim resolv problem want share peopl recommend vault team adjust document specifi potenti problem command intermedi ca certif file intermedi pem contain root ca certif vault server certif file configur vault server vault server pem assign intermedi ca concaten primari certif intermedi ca certif togeth contain root ca certif root ca certif ad end intermedi pem vault server pem make curl work word tls cert file option configur need concaten primari certif ca certif togeth need contain integr certif chain cacert option curl command,whether concaten need depend whether instal ca cert trust system root fact recommend qualsi other actual includ root ca favor ensur trust ca cert instal trust system locat obvious method work recommend method concaten full chain favor use system root ok misunderstood thank jeff need append root ca end intermedi ca server cert two way solv problem pass root ca cert cacert option append root ca cert trust system locat mine etc pki tls cert ca bundl crt want point intermedi ca cert root ca cert pass system trust,6,30,integrity|certificate|tls|pki|signing|trust,215,0.13953488372093023,0.5783278942108154
6143,https://api.github.com/repos/influxdata/telegraf/issues/6143,pr,add certif verif statu x cert input,resolv alway set verifi cert collect pars verifi self sign cert remot endpoint file self sign ca self sign cert valid success altern,,3,5,certificate|signing|validate,31,0.16129032258064516,0.5754120349884033
346,https://api.github.com/repos/rancher/k3os/issues/346,pr,establish etc ssl cert pem symlink,etc ssl cert ca certif crt fix,,2,3,ssl|certificate,14,0.21428571428571427,0.5727776288986206
