postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
1782,https://api.github.com/repos/spesmilo/electrum/issues/1782,issue,ignor invalid ssl cert cert none allow mitm,electrum fall back use cert none make initi connect server cert requir connect fail socket abridg code seem leav electrum open mitm attack sinc electrum cach cert first mitm potenti probabl limit initi use electrum new server ad list,electrum allow self sign ca sign certif self sign certif save first use later valid inde possibl mitm server first model best without ca valid ca sign certif newer featur electrum understand comment follow possibl mitm ca sign server creat self sign certif name certif save use later guess mitig save name alreadi encount ca sign server thomasv wrote ca sign certif newer featur electrum understand comment folow possibl mitm ca sign server creat self sign certif name certif save use later correct see bug certif handl wors right handl self sign certif probabl user verifi certif trust thereaft even worth given easi letsencrtypt cert see shy jo mayb make server oper switch ca sign certif futur electrum version thought believ issu fix asyncio branch case inform server oper switch ca sign cert asap make sens issu discuss possibl creat self sign cert name ca sign cert certif pin need switch mandatori ca sign certif mitig need store name server ca sign cert later replac pin certif yes true howev switch mandatori ca sign certif solv issu outlin potenti mitm attack first connect server fix master sinc merg asyncio aiorpcx chang relev point still accept self sign ca sign cert still trust first encount self sign cert noth yet save host pin encount ca sign cert noth yet save host save empti file pin fact ca sign cert accept host forev pin self sign cert save host cert expir delet possibl mitm realli altern kill hostnam forev pin self sign cert save host cert still valid accept,7,58,validate|ssl|mitm|attack|signing|certificate|trust,305,0.1901639344262295,0.5724305510520935
1782,https://api.github.com/repos/spesmilo/electrum/issues/1782,issue,ignor invalid ssl cert cert none allow mitm,electrum fall back use cert none make initi connect server cert requir connect fail socket abridg code seem leav electrum open mitm attack sinc electrum cach cert first mitm potenti probabl limit initi use electrum new server ad list,electrum allow self sign ca sign certif self sign certif save first use later valid inde possibl mitm server first model best without ca valid ca sign certif newer featur electrum understand comment follow possibl mitm ca sign server creat self sign certif name certif save use later guess mitig save name alreadi encount ca sign server thomasv wrote ca sign certif newer featur electrum understand comment folow possibl mitm ca sign server creat self sign certif name certif save use later correct see bug certif handl wors right handl self sign certif probabl user verifi certif trust thereaft even worth given easi letsencrtypt cert see shy jo mayb make server oper switch ca sign certif futur electrum version thought believ issu fix asyncio branch case inform server oper switch ca sign cert asap make sens issu discuss possibl creat self sign cert name ca sign cert certif pin need switch mandatori ca sign certif mitig need store name server ca sign cert later replac pin certif yes true howev switch mandatori ca sign certif solv issu outlin potenti mitm attack first connect server fix master sinc merg asyncio aiorpcx chang relev point still accept self sign ca sign cert still trust first encount self sign cert noth yet save host pin encount ca sign cert noth yet save host save empti file pin fact ca sign cert accept host forev pin self sign cert save host cert expir delet possibl mitm realli altern kill hostnam forev pin self sign cert save host cert still valid accept,7,58,validate|ssl|mitm|attack|signing|certificate|trust,305,0.1901639344262295,0.572425901889801
576,https://api.github.com/repos/jakubroztocil/httpie/issues/576,issue,refus trust self sign certif,entir understand discuss issu think root caus issu need trust self sign certif technic self sign intermedi certif author one actual server certif author result certif satisfi everi applic mac os includ curl httpie simpli trust sampl output connect accept tri convert certif file der format instead pem chang httpie instal via homebrew instal python depend,trust self sign certif never encourag danger program accept default hacker simpli inject self sign one make user feel secur case howev suggest respons issu use self sign certif clearer messag rather simpli fail suggest disabl verif test purpos great entir understand discuss issu think root caus issu need trust self sign certif technic self sign intermedi certif author one actual server certif author result look root caus httpie case use bundl provid suspect actual caus follow test domain return full certif chain leaf work fine browser dynam retriev rest chain non browser client case provid part chain via still intermediari place one bundl provid instead suspect find work trust self sign certif never encourag danger program accept default hacker simpli inject self sign one make user feel secur case blanket advic usual wrong case quit alarmingli wrong self sign certif solut problem know case use self sign certif neither case advic like useless nois rest peopl receiv email notif issu repositori self sign certif danger trust without verif case seem know trust chain trust make usag perfectli safe yes happen upon site use http need enter sensit inform advis self sign certif wildli differ situat understand yes case use corpor web proxi http man middl inspect traffic gener domain specif certif fly blah understand proxi failur provid full certif chain caus issu perhap openssl behavior python behavior differ maco built mechan trust chain connect proxi look fly certif issu www testdomain com intermedi ca certif call proxi name self sign root ca certif call compani name unabl obtain certif howev certif avail proxi import keychain mark trust ssl enough satisfi everyth mac except includ command line tool curl observ behavior valid mechan follow chain find trust certif stop root certif absenc irrelev debug output post initi report store certif specifi file say enough must provid certif perhap openssl behavior python behavior differ maco built mechan openssl look bundl provid whatev miss cannot find fail verif transit python behaviour securetransport maco built mechan work slightli differ certif maco keychain maco default python hack lack better term version openssl use keychain thu resolv even provid certif bundl e tell trust bundl file say lol got keychain access trust yolo yovo verifi idk entir trust chain fly certif describ think abl away bundl includ link chain instal maco instal homebrew version cannot take advantag mac hack openssl final abl identifi obtain self sign root certif upon put cert intermedi cert pem file use file longer got ssl error good suggest openssl requir entir certif chain unlik securetransport accept partial chain even manual suppli thought follow addit complic proxi let traffic go certain domain without insert custom certif look cannot multipl argument last one win multipl certif bundl workaround involv concaten openssl provid root ca bundl custom bundl upon demand hope avoid openssl support provid directori full file verif said support python spotti honestli think anyth older python support directori standard librari recal pyopenssl support short think accomplish end without one serv file catch http transport librari httpie use quit support directori either given limit support across version tls librari implement ol postman rescu turn detect self sign cert ssl good probabl dev know disabl ssl corner case languag limit whatev stink know peopl want work done wonder say ssl good gut reaction say disabl ssl verif disabl ssl verif ssl ssl good know right confus common knowledg ssl verif realli whole ssl thing postman option disabl ssl verif fanci say someth potenti insecur curl option flag call fanci hide exactli problem turn ssl think fine test postman til postman option go turn back disabl ssl everi current futur project send api key coffe shop hope dev machin self sign cert corpor cas supplant scriptabl automat letsencrypt cert one day shame python make less organ trust system keychain ssl store curl replac except area guess golang oper system detect stuff modern curl replac bat written go pretti output nice cli experi handl custom cas ssl termin load balanc ssl good probabl dev know disabl ssl corner case languag limit whatev stink know peopl want work done wonder say ssl good gut reaction say disabl ssl verif disabl ssl verif ssl ssl good know right confus common knowledg ssl verif realli whole ssl thing postman option disabl ssl verif fanci say someth potenti insecur curl option flag call fanci hide exactli problem turn ssl think fine test postman til postman option go turn back disabl ssl everi current futur project send api key coffe shop hope dev machin self sign cert corpor cas supplant scriptabl automat letsencrypt cert one day shame python make less organ trust system keychain ssl store curl replac except area guess golang oper system detect stuff modern curl replac bat written go pretti output nice cli experi handl custom cas ssl termin load balanc nope good need abl curl even adhoc develop certif,19,142,trust|signing|certificate|authorise|danger|hack|inject|security|safe|sensitive information|openssl|ssl|availability|validate|transport|tls|insecure|scripting|encrypt,875,0.16228571428571428,0.4701715111732483
3602,https://api.github.com/repos/psf/requests/issues/3602,issue,self sign certif pass via verifi path cert still trigger certif verifi fail,happen mac openssl get instal via brew instal request pip via request secur version python ssl python c import ssl print ssl openssl version openssl j sep download certif via verifi cert ok via use work past server got new certif right idea wrong,abl share us output yes certif self sign result root certif valid issuer cert suspect root cert connect maco keychain curl actual use valid connect thank respons far curl maco keychain pass certif argument curl download anyth either follow crt link output download certif check output someth root certif still work next first try find human proper root certif print pleas sorri meant liter command case sensit capit v purpos yeah notic yup remain case curl use regardless whether curl found root keychain curl use total differ librari request build cert chain alway caus devianc behaviour hi got answer certif file still fail ad cert browser made browser accept websit googl valid cert via ssl gave page realiz enough pass root certif intermedi certif org use root certif intermedi certif verifi connect request need complet certif chain creat cert file past root certif intermedi certif thank much quick help hi sorri tag old issu similar question regard request verifi ssl cert want verifi ssl cert server use chain cert root certif self sign cert intermedi cert abc issu root ca cert server cert issu abc notic put cert directori point environ variabl request ca bundl run c rehash util directli point request method call still receiv ssl verif error understand seem root certif cert scenario requir verifi ssl cert success verifi ssl certif server cert intermedi cert cert case without use root certif request properli openssl alway requir root certif success build chain thank respons,7,44,signing|certificate|openssl|ssl|security|validate|hash,303,0.14521452145214522,0.4669210612773895
506,https://api.github.com/repos/certbot/certbot/issues/506,issue,letsencrypt support j ee server tomcat,letsencrypt realli great tool seem cannot instal letsencrypt support server later think right,right certif use standalon mode manual instal server still conveni mani case exist option obtain certif welcom contribut code integr smoothli automat server plugin api allow extend client work wider rang softwar current use apach nginx standalon mode realli work glassfish pem certif convert der import glassfish work relat issu java server client export certif der format whatev next step creat new key store import key exist key store detail see try later pleas report back work confirm work tomcat got le cert nas manual import jks provid tomcat cert straight forward simpli creat jks exist pem file need creat p keystor import jks instead describ step tomcat accept pkc keystor skip pkc jks convers thank much let know next certif renew approach definit try pkc keystor tomcat save convers step awesom plugin make automat convers java server automat certif renew go worri certif java server anymor good tomcat java server glassfish wildfli jetti etc pleas make happen fyi tomcat even accept pem certif convers requir anymor move chmode certif restart tomcat connector easier implement hi sound figur simpler solut one abl provid step requir letsencrypt newbi perform tomcat instal certbot interest ad cron job script wait offici certbot updat perhap look yes exampl use tomcat pem certif howev debian ubuntu rather tomcat packag provid distribut gotcha thank window window machin run tomcat hope see respons one exampl tomcat pem certif exampl work debian ubuntu tomcat ant certbot packag world readabl tomcat run root tomcat restart automat renew make observ post say tomcat pem certif make immedi obviou work use apr librari tomcat basic offload work nativ openssl librari need good openssl environ work fallen world alway possibl fulli nativ java jsse implement still definit need convert cert keystor though interchang pkc jks keystor day sinc tomcat pem certif directli nio nio connector longer put certif pkc jks keystor use openssl implement ie select implicitli apr librari good enough openssl librari avail nb look tomcat doc use expect part doc written bit clumsili imho essenti openssl option use openssl implement either via http aprprotocol via either http nio protocol use openssl implement made lot chang certbot sinc issu open still issu date version certbot pleas add comment let us know help us better see issu still affect user activ next day issu automat close tomcat support pem certif jsse implement sinc tomcat,6,29,encrypt|certificate|integrity|scripting|openssl|availability,412,0.0703883495145631,0.4183208644390106
7062,https://api.github.com/repos/certbot/certbot/issues/7062,issue,cert yet due renew let encrypt expiri bot complain,receiv email letsencrypt let encrypt certif expir notic domain exampl com give cert yet due renew renew attempt guess inconsist time pleas certbot renew certif letsencrypt start complain,pleas check particular issu new certif add remov name rel old certif expir email old certif common receiv email ad remov name certif wish post question domain name peopl abl check whether case wonder certbot deregist old certif expir notic creat new cert superset name uniqu cert id preserv across name chang boss alway see mail think someth bad realli tell problem know name chang usuali wait certif expir email less ideal inde inform expir notic mail start day effect expir certbot try renew certif one month expir date said new certif ad name old one revok old one stay letsencrypt databas even anymor situat certif remov local instal certbot without revok anyway situat expect normal new certif ad name old one revok old one ad new name certbot ask want add exist certif creat new one cool ask want revok old one case expans,2,18,encrypt|certificate,183,0.09836065573770492,0.41421908140182495
3366,https://api.github.com/repos/certbot/certbot/issues/3366,issue,certif symlink fix upgrad,instal use letsencrypt via git last commit commit cfb f f cfe c e f e ade author brad warren bradmwarren tue apr debian jessi rootlsb releas lsb modul avail distributor id debian descript debian gnu linux jessi releas codenam jessi rootwa abl obtain certif went well end juli instal certbot debian repo rootpr certbot certbot bpo python certbot bpo python certbot apach bpo root pre tool see packag instal certif updat apach serv new certif narrow problem symlink etc letsencrypt live wli ddn info updat rootll etc letsencrypt live wli ddn info lrwxrwxrwx root root etc letsencrypt live wli ddn info cert pem archiv wli ddn info cert pem lrwxrwxrwx root root etc letsencrypt live wli ddn info chain pem archiv wli ddn info chain pem lrwxrwxrwx root root etc letsencrypt live wli ddn info fullchain pem archiv wli ddn info fullchain pem lrwxrwxrwx root root etc letsencrypt live wli ddn info privkey pem archiv wli ddn info privkey pem rootll etc letsencrypt archiv wli ddn info rw r r root root feb etc letsencrypt archiv wli ddn info cert pem rw r r root root etc letsencrypt archiv wli ddn info cert pem rw r r root root jul etc letsencrypt archiv wli ddn info cert pem rw r r root root feb etc letsencrypt archiv wli ddn info chain pem rw r r root root etc letsencrypt archiv wli ddn info chain pem rw r r root root jul etc letsencrypt archiv wli ddn info chain pem rw r r root root feb etc letsencrypt archiv wli ddn info fullchain pem rw r r root root etc letsencrypt archiv wli ddn info fullchain pem rw r r root root jul etc letsencrypt archiv wli ddn info fullchain pem rw r r root root feb etc letsencrypt archiv wli ddn info privkey pem rw r r root root etc letsencrypt archiv wli ddn info privkey pem rw r r root root jul etc letsencrypt archiv wli ddn info privkey pem rootfollow seri command repair problem server serv new certif expect rootrm cert pem rootln archiv wli ddn info cert pem cert pem rootrm chain pem rootln archiv wli ddn info chain pem chain pem rootrm fullchain pem rootln archiv wli ddn info fullchain pem fullchain pem rootrm privkey pem rootln archiv wli ddn info privkey pem privkey pem rootwould hope git repo user upgrad packag extra step help,initi instal letsencrypt ws april obtain certif expect instal certbot renew certif juli idea happen,5,31,certificate|encrypt|authorise|availability|scripting,420,0.07380952380952381,0.4139152467250824
18996,https://api.github.com/repos/ansible/ansible/issues/18996,issue,letsencrypt creat full chain cert,decemb issu type bug report compon name letsencrypt ansibl version configur pipelin true os environ os x local action summari letsencrypt creat full chain cert miss intermedi cert thing websocket mobil browser break step reproduc run playbook modul exampl expect result full chain cert creat cert intermedi file creat actual result cert intermedi chain cert creat copi origin issu ansibl ansibl modul extra,decemb ping issu wait respons click bot workaround current ing sign cert variabl creat full chain cert use two variabl sign cert first follow intermedi cert bit mess work acm say link match intermedi certif provid head certif download resourc link relat use challeng resourc indic author resourc challeng belong use certif resourc indic resourc client fetch chain ca certif use valid certif origin resourc great modul download intermedi cert use link think option save intermedi cert separ file use need intermedi cert go ocsp stapl apach nginx modul download updat intermedi cert pull new certif benefit alway sure latest intermedi cert case letsencrypt updat suspect proper fix immin want solut use suggest ad step role result chaincert seem work well enough although ymmv think simpli output fullchain file noth els good idea exampl ocsp stapl need root chain root certif intermedi certif one file well write intermedi certif file return data user whatev need,5,17,encrypt|signing|certificate|authorise|validate,224,0.07589285714285714,0.4134901762008667
5847,https://api.github.com/repos/spesmilo/electrum/issues/5847,issue,gui dialog certif ssl tls electrum server mayb special case oneserv mode,tri search follow alreadi discuss find anyth run electrum command connect local node wonder follow case chang certif expect server certif chang electrum client know origin certif connect server declin new certif log howev dialog shown user via gui purpos show error messag mayb error messag shown electrum start accept new certif electrum know certif server yet accept self sign certif without show fingerprint user mani server self sign certif alert user much mayb yes select box shown electrum start,cert accept see authent client accept ca sign certif self sign ssl certif first connect server pin fact whether server use ca sign self sign cert self sign accept cert expir server tofu ca sign forev accept ca sign cert server server ca sign self sign cert advantag self sign cert client use tofu possibl man middl first connect ca sign cert need trust certif author expect server certif chang electrum client know origin certif connect server declin new certif yes silent fail assum self sign cert log howev dialog shown user via gui purpos show error messag client typic setup connect mani server dialog need shown often user condit blindli click electrum know certif server yet accept self sign certif without show fingerprint user yes trust first self sign cert mani server self sign certif alert user much yes mani dialog mayb error messag shown electrum start onesev mayb yes select box shown electrum start oneserv acknowledg silent failur connect cert rotat bad ux extent guess user want verifi cert fingerprint first connect howev frankli sure nice implement ui ux perspect suggest special case oneserv purpos make sens guess think user mostli interest believ mani user though even seem conveni issu mostli cert rotat fingerprint check cert rotat think dialog overkil use somehow show gui connect fail due reject cert mayb network dialog shown independ oneserv actual recur issu user fail connect server cert rotat figur user savvi enough check log fingerprint check mayb dialog oneserv use sure code need bit refactor make work easi first step introduc method e g call qt consol verifi fingerprint fact e print cert fingerprint connect main server workaround want tofu server suppos manual copi cert server dir client thank thorough answer explan make sens search topic see show alreadi use wrong keyword respons network set show fail connect due reject cert probabl help peopl try look,8,49,certificate|ssl|tls|signing|fingerprint|authentication|trust|authorise,407,0.12039312039312039,0.4064488708972931
5847,https://api.github.com/repos/spesmilo/electrum/issues/5847,issue,gui dialog certif ssl tls electrum server mayb special case oneserv mode,tri search follow alreadi discuss find anyth run electrum command connect local node wonder follow case chang certif expect server certif chang electrum client know origin certif connect server declin new certif log howev dialog shown user via gui purpos show error messag mayb error messag shown electrum start accept new certif electrum know certif server yet accept self sign certif without show fingerprint user mani server self sign certif alert user much mayb yes select box shown electrum start,cert accept see authent client accept ca sign certif self sign ssl certif first connect server pin fact whether server use ca sign self sign cert self sign accept cert expir server tofu ca sign forev accept ca sign cert server server ca sign self sign cert advantag self sign cert client use tofu possibl man middl first connect ca sign cert need trust certif author expect server certif chang electrum client know origin certif connect server declin new certif yes silent fail assum self sign cert log howev dialog shown user via gui purpos show error messag client typic setup connect mani server dialog need shown often user condit blindli click electrum know certif server yet accept self sign certif without show fingerprint user yes trust first self sign cert mani server self sign certif alert user much yes mani dialog mayb error messag shown electrum start onesev mayb yes select box shown electrum start oneserv acknowledg silent failur connect cert rotat bad ux extent guess user want verifi cert fingerprint first connect howev frankli sure nice implement ui ux perspect suggest special case oneserv purpos make sens guess think user mostli interest believ mani user though even seem conveni issu mostli cert rotat fingerprint check cert rotat think dialog overkil use somehow show gui connect fail due reject cert mayb network dialog shown independ oneserv actual recur issu user fail connect server cert rotat figur user savvi enough check log fingerprint check mayb dialog oneserv use sure code need bit refactor make work easi first step introduc method e g call qt consol verifi fingerprint fact e print cert fingerprint connect main server workaround want tofu server suppos manual copi cert server dir client thank thorough answer explan make sens search topic see show alreadi use wrong keyword respons network set show fail connect due reject cert probabl help peopl try look,8,49,certificate|ssl|tls|signing|fingerprint|authentication|trust|authorise,407,0.12039312039312039,0.40644827485084534
