postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
7,https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/7,pr,add support gener verifi digit signatur,present sign function throw except try sign much data ideal function gener sha digest data sign integr commoncrypto swift framework seem tricki see,hi paulw first thank contribut right cannot merg pull request secur without hash sign messag certain size possibl forgeri attack reorder attack sourc think best us implement digit signatur swiftyrsa implement sha function one cryptoswift base wiki hash pad see exampl implement digit signatur hash without pad good start thank contribut ad digit signatur use find framework integr make chang happi merg swiftyrsa sensibl includ cryptoswift depend implement sha swiftyrsa ad sha digest function use commoncrypto librari ad pkcssha pad integr test need make sure work integr project pod ok look promis tri build work perfectli howev pod instal fail commoncrypto carthag instal fail code work review back asap method use integr commoncrypto great work thank lot bring featur swiftyrsa addit comment make sure follow merg sign section readm explain avail sign verif method swiftyrsa document sha part add line changelog describ chang pleas link current pull request swift objc test class method variant swift objc test instanc method counterpart still kind torn need duplic swift objc test bitten past lack prevent librari use objc environ let know guy know better altern make sure everyth work fine see coupl style issu address comment inlin think enforc swiftlint let manual great work awesom featur add particularli appreci time took includ commoncrypto sinc seem pain implement test current swift test suit sinc class method creat instanc invok correspond instanc method instanc method test class method test instanc method believ specif instanc method test requir fact convert string data call explicit test method probabl need either includ updat readm changelog file ad document sign verifi method doc directori gener use jazzi obvious incomplet encrypt decrypt function document abl method return boolean minimum amount disrupt swift usag still compat object c great guy perfect time look work digit signatur excel stuff look forward see merg okay look pull request first naiv question return verificationresult instead bool updat pull request latest version still error cocoapod commoncrypto miss use swiftyrsa podspec find yet see mayb cocoapod automat gener bridg header commoncrypto modifi line swiftyrsa podspec tri integr test carthag manual build everyth work great make chang readi merg pleas hold make sure find cleaner solut boolean rather anoth object document look issu bit paul said return swift primit throw function want bridg objc trick pretti neat implicit convers bool swift good addit thank document method use want auto gener document howev think quit time yet add section especi sinc html use without websit let try reduc scope pr mind remov gener doc long document readm think fine afraid integr common crypto pod process quit tricki option see one differ implement sha declar cryptoswift depend idea use appl crypto librari like patch second includ appl header swiftyrsa bridg header rncryptor requir user mess around bridg header integr pod third approach still experi creat separ podspec within swiftyrsa creat commoncrypto target yeah expect write sha function swift swiftyrsa work abl code without modif idea use appl librari especi thing crypto know help pod one especi made commoncrypto hash function took altern approach move sha function object c categori seem work includ pod test swift project okay tri integr carthag cocoapod everyth seem work howev seem fork tag realli problem sinc probabl updat version work merg fetch upstream got new tag sure come across day want push tag repo perhap need make chang order give someth push wont problem anyway none chang tag anyway look great thank lot ad featur great improv gonna merg chang tag version ad linter rule thank take time review test chang go ahead publish miss tag cocoapod given great work pr sent invit join swiftyrsa maintain group pressur accept feel free back question,11,57,signing|signature|sha|integrity|crypt|security|hash|forgery|attack|availability|encrypt,639,0.0892018779342723,0.8823330402374268
143,https://api.github.com/repos/mssun/passforios/issues/143,issue,support git remot gcrypt helper,similar spirit pass git helper encrypt file directori name entir git histori pass repo git remot gcrypt implement entir shell sh script encrypt repositori format seem pretti straightforward critic pretti sure almost one els use git helper pass confid low prioriti contributor project will submit pr someday,pretti sure almost one els use git helper pass yes heard pr welcom seem issu safe close pr mark enhanc hope one day issu close awesom pr inde great featur particular light recent meltdown spectr vulner rais question regard secur virtual server host sensit git repositori pretti import featur fact option current think keep use clearli favour due simplic easi anywher implement hi note pass ios use git command line avail ios obvious use object c bind therefor support simpl linux pc one implement encrypt decrypt process function understand nice featur given current unresolv issu featur think implement near futur unless someon familiar mechan help thank swift repli guess luck seem implement suggest even difficult imposs sinc pass tomb base dm crypt therefor compat mac even start implement sadli,7,12,crypt|encrypt|scripting|safe|vulnerability|security|availability,182,0.06593406593406594,0.5793835520744324
248,https://api.github.com/repos/mssun/passforios/issues/248,pr,add abil hide password imag,add option allow toggl abil hide show favicon imag associ password entri effect disabl load favicon default option disabl thu opt mean chang behaviour exist instal implement follow structur password display option key benefit option privaci eg prevent passforio reveal given devic password store glean fact favicon load manner given url password entri,thank think make sens term privaci think ui need chang later remov imag placehold sinc useless disabl favicon absolut agre lightest touch chang implement featur without chang much want take look remov placehold imag sure go ahead remov placehold imag move text left see littl involv expect auto layout sort,2,7,password|privacy,109,0.06422018348623854,0.5195672512054443
183,https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/183,issue,swift clearmessag bad encrypt,updat swift version updat build latest swiftyrsa encrypt method clearmessag class sometim wrong data test save clear messag encrypt ok next time use object second time encrypt data ok fact correct encrypt data complet random updat swift,updat face problem case encrypt failur move back xcode solv issu afaik specif issu swiftyrsa wrapper around secur api seem fail found reproduc swiftyrsa unit test though happen fairli often product app tri encod credit card data error everi time month year cvc look problem reproduc often tri encrypt small string symbol experienc issu migrat project xcode xcode ask appl keep updat encount problem tri decrypt messag alway sometim got bad decrypt xcode test fork made recent time extens test updat fix warn use proper initi avail seen bug occur unit test seem pass problem problem clearmessag class updat xcode latest version updat carthag encrypt sometim unsuccess solut copi clearmessag class swiftyrsa sourc project new name class instead clearmessag swiftyrsa seem problem relat compil time languag version action problem complet solv test run api call use rsa encrypt fix succeed origin swiftyrsa fail make pr great hear open experienc issu migrat project xcode xcode ask appl keep updat post solut solv issu thank,6,21,encrypt|crypt|rsa|security|encode|availability,205,0.1024390243902439,0.5166254639625549
134,https://api.github.com/repos/buildasaurs/Buildasaur/issues/134,pr,disabl app transport secur connect self sign xcs,ad ats key info plist,result integr durat minut second result test pass pleas fix warn test coverag sure need ad info plist think tri ad buildasaur app target enough pleas try remov rest see whether still work thank local machin add test target ad test target encas ad test break depend server look need one target result integr durat minut second result test pass pleas fix warn test coverag brilliant thank,4,5,transport|security|signing|integrity,81,0.06172839506172839,0.47234833240509033
44,https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/44,issue,emb signatur pdf ios,dear success gener signatur valu pkc data swiftrsa want emb signatur pdf one pleas tell achiv ios share demo code student jagan engin colleg work sem project thank regard naresh,thank open issu swiftyrsa aim solv signatur verif part ad signatur pdf outsid scope librari suggest look pspdfkit provid add rsa signatur pdf ios thank great day,2,9,signature|rsa,62,0.14516129032258066,0.4409961998462677
228,https://api.github.com/repos/SwiftGen/SwiftGen/issues/228,issue,imag command fail type asset,swiftgen debug creat issu anyway fyi,strang command crash mean wonder call except intern depend version xcode use especi one default command line try run termin see crash still occur crash insid ibtool think someth wrong crash actool ibtool intern want report bug appl btw mayb someth misconfigur asset catalog noth secret feel free share asset catalog test given crash print ibtool actool guess unassign entri asset catalog misplac imag associ slot slot invalid identifi hardwar associ someth similar version xcode use especi one default command line xcode select p try run xcrun actool print content resourc asset xcasset termin see crash still occur feel free share asset catalog test sorri confidenti afraid creat minimum project issu reproduc sometim sometim pleas try command seq actoolxcrun actool compil test assetstest asset xcasset minimum deploy target platform somethingxcrun sdk appletvo actool print content xcodebuild showsdksfor echo xcrun actool print content assetstest asset xcasset donexcrun actool compil test assetstest asset xcasset minimum deploy target platform appletvosxcod selectfor seq echo xcrun actool print content assetstest asset xcasset done fail often try latest beta yet right tri ad stuff empti catalog imag work data work textur crash cube textur crash app icon launch imag ios app icon launch imag work maco app icon gener icon work watcho app icon work tvo launch imag work app icon top shelf imag crash watch complic crash appl tv imag stack imag stack layer work sprite atla work game center dashboard leaderboard leaderboard work sticker pack pack sticker sequenc sequenc frame work note say crash actual mean output crash file bug matter remov actool depend spoke appl engin wwdc said fix xcode test beta inde seem work ugh anyway still need support older xcode version break ahah thx updat realli fix dev tool year,4,22,asset|signing|validate|confidential,301,0.07308970099667775,0.4177352488040924
5074,https://api.github.com/repos/wordpress-mobile/WordPress-iOS/issues/5074,pr,remov unus imag asset appimag collect,clean appimag collect asset old unus still asset current refer appear recent ad intend plan icon exampl addit gridicon asset remain current unus say left continu expand usag resolv need review pleas review test valid idea ensur none remov pleas take look chang let know anyth stand remain imag asset app see png pdf version futur pr,red favorit color heart remain imag asset app see png pdf version futur pr updat readi review put togeth solut review asset delet sinc like line cool thank done experi approach review delet imag asset work experiment shell script script run first argument hash commit delet imag asset second argument benig directori script run check base project directori need idea script work review aid list warn delet asset still use project search directori rather review doubl check remov asset hand instead refer output warn run search project doubl check warn asset inde unus think approach sold ideal delet mani asset thank put script togeth great start verifi imag search project warn flag see usag think good go incident found good search criteria limit amount look script work well think one two thing miss case asset name match imag name case imag prepend right situat go come often helper tool rather tool shipit actual one last thing notic refer comment remov fanci clean littl wink ran project back slender flag two extra imag think use see one anywher push coupl commit take one peak actual one last thing notic wpnuxbackbutton refer comment btn back btn back tap remov went ahead updat comment refer notif icon check icon check blue wpwalkthroughoverlayview see one anywher went ahead remov two asset well renam script file run script work well think one two thing miss case asset name match imag name case imag prepend ipad right situat go come often helper tool rather tool think script like fairli complic error prone chang go ahead leav script project refer continu remov png reus pdf seem great review flow script project search exampl one note histori pr xcode search featur make nervou valid chang bitten past either index delay search result miss content inde project like bug kind yep place bitten pod use asset main project think wpstyleguid chang look good let shipit thank great review,4,31,asset|validate|scripting|hash,383,0.08093994778067885,0.40836700797080994
43,https://api.github.com/repos/mssun/passforios/issues/43,issue,one time password token support,hello chanc support otp support implement,good suggest work later hi provid limit support time base one time password algorithm totp abl gener one time password totp token one encrypt password file contain five relat key valu pair follow five line order ok none relat line insert otp entri correct format still work provid user friendli ui e g refresh totp show lifecycl totp fun updat commit dccd file otp algorithm otp period otp digit option default valu sha digit wonder guess updat readm includ featur appeal featur hmac base one time password otp support dccd abl gener hotp token password file contain follow key valu pair line order ok none relat line pass otp insert otp entri correct format plan close issu soon sure although need better ui better document,4,9,password|encrypt|sha|hmac,137,0.06569343065693431,0.3895260691642761
22,https://api.github.com/repos/TakeScoop/SwiftyRSA/issues/22,pr,ad support read multipl public key pem file,usecas multipl public key content sign want put multipl public key singl file much multipl ssl cert chain file method pars data use try pars test ad realli insan usecas empti string read one test privat key fun ad code coverag new method comment,thank lot great ad coupl comment inlin updat changelog md keep track chang thank done perfect merg thank much implement sent invit join swiftyrsa maintain group pressur accept feel free back question,4,6,public key|signing|ssl|private key,85,0.07058823529411765,0.3815159201622009
65,https://api.github.com/repos/ptsochantaris/trailer/issues/65,issue,put pull request assign separ assign section,nice assign section pull request assign show right show pull request help,inde info api sound straightforward use addit investig bit though alreadi api relat info share welcom cours enough add pr prs sort combin section pr open assign think yet anoth section add even clutter ui februari paul tsochantari notificationswrot inde info api sound straightforward use addit investig bit though alreadi api relat info share welcom cours repli email directli view github one question assign prs mean prs link issu assign specif user gotten right anoth assign prs refer assigne actual pr assign pr github user though think scenario help well think prs suffici signifi need take action care help thank clarif guess pr alway assign matter state includ prs probabl better move hope promot prs detect work pr start assign acknowledg bit inbox howev bit academ hard time see info directli avail api look keep date feasibl spot anyth help document pleas hesit ping github api doc mention assigne field pull request fetch one appear ident return issu fetch mayb oversight doc note doc issu kind document assigne field prs note everi pull request issu everi issu pull request use v media type issu pull request respons omit pull request attribut good info thank seem connect relat issu record origin pr record link issu href field turn give us assigne excel ad featur todo list ad featur sourc tree featur hard test directli run build let know new featur work issu perhap encount link remov new build avail sure turn featur prefer display first though default crash attempt refresh manual startup option enabl assign pull request crash option enabl assign pull request stack trace got thank test build correct anoth work expect thank lot great final updat next coupl day featur meanwhil perfectli valid build keep use updat hope break anyth els new option avail build updat anytim visit check updat featur ad sourcetre look solut problem list op sourcetre x mac osx see display tab prefer,3,22,signing|availability|validate,337,0.06528189910979229,0.37974613904953003
27,https://api.github.com/repos/apollographql/apollo-ios/issues/27,issue,sh file build output prevent sign,latest version xcode file build output start result error attempt sign app upload store document stackoverflow problemat apollo deploy script build folder use build process error publish indic object sign provid noth indic problem work around problem ad line end build step given instal remov sh file codegen complet benefici anyon want publish app updat document includ last line code build script result sh file put build output,thank point codesign issu happen shebang actual merg pull request yesterday fix issu move script framework downsid requir special handl cocoapod carthag exist user chang apollo run script phase seem remov shebang enough move script confirm work test next day thank quick respons confirm remov shebang fix sign problem,2,10,signing|scripting,124,0.08064516129032258,0.35342326760292053
667,https://api.github.com/repos/SwiftGen/SwiftGen/issues/667,pr,support color asset,start branch branch gitflow select base branch pull request creat ad entri file explain chang credit ad pr titl think warrant mention changelog add entri appropri section bug fix new featur break chang intern chang add period space end short entri descript add link github profil credit relat pr issu descript,error featur branch start warn messag markdown error entri sign featur branch start merg develop master entri sign pleas includ changelog entri credit work find changelog md hey eve friendli bot watch swiftgen thank lot contribut fix tini nitpick good go follow format changelog entri bulb forget end line describ chang period two space updat comment add new commit gener entri sign danger,5,8,asset|scripting|signing|forge|danger,118,0.06779661016949153,0.35203254222869873
14,https://api.github.com/repos/apollographql/apollo-ios/issues/14,issue,code sign problem due apollo framework,finish debug bunch problem submit build testflight root caus seem file apollo framework instal via cocoapod remov file project temporarili remov run script project build phase code sign final succeed error got error itm invalid signatur code object sign make sure sign applic distribut certif ad hoc certif develop certif verifi code sign set xcode correct target level overrid valu project level addit make sure bundl upload built use releas target xcode simul target certain code sign set correct choos clean xcode delet build directori finder rebuild releas target inform pleas consult help one els problem,interest anyth make work box wrong codesign provid output chanc look submit anoth build either today tomorrow make note anyth use includ output find anyth work around manual remov custom build phase run script script apollo target archiv left test archiv build export ipa distribut ouput command mention sorri late respons let know els help debug end holi fight codesign today testflight submiss got error give clue go wrong try remov run script probabl suffici use carthag realli know autom sh script move build phase run script piec apollo project ideal solut due updat mayb need chang script version check point updat script still somewhat manual framework chang script fix typo post mobil mon nov pm alex h llmandel wrote holi fight codesign today testflight submiss got error give clue go wrong try remov run script probabl suffici use carthag realli know autom receiv mention repli email directli view github mute thread still unsur tackl refer project look updat carthag manual delet copi target custom run script fix sign issu rather cumbersom copi script directli run script phase sound idea delet make sign work think correct ad app bundl cocoapod chang podspec thu preserv file peopl run build phase ad target app bundl try see help updat creat new minim test project apollo codesign issu think reason script break codesign resourc framework build codesign step comment still valid though think want ship script releas app ipa script target refer directori without extra setup updat depend came across seem known issu affect framework well sure yet root caus whether workaround involv remov script bundl yeah read thing end custom action fastlan remov script upload itc look solut work everyon sure carthag cocoapod solut suggest use instead prevent script end bundl yeah definit work cocoapod figur prepar pr right fix issu cocoapod carthag creat pull request fix cocoapod carthag,5,39,signing|scripting|validate|signature|certificate,410,0.0951219512195122,0.3357020914554596
