postid,links,tags,title,question,answers,uniq,raw,words,len,ratio,probability
6772,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6772,pr,lodash signatur method function chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.9571491479873657
6761,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6761,pr,lodash signatur method reject chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.9571373462677002
6788,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6788,pr,lodash signatur method forinright chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.955110490322113
6775,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6775,pr,lodash signatur method forin chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.955110490322113
6773,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6773,pr,lodash signatur method forown chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.955110490322113
6764,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6764,pr,lodash signatur method restparam chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.955110490322113
6715,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6715,pr,lodash signatur method gte chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.955110490322113
6790,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6790,pr,lodash signatur method mapkey chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.9551104307174683
6744,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6744,pr,lodash signatur method zipobject chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.9551104307174683
6717,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6717,pr,lodash signatur method modarg chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.9551102519035339
6774,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6774,pr,lodash signatur method chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,23,0.13043478260869565,0.9551085233688354
6729,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6729,pr,lodash signatur method without chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,24,0.125,0.9551085233688354
6766,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6766,pr,lodash signatur method chang,descript chainabl wrapper,lodash lodash ts author review pr check list x pass travic ci test thank mate,3,3,signature|scripting|authorise,23,0.13043478260869565,0.9551083445549011
6808,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6808,pr,lodash signatur method forownright chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,23,0.13043478260869565,0.952869713306427
7508,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7508,pr,lodash signatur iserror chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9528658390045166
7104,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7104,pr,lodash signatur omit chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9528651833534241
7529,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7529,pr,lodash signatur creat chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9528651237487793
7353,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7353,pr,lodash signatur isnumb chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.952864944934845
7148,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7148,pr,lodash signatur debounc chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.952863335609436
7435,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7435,pr,lodash signatur wrap chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9528584480285645
7242,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7242,pr,lodash signatur uniq chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9528472423553467
7391,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7391,pr,lodash signatur countbi chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9528424143791199
7358,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7358,pr,lodash signatur isfinit chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9528422951698303
7180,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7180,pr,lodash signatur isdat chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9528422951698303
7170,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7170,pr,lodash signatur isfunct chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9528422951698303
7272,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7272,pr,lodash signatur bindal chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.952842116355896
7195,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7195,pr,lodash signatur isregexp chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.952842116355896
7552,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7552,pr,lodash signatur toarray chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9503896236419678
6963,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6963,pr,lodash signatur findlastkey chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.950389564037323
6910,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6910,pr,lodash signatur findkey chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.950389564037323
7127,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7127,pr,lodash signatur isboolean chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9503893852233887
7033,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7033,pr,lodash signatur isnan chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9503893852233887
7001,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/7001,pr,lodash signatur groupbi chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9503893852233887
6973,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6973,pr,lodash signatur isnul chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9503893852233887
6911,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6911,pr,lodash signatur valuesin chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9503893852233887
6876,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6876,pr,lodash signatur keysin chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9503893852233887
6875,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped/issues/6875,pr,lodash signatur isel chang,descript chainabl wrapper,lodash lodash ts author review pr checklist x pass travi ci test thank mate,3,3,signature|scripting|authorise,22,0.13636363636363635,0.9503893852233887
