answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
warn disabl warn,2017-04-04 06:27:09.23 UTC,43,43199803,even though keep verify= fals get ssl error python tell avoid it? curl command work -k option error /usr/lib/python2.7/site-packages/urllib3/connectionpool.py:769 insecurerequestwarn unverifi http request made ad certif verif strongli advis see https://urllib3.readthedocs.org/en/latest/security.html insecurerequestwarn,0.16279069767441862,7,https python python-requests,bypass ssl cert verif python,5,bypass|ssl|insecure|security|certificate,0.9210718274116516
,2016-04-10 14:48:39.493 UTC,53,36531226,work local network pc window 10 wamp server pc b raspbian client tri secur connect client server done configur wamp server enabl ssl creat self-sign ca openssl put ca client /usr/local/share/ca-certif + updat code client error occur sslerror know wrong total novic !thank help,0.2641509433962264,14,python python-3.x ssl ssl-certificate,ssl certificate_verify_fail _ssl.c:600 self-sign certif,5,ssl|certificate|signing|security|openssl,0.9138720035552979
,2015-06-08 11:18:38.113 UTC,49,30707777,wan connect http server use ssl certif verif host name valid suggest switch verif sinc work code? instead connect except clear certif verifi trust make certif trust python 2.7.10+ connect? want setup system context possibl,0.24489795918367346,12,certificate https python python-2.7 ssl,connect ssl http server python 2.7.10+ make certif trust,4,certificate|ssl|trust|validate,0.8699262738227844
need normal listen 127.0.0.1:8080 - instal burp ca certif order proxi listen abl negoti ssl connect portswigg written document https://portswigger.net/burp/documentation/desktop/tools/proxy/options/installing-ca-certif https://support.portswigger.net/customer/portal/articles/1783075-installing-burp-s-ca-certificate-in-your-brows,2019-03-06 13:51:36.863 UTC,53,55024717,websit avail https://abs:8443/myweb burp suit local proxi tri proxi http trafic via burp http websit fail tri proxi http traffic burp suit,0.2641509433962264,14,burp https python sockets ssl,proxi http traffic burp suit,4,burp|ssl|availability|certificate,0.8674310445785522
configur certif server cipher requir certif psk cipher cipher chosen authent rsa certif sinc none configur essenti usabl cipher handshak fail note set verify_mod cert_non help usual bad idea anyway sinc mean certif valid client certif need part handshak,2019-02-06 18:33:14.94 UTC,85,54560334,tri creat server python use socketserv ssl.it need work tls version 1.2 only.i tri connect client see works.i know server work without ssl problem know get error even remov chang context still connect client error want creat connect,0.21176470588235294,18,python-3.7 ssl,python ssl client connect socketserv ssl,7,ssl|tls|certificate|cipher|authentication|rsa|validate,0.8620722889900208
error messag seem self-explanatori self-sign ssl certif alway cau secur warnings/error either need add self-sign ssl except add self-sign ca os trust certif pool try someth ident option,2020-03-15 07:54:34,72,60690778,send request host supposedli correct certif univ task gave certif valid 30 second code give error packag got host respon say fatal error unknown ca cau issue? thank,0.2638888888888889,19,python ssl https ssl-certificate x509certificate,send http servic cert error certif verifi fail self sign certif,6,ssl|certificate|signing|validate|security|trust,0.8491421937942505
believ web proxi caus issu prevent verifi cert? assum ssl intercept proxi deni connect fix problem proxi i.e instruct proxi check certif applic instead assum ssl intercept proxi thu certif receiv sign ca trust ca proxi trust applic see paramet document disabl valid almost never right instead fix valid work two possibl use self-sign certif browser trust certif sure use ca-sign trust certif use ca-sign trust certif check instal ca chain certif root intermedi certif refer articl help - https://access.redhat.com/articles/2039753,2016-08-25 13:15:50.9 UTC,112,39146397,python script use virustot api work problem sudden run script get follow error believ web proxi caus issu prevent verifi cert? portion code use api,0.25,28,certificate python ssl,python - ssl certificate_verify_fail,7,certificate|ssl|scripting|virus|signing|trust|validate,0.8291923999786377
,2019-11-04 11:39:46,50,58692682,problem tri tls1.3 cipher ssl context python particularli tls_aes_128_ccm_sha256 os window 7 python version 3.7.4 openssl version 1.1.1c default set cipher suit seen tls handshak client offer tls1.3 cipher one need error receiv ssl.sslerror cipher select,0.44,22,ccm openssl pyopenssl python tls1.3,ssl.sslerror cipher select tri tls1.3 cipher suit python ssl,5,openssl|ssl|tls|cipher|aes,0.828743040561676
idea ssl connect fail specif cipher? perhap server connect support idea packet captur confirm edit ssl connect client suggest list cipher option will server select one option list server find accept server option client propos connect fail server unabl select cipher suit,2011-01-06 16:23:50.167 UTC,84,4617113,"problem make ssl connect idea-cbc-sha python 2.7 / win xp code result queri openssl see idea-cbc-sha one list cipher test cipher des-cbc3-sha ,rc4-sha aes256-sha aes128-sha work fine idea ssl connect fail specif cipher? disabl enabl ciphers? thank",0.2976190476190476,25,openssl python ssl,cipher select,6,openssl|ssl|cipher|cbc|sha|rc4,0.8265421390533447
,2016-05-26 06:56:15.977 UTC,140,37453636,instal scikit-learn follow command use pip check version instal scikit-learn default download version 0.17.1 tri multi-lay perceptron avail version 0.18.dev0 pre document try instal specif version pip instal scikit-learn==0.18.dev0 error collect scikit-learn==0.18.dev0c:\progra~1\qgiswi~1\apps\python27\lib\site-packages\pip_vendor\requests\packages\urllib3\util\ssl_.py:315 snimissingwarn http request made sni subject name indic extens tls avail platform caus server present incorrect tls certif caus valid failur inform see https://urllib3.readthedocs.org/en/latest/security.html#snimissingwarn snimissingwarningc:\progra~1\qgiswi~1\apps\python27\lib\site-packages\pip_vendor\requests\packages\urllib3\util\ssl_.py:120 insecureplatformwarn true sslcontext object avail prevent urllib3 configur ssl appropri caus certain ssl connect fail inform see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarn insecureplatformwarn find version satisfi requir scikit-learn==0.18.dev0 version 0.9 0.10 0.11 0.12 0.12.1 0.13 0.13.1 0.14 0.14.1 0.15.0b1 0.15.0b2 0.15.0 0.15.1 0.15.2 0.16b1 0.16.0 0.16.1 0.17b1 0.17 0.17.1no match distribut found scikit-learn==0.18.dev0c:\progra~1\qgiswi~1\apps\python27\lib\site-packages\pip_vendor\requests\packages\urllib3\util\ssl_.py:120 insecureplatformwarn true sslcontext object avail prevent urllib3 configur ssl appropri caus certain ssl connect fail inform see https://urllib3.readthedocs.org/en/latest/security.html#insecureplatformwarn insecureplatformwarn instal scikit-learn version == 0.18.dev0 pip,0.18571428571428572,26,installation python scikit-learn,instal scikit-learn version = 018.dev0 pip,7,availability|ssl|tls|certificate|validate|security|insecure,0.8259100317955017
