Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Network Security,Client/Server,390,0.06098514464425332,495.864787958184,0.07753945081441502
1,Secure Development,Implementation,516,0.08068803752931979,626.7357981422683,0.09800403411137894
2,Secure Development,Libraries/Configuration,48,0.007505863956215794,351.73551807331387,0.055001644733903655
3,Network Security,Digital Certificates,866,0.13541829554339327,617.8700146197807,0.09661767234085702
4,Secure Development,Libraries/Configuration,911,0.14245504300234557,699.1201674144249,0.10932293470123924
5,Secure Development,Libraries/Configuration,616,0.09632525410476935,572.7525881011097,0.08956256264286314
6,Secure Development,GitHub/Reports,542,0.08475371383893666,620.405719237664,0.09701418596366912
7,Secure Development,Libraries/Configuration,455,0.07114933541829555,583.5952983696188,0.0912580607301984
8,Network Security,Client/Server,1070,0.1673182173573104,666.7693922213512,0.10426417392046147
9,Secure Development,GitHub/Reports,456,0.07130570758405004,553.6569239413657,0.08657653228168345
10,Data Security,Password/Data Storage,525,0.08209538702111024,606.4937929696171,0.09483874792331776
