Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Secure Development,Implementation,533,0.04482004709048099,509.0709160208062,0.04280784695768636
1,Other,,417,0.03506559031281534,495.22411491911043,0.04164346745031201
2,Secure Development,Libraries/Configuration,221,0.01858392196434578,373.9030598215759,0.03144156237988361
3,Secure Development,Implementation,410,0.034476959300369994,457.2755398612644,0.03845236628500373
4,Secure Development,Libraries/Configuration,288,0.024217961654894045,467.84104009193834,0.03934082072754275
5,Access Control,Authentication,729,0.061301715438950556,495.64881796122063,0.041679180790550004
6,Network Security,Client/Server,470,0.03952236797847292,426.7768615471141,0.03588772801438901
7,Network Security,Digital Certificates,183,0.015388496468213926,370.41740097658476,0.03114845282345987
8,Cryptography,Encoding,522,0.04389505549949546,473.39406369495555,0.0398077752854823
9,Access Control,Authentication,470,0.03952236797847292,446.76467402733397,0.03756850605678893
10,Secure Development,Libraries/Configuration,271,0.022788429196098216,454.27283370806254,0.03819986829028444
11,Data Security,Password/Data Storage,356,0.029936091490077362,438.10870737273945,0.036840624568847916
12,Data Security,Digital Signature,379,0.031870164816683484,386.43120808550157,0.032495056179406456
13,Cryptography,Encryption,627,0.05272452068617558,522.032131259999,0.04389775742179608
14,Access Control,Tokens,837,0.07038345105953582,530.7635855636618,0.0446319866770654
15,Secure Development,Testing,573,0.04818365287588295,517.7674963455647,0.043539143655025626
16,Secure Development,Libraries/Configuration,371,0.031197443659603096,452.6053453688801,0.03805964895466533
17,Secure Development,Implementation,529,0.044483686511940804,475.30111274681985,0.039968139316079704
18,Network Security,Digital Certificates,788,0.06626303397241844,473.3461778941273,0.03980374856156469
19,Other,,313,0.026320215270770265,408.1615074724541,0.0343223601978182
20,Access Control,Authorization,185,0.015556676757484024,422.8221423701616,0.03555517510680807
21,Cryptography,Encryption,439,0.03691557349478641,478.51743075007107,0.04023859996216541
22,Software Vulnerabilities,Race Condition,309,0.02598385469223007,452.5630888621672,0.03805609559890407
23,Access Control,Authentication,849,0.07139253279515641,492.7176944432431,0.041432702189980075
24,Access Control,Tokens,510,0.042885973763874874,445.45714571423014,0.03745855581182561
25,Secure Development,Libraries/Configuration,313,0.026320215270770265,424.8159041200415,0.035722830820723306
