Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Access Control,Authentication,3975,0.07985295003917314,5571.852368188527,0.11193178585725963
1,Secure Development,Implementation,20392,0.4096506558990739,13584.585495817242,0.2728979187170743
2,Secure Development,Testing,329,0.006609212720223388,1020.6327531197157,0.020503279558040856
3,Network Security,Digital Certificates,4705,0.09451776853693325,4646.91751918411,0.09335096163410493
4,Access Control,Tokens,848,0.01703529600835694,1732.9714720975608,0.03481330424672172
5,Access Control,Authentication,4245,0.08527692400409811,4292.969482813009,0.08624057298887099
6,Cryptography,Encoding,1535,0.03083629643022158,2656.07574098686,0.053357354325857496
7,Secure Development,GitHub/Reports,1387,0.027863155145744188,2138.395662516792,0.042957786667405774
8,Secure Development,Testing,8169,0.16410534562767431,7375.741012297571,0.14816973045456058
9,Access Control,Encryption,450,0.00903995660820828,1415.2568092329739,0.028430800322083085
10,Secure Development,Libraries/Configuration,3744,0.0752124389802929,5343.601682225533,0.10734650519748354
