Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Secure Development,Implementation,5086,0.37268264087345204,3701.683091268118,0.271245188779081
1,Secure Development,Testing,2132,0.15622481131384186,1988.8409967317712,0.14573466672028806
2,Secure Development,Libraries/Configuration,412,0.03018978530079871,590.3550831007851,0.04325896410205797
3,Cryptography,Encryption,721,0.052832124276397746,803.8839831115274,0.05890554576914541
4,Secure Development,Testing,741,0.05429764783468894,938.5670935673188,0.06877460933299032
5,Network Security,Digital Certificates,629,0.04609071590825822,641.3993863963497,0.04699929555186852
6,Cryptography,Encoding,815,0.05972008500036638,891.3260384736386,0.06531296537507428
7,Software Vulnerabilities,Race Condition,100,0.007327617791455998,346.4753396838787,0.0253883886336835
8,Access Control,Authentication,1664,0.1219315600498278,1534.8388341702448,0.11246712348283468
9,Other,,147,0.010771598153440316,386.36203396187557,0.02831113314002166
10,Cryptography,Encryption,95,0.0069612369018831975,331.49753980251626,0.02429087270480811
11,Secure Development,Libraries/Configuration,290,0.021250091595222394,349.0296735530392,0.025575560456733287
12,Access Control,Tokens,529,0.03876309811680223,671.4331869765228,0.0492000576666317
13,Secure Development,GitHub/Reports,286,0.020956986883564153,471.30772023603095,0.03453562836052106
