Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Access Control,Authentication,224,0.09061488673139159,179.47865434759296,0.07260463363575767
1,Software Vulnerabilities,Memory Management,210,0.08495145631067962,179.35191178694367,0.07255336237335909
2,Secure Development,Testing,93,0.03762135922330097,162.0697895225603,0.06556221259003249
3,Cryptography,Encryption,113,0.04571197411003236,165.83035065059084,0.06708347518227785
4,Secure Development,GitHub/Reports,336,0.13592233009708737,194.7017135770293,0.07876282911692123
5,Access Control,Authentication,191,0.07726537216828479,182.73488309397362,0.07392187827426118
6,Access Control,Tokens,88,0.03559870550161812,161.84406818368006,0.06547090136880261
7,Network Security,Client/Server,202,0.08171521035598706,184.4107099098619,0.07459980174347164
8,Cryptography,Encryption,167,0.06755663430420712,176.6893048962811,0.07147625602600369
9,Data Security,Digital Signature,281,0.11367313915857605,198.57344362617005,0.08032906295557041
10,Data Security,Password/Data Storage,139,0.05622977346278317,176.35035821737256,0.0713391416736944
11,Network Security,Digital Certificates,275,0.11124595469255663,193.69656622048933,0.0783562161086122
12,Secure Development,Implementation,106,0.04288025889967637,171.4320412358502,0.06934953124427597
13,Network Security,Client/Server,47,0.01901294498381877,144.83620471972972,0.05859069770215604
