Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Access Control,Authorization,796,0.03902343366996765,1006.3710267835413,0.04933675001390045
1,Secure Development,Implementation,1489,0.07299735268163546,1292.3445737880538,0.06335643562055367
2,Access Control,Tokens,1126,0.055201490342190414,1018.0431599285803,0.04990896950331308
3,Other,,618,0.030297087949799,974.1304096454987,0.04775617264660745
4,Access Control,Authentication,1067,0.052309049906853616,1088.595954553166,0.053367778927010785
5,Data Security,Password/Data Storage,1104,0.05412295323070889,1048.8752364036336,0.05142049398978496
6,Software Vulnerabilities,Network Exploits,1475,0.07231101088341994,1105.3669256078138,0.05418996595782987
7,Secure Development,Implementation,478,0.023433669967643886,1009.6056797039055,0.04949532697832657
8,Secure Development,Libraries/Configuration,867,0.04250416707520345,1054.6208535117912,0.05170216950249001
9,Network Security,Digital Certificates,1141,0.05593685655456417,997.4147044545389,0.04889767155870864
10,Secure Development,GitHub/Reports,948,0.04647514462202176,1155.9410774595162,0.05666933412391
11,Access Control,Authentication,949,0.046524169036180014,1007.5272291326546,0.04939343215671412
12,Secure Development,GitHub/Reports,763,0.03740562800274537,962.7149741622852,0.047196537609681594
13,Access Control,Tokens,1495,0.07329149916658496,1079.7480449938448,0.05293401534433988
14,Secure Development,Testing,2083,0.10211785469163644,1235.8735213750042,0.06058797535910404
15,Access Control,Authentication,1098,0.05382880674575939,1094.3411961337551,0.05364943602969679
16,Cryptography,Encryption,933,0.045739778409648005,991.3282611325267,0.04859928724053959
17,Secure Development,Implementation,1199,0.05878027257574272,1033.4842909833824,0.05066596190721553
18,Secure Development,Implementation,769,0.03769977448769487,1241.6728764764848,0.06087228534544979
