Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Cryptography,Encryption,663,0.04314159292035398,739.7477346695086,0.04813558918984309
1,Data Security,Digital Signature,329,0.021408120770432068,628.4798681549728,0.04089535841716377
2,Secure Development,Implementation,294,0.019130661114003123,695.8166338045849,0.04527698033606096
3,Secure Development,Implementation,668,0.04346694429984383,771.6569423174078,0.050211930135177496
4,Secure Development,Implementation,570,0.03709005726184279,771.5771207980288,0.05020673612688891
5,Access Control,Tokens,796,0.051795939614783966,725.1582928577554,0.04718625018595494
6,Network Security,Client/Server,561,0.03650442477876106,732.2589121080237,0.047648289439616326
7,Secure Development,GitHub/Reports,833,0.05420353982300885,792.6844350871979,0.05158019489115031
8,Network Security,Client/Server,256,0.01665799062988027,617.0295934593887,0.04015028588361457
9,Secure Development,Testing,1993,0.12968505986465384,917.942059172492,0.059730743048704585
10,Secure Development,Libraries/Configuration,139,0.009044768349817803,540.7963006573264,0.03518976448837366
11,Software Vulnerabilities,Network Exploits,817,0.053162415408641334,786.2559747692139,0.05116189320465994
12,Other,,732,0.0476314419573139,835.537549471308,0.05436865886721161
13,Secure Development,Implementation,1256,0.08172826652785008,983.1314389339532,0.06397263397540039
14,Network Security,Digital Certificates,743,0.048347214992191564,729.1093196221627,0.04744334458759518
15,Secure Development,GitHub/Reports,1007,0.0655257678292556,853.5590019712399,0.05554131975346434
16,Secure Development,Libraries/Configuration,1175,0.07645757418011452,857.859007701918,0.05582112231272241
17,Other,,375,0.02440135346173868,688.8185953808716,0.04482161604508535
18,Secure Development,Testing,892,0.05804268610098907,873.9473476416897,0.05686799503134368
19,Access Control,Authentication,1269,0.08257418011452368,826.6338740392239,0.05378929425033992
