Sub-Category,Java,PHP,JavaScript,C#,Python,Shell,C/C++,Ruby,Objective-C,Swift,PowerShell,Perl,Go,TypeScript,All
Encryption,10,5,6,9,14,12,38,16,35,14,17,22,48,0,10
Encoding,4,2,2,4,0,2,0,0,0,5,0,1,0,0,3
Authentication,13,10,5,12,8,18,0,18,32,9,34,9,0,29,11
Tokens,5,9,10,5,17,0,0,17,0,10,0,0,25,17,8
Authorization,0,0,0,3,0,10,0,0,0,4,17,0,0,0,1
Digital Certificates,3,4,2,3,7,2,3,13,33,6,9,7,27,0,4
Client/Server,5,0,5,6,6,29,9,0,0,0,0,25,0,0,5
File Transfer,0,6,3,3,2,6,0,0,0,0,0,0,0,0,3
Password/Data Storage,5,6,4,18,10,0,20,11,0,10,0,22,0,0,8
Digital Signature,9,0,0,2,1,0,0,0,0,0,0,0,0,0,3
Network Exploits,1,11,6,3,18,0,0,5,0,0,0,0,0,10,6
Mitigation,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
Memory Management,0,0,0,1,0,0,28,0,0,0,0,0,0,0,1
Race Condition,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1
Implementation,5,24,35,1,0,0,0,9,0,21,23,15,0,44,14
Testing,24,21,11,24,19,0,0,11,0,9,0,0,0,0,18
Libraries/Configuration,12,3,3,5,0,15,0,0,0,11,0,0,0,0,6
GitHub/Reports,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
