Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Secure Development,Libraries/Configuration,23,0.003960737041501636,56.67074738449446,0.009759040362406485
1,Access Control,Authentication,88,0.015154124332701911,127.9444955238032,0.022032804464233374
2,Secure Development,Libraries/Configuration,0,0.0,16.488960466778735,0.002839497238983767
3,Secure Development,Implementation,1,0.00017220595832615808,17.296728583198274,0.0029785997215771094
4,Cryptography,Encryption,743,0.12794902703633546,672.2455169543391,0.11576468347758552
5,Access Control,Authentication,403,0.06939900120544171,438.2193922973238,0.07546399040766726
6,Network Security,File Transfer,285,0.04907869812295505,331.89708799356595,0.05715465610359324
7,Network Security,Client/Server,889,0.15309109695195453,736.2623416190036,0.1267887621179617
8,Cryptography,Encoding,75,0.012915446874461856,101.6773124693791,0.01750943903381765
9,Secure Development,Libraries/Configuration,573,0.09867401412088858,545.5015047345223,0.09393860939116967
10,Secure Development,Libraries/Configuration,4,0.0006888238333046323,70.54072712198104,0.012147533515064755
11,Access Control,Authentication,517,0.08903048045462374,461.96147524754633,0.07955251855476947
12,Access Control,Authorization,487,0.08386430170483898,455.60545464490133,0.07845797393575019
13,Secure Development,Libraries/Configuration,17,0.0029275012915446876,49.814428001574925,0.008578341312480614
14,Network Security,File Transfer,22,0.0037885310831754777,31.997147724761817,0.005510099487646258
15,Network Security,Client/Server,589,0.10142930945410711,495.1118736540666,0.08526121468125823
16,Network Security,Digital Certificates,44,0.0075770621663509554,109.64407862138614,0.018881363633784422
17,Secure Development,Libraries/Configuration,9,0.0015498536249354228,71.79960063117323,0.012364319034126612
18,Secure Development,Libraries/Configuration,1,0.00017220595832615808,12.277180375727767,0.0021142036121453017
19,Network Security,Client/Server,427,0.0735319442052695,434.2630528933514,0.07478268518914266
20,Secure Development,Libraries/Configuration,12,0.002066471499913897,33.8657275143305,0.005831880061017824
21,Access Control,Authorization,125,0.02152574479076976,143.19409424150945,0.02465887622550533
22,Secure Development,GitHub/Reports,473,0.08145341828827278,392.7210707623599,0.06762890834550712
