Topic ID,Category,Sub-Category,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04
TOPIC 0,Secure Development,Libraries/Configuration,0.006850172399676272,0.00027221599520999007,0.00030633660571766086,0.009586780048266519,0.0009010145173912557,0.00025553241721354425,0.0002809312991303159,0.0009388298661048923,0.0037278959702234716,0.012261357389930212,0.0002471937968948623,0.0038223625742830336,0.003166804663326022,0.006096555737583133,0.0002629432612873363,0.007365308262706094,0.0025615758952751222,0.0028299518349480684,0.000259976645338611,0.004599608288290689,0.006299907418327744,0.00759552637161202,0.00437630071629476,0.006270829352497062,0.00941984272058421,0.0006907211223173923,0.0020619863048936663,0.0008605535122114816,0.004276819904892666,0.00816529503208585,0.008737361335079186,0.0023364856488814647,0.0034831787701337957,0.004040291741078433,0.00964575471562057,0.0007099415156046924,0.0015378249001131688,0.0012513966232290841,0.001461501004638249,0.004722176615229857,0.002193513718245005,0.005988560285815667,0.005350801379207928,0.005560115590924397,0.004856719129105948,0.007700040171714916,0.0026756862832887753,0.008748330667973885,0.001960592416331305,0.006245757835422409,0.005964134208079485,0.010695021341416578,0.004819260378506693,0.0021351396743043817,0.004174979884256198,0.004566734494390755,0.006937256368381263,0.00885063414511572,0.004847201457082787,0.004877279036887118,0.007728879882590802,0.009107343679473464,0.0032292843452799416,0.014986990320989314,0.003428025808534585,0.010257053781747438,0.00504601385437765,0.003080950228031725,0.0012559379035467697,0.009128029289665088,0.012352789052208525,0.0008079210139840143,0.009908035863784845,0.0006251193368701603,0.009701368309186487,0.018903487353300615,0.005516527368340378,0.006383464403099201,0.010302162660953169,0.0197889698493186,0.004906073616653243,0.005977103245960599,0.005727296915039297,0.005533519113883171,0.01147773350984447,0.005817365827265587,0.010481218095798073,0.01002408444228422,0.013878747788005378,0.014146850225241744,0.016177739707311078,0.022543750033007875,0.028025651046182102,0.004392484503079926,0.012879218455964292,0.019381890930671945,0.010591940993721696,0.01861956980277648,0.02430878936543608,0.009525893150918906,0.023239321517480892,0.01681412254303291,0.007229366059869664,0.01617781037093664,0.016167689096917338,0.007775737598125006,0.014016764122278624,0.02292948382243996,0.007879918527254693,0.021713783663893458,0.008684535212159972,0.010078974112075869,0.03392098942140365,0.014425100529670568,0.002604836335757725,0.010558659995605886,0.01358215043496494,0.018207124538259286,0.010170786029964409,0.013823929835018853,0.018643691779592093,0.012304948864924803,0.007530339540512375,0.00990732202728057,0.014193984847224783,0.016187095201359008,0.006535251123010354,0.016013482684793415,0.0048549170481107596,0.003134899958861685,0.02107464265029602,0.00701812066436105,0.011434628196114387,0.004391351293694849,0.010248876459832724,0.011145423207755597
TOPIC 1,Access Control,Authentication,0.07611037534869476,0.020807053930184338,0.0005267187225399539,0.0003722542642208282,0.04413827283133287,0.003517385145338873,0.0004830365396628622,0.008821926327073015,0.10396353321848437,0.01625390262051951,0.009383623008034192,0.02044817811596052,0.007678470939734123,0.007437115096503736,0.008036615621397057,0.06201045257876103,0.05152911594112603,0.03152996237206805,0.007956894270137127,0.012303890622985949,0.027922594340369953,0.028028422935070314,0.03929990286997054,0.03871232494534722,0.027594242024171198,0.025325635533170916,0.027489973001303788,0.03887399500399624,0.006999395478487713,0.015349636641913094,0.02808999957400374,0.026746387157450393,0.02047836730399957,0.017066551889561545,0.027135006611388235,0.01699238107037923,0.027868144914177002,0.026228808206360553,0.010849710334723844,0.018287236046446543,0.013763766070418381,0.03456458570419911,0.005318296076625419,0.0053752065268781735,0.016715524502026655,0.028642898628147253,0.015816923245635023,0.014244772695140758,0.01593506248526475,0.02523081338731572,0.012413970612396952,0.009103912601494813,0.015382508341331388,0.020714572179713286,0.015095190290594473,0.01939912217917041,0.019356314987200706,0.0204989613236634,0.020671881478241023,0.024985417279320497,0.010312641776787737,0.027961397631831156,0.022201072224230633,0.01685879227486165,0.018935279205955644,0.014610765028474092,0.018585613585361115,0.008533437098376452,0.018587684005459387,0.05484477843153097,0.02737038239256992,0.0051693496825464536,0.030279475781883645,0.015202394354150094,0.040451929285940796,0.014457634546595407,0.01036643614592638,0.03415799746034553,0.018520777733934204,0.01480550389633522,0.013595021059896396,0.018178959719080012,0.011359191669605865,0.03028364354994504,0.012703776215429945,0.012759940208764564,0.01416648348935394,0.027101473010043266,0.015604910273181945,0.017473767795522958,0.02198613561754967,0.030721046821488397,0.01020042902590441,0.016802523003447416,0.03239773347823674,0.024993371606396978,0.029865653598868187,0.012576728068590868,0.016245486028558596,0.023236258274400533,0.012320795691006683,0.02527332756992911,0.03052562509025126,0.028388758563475374,0.02199702561626852,0.009873511171091956,0.022755856825118718,0.008128299726089354,0.050528544032851515,0.02813417652320889,0.029109478380996735,0.02380682727456779,0.022439843328659965,0.018706075413654998,0.013194564288520874,0.012326272649635725,0.03769566144910641,0.01568936752466305,0.026892838914677298,0.022744791351088194,0.02664732216877989,0.02855433265073731,0.00986400189944298,0.06264956074165787,0.018114860750150303,0.036596004888503196,0.026946748490445316,0.023736992595077028,0.02228895518679305,0.02715635332016263,0.019487042717127204,0.02502448028419167,0.03186439090355774,0.030168143055117173,0.016100273789385437,0.028139589073201503
TOPIC 2,Secure Development,Libraries/Configuration,0.01021752395744053,0.00015449922284460627,0.000173864767930354,0.00012287753816053737,0.007086509115550952,0.00014503027705359273,0.0001594456925886334,0.009289061120008617,0.011506162220030092,0.012219538799730468,0.002965778892757953,0.010442128922376368,0.0019735967321644742,0.00236673106233606,0.00014923639061565226,0.0010555273529462283,0.01301298191330196,0.0018928916916982935,0.0038452614480775082,0.005008968703242274,0.008043080373847095,0.0005644169959850842,0.010730197688022408,0.005130950310716719,0.0008306605716919374,0.005654359863491174,0.00550578756569435,0.006500765965711253,0.00019219711217980753,0.007763267800182803,0.0034095356971374714,0.005141400697119445,0.007925053502661355,0.006087684542133222,0.0091487528242169,0.006301188445926025,0.002051956678386839,0.009507448674776242,0.0018220877580902059,0.000829223323307815,0.0022776201680997097,0.0018706064590849171,0.0029294283537101597,0.00217171560807401,0.0030555017003601227,0.0017524710396433615,0.0011790959181018628,0.0013628297742495003,0.0009238231480204767,0.00881998852994002,0.006728185552492505,0.00462287443342575,0.012366875354426408,0.0005181965425435919,0.0017148166012239195,0.0082504438252668,0.00020094108802337453,0.0031225767954657343,0.004105620450632961,0.006035627667533218,0.0019226672361751466,0.0030401792595512235,0.003917591116822388,0.003691419904712615,0.001721579559428695,0.003060619916401005,0.0008742033721334831,0.0005311735803843476,0.0044270523612145295,0.00023303730449697468,0.0014546228096373758,0.002960586524932296,0.007456388544856704,0.00035333835903932623,0.0019212932434669002,0.0010808375257457716,0.00020052054455648076,0.0021366830903724278,0.001801785728314147,0.0005953890617218286,0.0010195874111720033,0.0009868741878095977,0.0036938409968295775,0.00022354622588489505,0.0037148330352733063,0.0011250589806494598,0.0018652964428587564,0.0009131006022016664,0.0007829723294622347,0.003524689329424291,0.004423087366098948,0.005301949235745856,0.0036230379960865582,0.0015085937001166935,0.0037030504306792204,0.001396936193923466,0.0006263605854785834,0.004383657019783606,0.0005305884369177379,0.0030082709145062836,0.0009889166136013551,0.003992156969986153,0.0041551424954628475,0.003906401030447645,0.004348705726442859,0.000581661569357289,0.0026967808335572967,0.0019546747827790083,0.004014930923018502,0.0012864850079229034,0.0011095370189650566,0.0010776804583177803,0.0011532604630701826,0.0035807731097807654,0.003528862142654058,0.0025608425397984,0.003991074425396212,0.0008424568194724005,0.001090263739004857,0.0007297224212887285,0.003518283095975979,0.00023881643067832792,0.0009821905776717405,0.0008979147645478343,0.0038423768381411114,0.003151900164084509,0.0019367964583622335,0.0014234876824775712,0.0035367591247320107,0.0005671129773673317,0.003219926396292178,0.0008269677282078192,0.0008872222458823951,0.0015975313304807059,0.001212999284630754,0.004407842999599405
TOPIC 3,Secure Development,Implementation,0.00011858393606546867,0.00015905396867310628,0.0001789904163160827,0.00012650005191972014,0.00012214716156854088,0.00014930586985428818,0.00016414626225014217,0.0001481099534430541,0.0001681826208368875,0.00019340170861555222,0.0253416452987949,0.00013011580449528992,0.005192947729584476,0.0004648582746865161,0.0008293117643916048,0.009759927661889378,0.002890657725012196,0.0025084432745643426,0.0013943721864961844,0.00020632291818314808,0.004430844880599497,0.00020822343079392644,0.0022586915168319953,0.008365609077135678,0.005308079245502273,0.008569429885168435,0.002646081508415095,0.0013143467219833838,0.004822886554544918,0.0032819690178439486,0.000201607447816059,0.00016994782932810127,0.0008895925484233511,0.0002267239173166812,0.0009792286263063943,0.005752237911831892,0.003689735626003791,0.0043148902577740955,0.001450664898584364,0.0024832725137544217,0.0005683840826005226,0.00021537706984295132,0.001233190246029363,0.0007429350570419046,0.0007868508345221498,0.0026634728798983686,0.002443084700644249,0.0013487288951485729,0.0018475837657336211,0.004136390641506295,0.0014798374583733676,0.0011753107564800302,0.008771790387982037,0.00022551069217597078,0.000817931391008874,0.00019369066502540296,0.004106759880985118,0.003035261789923497,0.0010765143315617095,0.0015226489102070477,0.0024748001212881515,0.00734630722484629,0.0011084839508949892,0.001905567410622276,0.004641239293111236,0.001662434737301403,0.0012815125558980774,0.003802290208550403,0.0009595981079136047,0.005516557892527392,0.002309416383487049,0.010818252393073635,0.002711061139980673,0.002533645365694996,0.0026419359502003734,0.0032506950877124086,0.004934612048047078,0.005725945284786193,0.0032059331919504397,0.002274951121292141,0.006943745821356024,0.006503035715837,0.006938172503001659,0.005589283234097392,0.005947416874625881,0.0016282265181584272,0.002677208450849917,0.00227629054497811,0.0033423792189269616,0.007522587085665744,0.002228477578097165,0.00023729132109081313,0.0028845398932360925,0.00573945959345196,0.0025675787930429742,0.001289478437101934,0.0017855723752031086,0.00025275977923400824,0.002063644945131025,0.0006536890998118437,0.00203737736996522,0.003301013949459371,0.001339279853584293,0.005912862323930313,0.004298189588389207,0.0007231688180080691,0.0024654879076180477,0.005179883605600227,0.0069066166957412155,0.0019674800812315035,0.0028095007159815093,0.0008367242370967002,0.0018299324275024749,0.0003940463312143325,0.0059538770081070695,0.0023226553082577976,0.004276299868503516,0.0007059310891318918,0.0005888631608654947,0.001811471382690036,0.0023510882297159696,0.003767106681745803,0.000678072179748836,0.0012802935808120014,0.002996143601346072,0.0020270294508180704,0.0006974261041884961,0.003598182752612047,0.006312058825555834,0.014953558730645099,0.00025482003503403037,0.0030771193188411415,0.003351647564788716,0.0014752403001896002,0.00240100660871136,0.0010340443977838731
TOPIC 4,Cryptography,Encryption,0.08213717372356248,0.12257889891043305,0.06598886629217304,0.16544831916689873,0.052644035145122975,0.09109977735594536,0.055315710604190826,0.07483478322891253,0.09775587744079531,0.08942084301220761,0.1047140429582214,0.08531336820063491,0.10837019080968781,0.06337792861242113,0.1289119489508896,0.0658887859317474,0.14857827002249127,0.05009297449474356,0.07114724835264497,0.11596063003941838,0.14666217867158016,0.1926094931938375,0.11120208825205306,0.1283375000247084,0.09978949587294382,0.07395100685803649,0.14115869151216678,0.08452429889985069,0.1477717039573084,0.16970397763885559,0.1437817895365879,0.11536317037042373,0.11432120399788404,0.08462631776749802,0.09886228595678404,0.10525911897902601,0.06993346475830645,0.1148501453222707,0.11910406505216309,0.16284651777684866,0.1542614886521137,0.11354623104420465,0.1145737663594982,0.10445524600509089,0.1105444947778083,0.10023936389396633,0.10244991111481008,0.12030516200660107,0.1380025437001937,0.15843121720361522,0.08934024994669017,0.11425969690317288,0.11274764450379358,0.08939852676806315,0.14473563127160327,0.12979820354056784,0.0903284827876694,0.13297191716264933,0.12369440143183787,0.08986155539630623,0.08800508535501582,0.09325897477877637,0.12928563637560178,0.1236525547266116,0.1360788810222099,0.10706965194074247,0.08318730617828439,0.13963605862343684,0.09540831923576272,0.13649149141080366,0.12160865514662725,0.08942479931865818,0.10712899371021789,0.10198645011846427,0.07384764278402269,0.11323256614559796,0.09633792234766904,0.1049130924736362,0.12223691094837243,0.11679919489763742,0.11920015955133838,0.13475088887876277,0.12142926514454028,0.1135978689246044,0.1296107810767888,0.11272104281938243,0.13135034234186732,0.11039156942715636,0.11046478551339961,0.12462024180636302,0.14523325836428014,0.10403325830796553,0.115261669488742,0.10314669810841738,0.09815076692558994,0.1113364478573203,0.12236140502250886,0.11241548180905224,0.13421183365756983,0.12376581108941126,0.15268465109901236,0.11852464431667921,0.1378116526044825,0.07591912347318915,0.12956171909339542,0.1220857803282157,0.11385934531459335,0.16787170062686296,0.0890678900029605,0.08667312688818883,0.06975914393745673,0.11249772888371362,0.09375838000293395,0.11190814452895306,0.13685682318117914,0.16769897323284372,0.09293030299236403,0.13030705679028126,0.11938280344160425,0.09775186845556248,0.08534056295078092,0.1447045615590785,0.15525331269906784,0.1564671121413148,0.12389386376283558,0.08800734931884228,0.09915519794340917,0.12153707591816783,0.11016569490450256,0.10739108175891111,0.10510596581877266,0.13715462838299572,0.15715112037455234,0.0758331536470602,0.12453094044148232,0.13338986169615322
TOPIC 5,Access Control,Authentication,0.04468595175421797,0.08052236073854147,0.12795469499542378,0.025776543596293777,0.1103499893926912,0.0539522742619738,0.12293091518222354,0.03680044020126973,0.001244342012796551,0.04036868036068468,0.030985214274551254,0.06999806074115138,0.09023202182854423,0.03421273957688494,0.039585315492541455,0.06020146755327005,0.04088617703694451,0.08049173187464476,0.053249895141561865,0.05015807967754968,0.07595026169490832,0.06378389063562888,0.10500984299486797,0.05020404739163654,0.07017828254149584,0.08134317699072059,0.08551883079185658,0.05956054070156824,0.06652920231378327,0.030917061287909747,0.11168901394354179,0.07141385767653656,0.08286020563891491,0.02350623862226852,0.06575075951150211,0.08554620065541681,0.10830223085174925,0.0610477292269934,0.09563631866882188,0.09703909718276311,0.049343923064639215,0.053013086976558974,0.07920241935286097,0.06133760333905229,0.09034846467137173,0.08461824630960889,0.08134110976086073,0.10397618255325748,0.03848125009764252,0.09670216688304208,0.08244991403917083,0.11121144609060138,0.051256913149825716,0.05375270905514138,0.07344902321232903,0.07845541910782847,0.10602954856487054,0.07566273164203656,0.07220348756869926,0.08834348496045628,0.09906986001631056,0.07814690685918321,0.08791101862020283,0.07209478523102864,0.08812463672074955,0.08955580111098838,0.08967398310880781,0.11741908894968218,0.06525345934538304,0.07571074512088671,0.10850285633576426,0.09396668224217138,0.11712396576078798,0.09074060896333928,0.11401441146844556,0.07839637445816633,0.08893118137190037,0.06795908190134357,0.054451629865429244,0.07769490620884081,0.07891015206833425,0.07633587302965729,0.08822141209878642,0.08735221223511924,0.0781425011330558,0.08336747119871066,0.06899934235166413,0.06699908876616974,0.0889626084946726,0.07111505161960582,0.08018539633830789,0.05220718754477979,0.06522209488967848,0.09741947100879976,0.06146009513494474,0.09414032636675984,0.08104959822708874,0.08971594229729336,0.0667824328679258,0.08094933904020206,0.0656417462113683,0.06340919671801187,0.05434688983699869,0.08751924832516428,0.04877750538804828,0.09243832244323946,0.08259486363516119,0.06206883712899113,0.0766302998467759,0.08344255902991835,0.07213422624384597,0.06372080391513903,0.07622900849431365,0.08363606382044964,0.09074145749383163,0.029570746967710518,0.07748116574255115,0.048445206328655004,0.0791419508703355,0.05377552223386416,0.051920878229187416,0.04854514030613127,0.03398228140691859,0.046882757982022544,0.05470475081650269,0.0565260914330072,0.04493059218065207,0.07451185400423128,0.07783263437921137,0.0705199068207748,0.08840449576441921,0.05685895571485162,0.056161853720998176,0.12450796325768655,0.08843892195352143,0.054753053843502555
TOPIC 6,Network Security,File Transfer,0.1554787595190906,0.13483783515403047,0.017436924594221637,0.014833894689218141,0.10306282715302789,0.0008750964334467426,0.0009620923447073437,0.045737137036797194,0.06219036300899461,0.053628606044433334,0.061557421962788794,0.026952989884496976,0.034632022851534806,0.09311696884105913,0.1199118618790705,0.0803383022575872,0.07445881618436292,0.1222750764531416,0.049728213238267926,0.07539144413645513,0.048428888149580664,0.05661441889727333,0.0690039896519585,0.014386552654247245,0.08608440234795502,0.0988005432535339,0.09320438567903527,0.0987046350583114,0.07518494281369688,0.05491230652551167,0.058442401016363874,0.07099314863220431,0.07522484691789708,0.09379647871873413,0.03212275587247859,0.03656814210939799,0.05412447667760333,0.07405462244933006,0.039764457898193294,0.03723876161079499,0.04134676823440682,0.06920871016218616,0.05760529367790486,0.030178801069268957,0.07430954466005513,0.025560819324579955,0.06685090016902462,0.05889430778333917,0.05626244229830003,0.03737737775023561,0.052491374083183474,0.03680608181748539,0.07529959507318663,0.0828618485983872,0.09154290386804324,0.07970490437489183,0.0823762367091781,0.027246750475901606,0.05169912988740001,0.05248002782172989,0.03725267421827151,0.06997232266536836,0.04090776486202341,0.0611279510890645,0.05174491048286048,0.07522301856851281,0.041851878112075816,0.03475672874250449,0.077069533276829,0.07433396004053065,0.06150342845916273,0.047929319448303434,0.03946729416825941,0.04717627644651767,0.05868810894247934,0.061027976436033735,0.06503642410540994,0.06420657889796993,0.0503000877904181,0.037429432282806374,0.04938423711528052,0.05459844475223469,0.08247098090557628,0.049720641505914764,0.07231683460529037,0.052767270439194124,0.07847631434510574,0.053427540316261,0.053649268441350775,0.05782847356920898,0.053446042722375214,0.0686553687884307,0.040150245951418397,0.04273265460066779,0.08179994700615432,0.05446918715664651,0.05962990462306022,0.07454179113902117,0.03913540330640072,0.055357599028690356,0.057907305564546575,0.06930873610357502,0.059398256342131486,0.04443385532358661,0.06641486569948983,0.07294419997642577,0.04387970127724806,0.026514738417761183,0.026620150202395932,0.06105650996465645,0.05657182520759913,0.059819438924661655,0.0336385916089057,0.05899040098378655,0.03021061213110529,0.05373432770269859,0.05880619028578215,0.03453432433227797,0.04398959218461469,0.06235684514814598,0.04454759404325159,0.06145154197482676,0.07685232056552961,0.08032846645598278,0.05591930188044595,0.06823177833575755,0.09256546079657625,0.0665430425730301,0.07031654241810818,0.06873714241409311,0.07535942697099277,0.042196446454618126,0.05173129557750564,0.03405563073594951,0.02690642169064602,0.04689606084738283
TOPIC 7,Network Security,Client/Server,0.13739086881313206,0.09003557212417945,0.001992938428884372,0.006933134631253779,0.13715353397290325,0.21412564099106626,0.14962263309280388,0.23529572137132554,0.2990913525223732,0.12464786590796641,0.16337176563683897,0.20727439095369643,0.19737776133438778,0.13398800469336233,0.0780080405350488,0.14785110524098855,0.13124370938333282,0.16470534669601225,0.16374733073462266,0.09697179082736727,0.18385770469533533,0.09613437347191696,0.09215678181805599,0.21602576307486743,0.13306266591274019,0.0975540058828371,0.11814311793238051,0.13594644500153663,0.1573407292283567,0.11857124970294536,0.08545372776221484,0.1616586334175036,0.13421794794237193,0.05424592221299043,0.2081331502631656,0.16598243841596333,0.14790286263297803,0.17294176877185236,0.09394162135360988,0.15352455332634105,0.16534989881770815,0.1427754210410451,0.10696525228185913,0.17810845916246762,0.1393858974573531,0.22427038895589899,0.18587503563990262,0.12834184821695088,0.18224109517177567,0.1489687196421437,0.18117768380470806,0.1403133752377471,0.15605029864798717,0.15673177039271274,0.1332227425585848,0.10083626497596983,0.14934554755079987,0.1286230067591301,0.16082285929987133,0.14915934728522753,0.14692335336089687,0.1098009322702031,0.16192553541005703,0.13093260125549255,0.10452099441366348,0.12371165996740516,0.12684827991107708,0.13834640803746878,0.06809197315409879,0.11480122342860948,0.13423233431032194,0.09669247451529372,0.10887849716616947,0.14295406805115018,0.15384947208261465,0.11013026242161526,0.142743968017622,0.1649586805152674,0.14121407554091386,0.1259587956221116,0.10976382457495977,0.15298576055273944,0.11423953287391309,0.14088033926022678,0.08847759949404622,0.11858373844619277,0.09054525201821073,0.12299547729926416,0.09729203155524481,0.12591385560004068,0.11819951974400082,0.07897130745996331,0.10130749475894614,0.12748174847077298,0.187051911190131,0.1455986780312378,0.07274587898698104,0.11922360802802942,0.11332003298329338,0.13901790046985563,0.07400832594268852,0.12282130796209735,0.11292382791951491,0.11591516702707547,0.14389119155850016,0.11396267316042807,0.11325683824565094,0.10067072097851007,0.1452081833681944,0.13185621130779931,0.11899835880418928,0.13184097352368235,0.0919790825889019,0.07938059319827803,0.08899574729591786,0.13795728014562936,0.12558553539751532,0.11300151435187383,0.11953629391909754,0.11465191375734934,0.10526713972042974,0.1316890653561922,0.12068882884341292,0.1470919963660065,0.087019050619953,0.11479757674464534,0.1423560889643552,0.10660584852797911,0.0917088612234996,0.07823065044812677,0.1211112232840791,0.13800860957591796,0.0872954171634494,0.10698240223961572,0.1199092706111485,0.1427566992899622
TOPIC 8,Cryptography,Encoding,0.03894620236574805,0.00032894909963943064,0.04457659502804745,0.027619651995337335,0.010065423273772467,0.0003087884761043824,0.006060062594769988,0.011145648872895566,0.0003478286147583276,0.013306325818782418,0.01300078309213859,0.06367270692620271,0.014066863703192212,0.05613182947698598,0.03626310357335919,0.07510020520021499,0.027818432296044193,0.023503058094190368,0.002572280242929992,0.016101156539488806,0.009768166477111994,0.004748316763046508,0.0010744455786679235,0.0036264102195475616,0.030204920713631195,0.022204079698824968,0.022646760006781817,0.01236528467052267,0.028182022650071303,0.0015614473429741338,0.007293698576977477,0.003768143232893915,0.015602346947745014,0.0072120770738155655,0.011128890567078997,0.01605784671395166,0.02972670028975699,0.01297349477536045,0.016532164410984315,0.012441306699613398,0.014722584362908523,0.03122902065228413,0.04723014793013975,0.008641278144386888,0.021272700909963426,0.012061567503094141,0.005314982734538766,0.018257161347719375,0.01430045208066336,0.02304459893508465,0.013451518010515428,0.009839708707841056,0.012525204534226916,0.023377678580051426,0.01618154904281255,0.01865564602532334,0.018429764764239395,0.019021146699078454,0.04577434833553008,0.0268768510256356,0.009093233004562164,0.014919704163306353,0.03174295011007361,0.022137648295457064,0.015136816854404362,0.020634048946239814,0.031259523130996204,0.023199419602751733,0.015047131679758812,0.0070139504184529265,0.014826906172318707,0.017693660819350043,0.007607143739658902,0.01590120194724119,0.014017290002133666,0.004779887282946969,0.011492389241618144,0.011518009915833542,0.020147297180685687,0.01702598970010074,0.012482516720089787,0.025156516491315905,0.01871785095493081,0.011747257734575267,0.018501811703946956,0.01736373353790106,0.011756287805963377,0.009574251226877096,0.007317071063345579,0.011597267173569622,0.012045856047534163,0.016848694139034413,0.00833944260768245,0.016407089985254714,0.0048090255598005815,0.009802513904578519,0.020526457090246756,0.014994626542452266,0.010140871453751804,0.018112541640162346,0.005321594079427924,0.014134307589502295,0.01937945074791185,0.014020395682746312,0.022978428424647094,0.008256217642694389,0.009526404127332647,0.00914429945107766,0.008405890863811029,0.020653473534876843,0.03901141175871695,0.03565008656873384,0.017726638249769167,0.02012079037491563,0.003828538887319155,0.032629467978646666,0.030699309116437475,0.007134529326404762,0.024785856183420087,0.04875550243217054,0.022791848259961018,0.018524353315866472,0.024659189997213327,0.014897611464284425,0.03504246112121715,0.02478065765583624,0.008129890692734355,0.02119004836975364,0.013157399933593947,0.025904278963713383,0.024778481268167153,0.02458877993718488,0.0373514314557654,0.008945510370217057,0.005459058433893182,0.011392045571269323
TOPIC 9,Secure Development,Libraries/Configuration,0.03264542314822653,0.11937589435547125,0.2883232796739321,0.13243804348167032,0.07683640779901503,0.11437939202490573,0.28183613717556,0.11696802746155299,0.0679134039906785,0.14926991865716197,0.16066205905372044,0.09035655714493866,0.05467439673116638,0.0728556535905227,0.09339083534611675,0.15236680435191374,0.04924046340498275,0.07793634185301405,0.0773347361573542,0.12182889623467677,0.11225212654575113,0.04547176560057172,0.08744073579682184,0.08889285969274605,0.10235399498347321,0.1017219906408662,0.12309140440298837,0.08883958381375123,0.08372007649571363,0.0415506138803903,0.08490158271975816,0.09228766887099482,0.11258615582781391,0.11810840226154631,0.1063620757913668,0.0850358119912863,0.08702163930712759,0.07604363617283524,0.16376298817869445,0.09553126979015014,0.0753696250432203,0.09460518268767644,0.11884031371953778,0.08989063584449468,0.09599010108435965,0.11556686289051347,0.07550693759096887,0.09702328137451938,0.07365189466093268,0.10131490950821899,0.05926954468377517,0.08784317196696065,0.09727441611125712,0.08221000203219078,0.12009317866314258,0.10904405027113465,0.08722481116261807,0.09938716996573872,0.13131888899706787,0.13747214671407007,0.06408855658621716,0.11167115630911818,0.07325837595360071,0.06146470155092139,0.09045824774657377,0.0663751049789277,0.1242887046629269,0.08483290182775818,0.1597267768239752,0.05926620853812589,0.07804335303823179,0.08237789450504351,0.05815979858090607,0.10204557136096286,0.10027835602374842,0.0889645409055554,0.12063776236660172,0.10283150920121555,0.07962777859016493,0.06945934835299529,0.09980099746505455,0.08738889667281025,0.09773116540559128,0.08034035740146304,0.07135047007828046,0.07787490811116234,0.07131353099198193,0.08692917174594186,0.10786462132048602,0.0874218577014022,0.08925957153196115,0.11505581367471736,0.11301734324892067,0.08356111966192124,0.12111324629487089,0.07391011579660699,0.11177739687970772,0.050680425835725025,0.11262966227976987,0.09039971452664523,0.07138427547715043,0.11671554363111697,0.1320863260660754,0.09602349984440177,0.0786813126445641,0.08422539159370472,0.09419771984268202,0.056336917611228866,0.08221906174558326,0.09832196439781067,0.12850607869040687,0.10687209406393793,0.10647831206673193,0.08481912352726795,0.04139516080751838,0.07200961777148311,0.08316173771534988,0.07296899413896343,0.13170513073831946,0.1008684451754075,0.09297097911015346,0.05354182897059692,0.11654690540806194,0.0895947422250174,0.0741249840745392,0.15767614376832256,0.11803330056001107,0.07459889947494958,0.09894172643266973,0.12108610808727241,0.05876714681579294,0.03579341203381773,0.1221269219817119,0.1057297634659335,0.10256595652355181,0.1137211810282144
