Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Access Control,Authorization,402,0.018148164868403233,658.5925836127062,0.02973195718535083
1,Secure Development,Testing,6998,0.3159225317141438,4970.342019475531,0.22438454333779653
2,Data Security,Password/Data Storage,3506,0.15827727867816352,3089.861617368879,0.13949084092676983
3,Secure Development,Testing,31,0.001399485350548508,430.612480137308,0.019439866377920095
4,Access Control,Tokens,1290,0.05823664845830888,1190.403602649938,0.05374040010157275
5,Cryptography,Encryption,696,0.03142070335425037,680.7924231703728,0.03073416203197927
6,Other,,0,0.0,83.56189817881386,0.0037723758827508404
7,Other,,3,0.00013543406618211367,126.47103552939006,0.005709495532002621
8,Software Vulnerabilities,Network Exploits,626,0.028260575143334386,645.2488655232737,0.029129559185737605
9,Access Control,Authentication,2598,0.11728590131371044,2099.1168188687298,0.09476397539021848
10,Access Control,Authentication,313,0.014130287571667193,561.533273742345,0.025350244853159905
11,Software Vulnerabilities,Memory Management,93,0.0041984560516455235,261.92242724511743,0.011824406448698362
12,Cryptography,Encryption,413,0.018644756444404317,487.99777372367316,0.022030507594405363
13,Secure Development,Libraries/Configuration,163,0.0073585842625615095,498.0918776855542,0.022486202775746207
14,Secure Development,Implementation,57,0.00257324725746016,232.81143600149517,0.010510199810459806
15,Cryptography,Encoding,909,0.041036522053180445,885.7028345818471,0.03998477877214785
16,Network Security,Client/Server,1560,0.07042571441469911,1308.3658147294627,0.059065767447495046
17,Data Security,Digital Signature,208,0.009390095255293215,392.29774426005315,0.017710159553069982
18,Network Security,File Transfer,325,0.014672023836395648,582.657247784693,0.026303880085986775
19,Network Security,Digital Certificates,570,0.025732472574601598,570.3986469887968,0.025750469368822936
20,Cryptography,Encryption,390,0.017606428603674777,769.0247962765279,0.03471738505153392
21,Data Security,Password/Data Storage,692,0.031240124599340887,982.2777537352231,0.044344623436198057
22,Secure Development,Libraries/Configuration,308,0.013904564128030338,642.9150198513089,0.029024198449339032
