Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Data Security,Password/Data Storage,693,0.22098214285714285,587.6925566775826,0.18740196322626998
1,Secure Development,Libraries/Configuration,5,0.0015943877551020409,26.499960445791658,0.008450242489091727
2,Secure Development,Libraries/Configuration,235,0.07493622448979592,266.8275539387323,0.08508531694474883
3,Cryptography,Encryption,510,0.16262755102040816,450.46766165321606,0.14364402476186736
4,Secure Development,Testing,3,0.0009566326530612245,18.891173340372916,0.006023971090680139
5,Data Security,Password/Data Storage,3,0.0009566326530612245,13.142625519580179,0.0041908882396620465
6,Data Security,Digital Certificates,203,0.06473214285714286,190.95307376727942,0.06089064852272941
7,Software Vulnerabilities,Memory Management,161,0.05133928571428571,192.060909608339,0.06124391250265911
8,Network Security,Client/Server,322,0.10267857142857142,295.1203565771648,0.09410725656159591
9,Software Vulnerabilities,Race Condition,240,0.07653061224489796,222.74651907366206,0.07102886450052999
10,Access Control,Authentication,136,0.04336734693877551,150.32911256192892,0.04793657926081917
11,Secure Development,Implementation,4,0.0012755102040816326,19.55538977834658,0.00623577480176868
12,Cryptography,Encryption,446,0.14221938775510204,395.12047847106805,0.12599505053286608
13,Other,,4,0.0012755102040816326,21.96898582506401,0.007005416398298473
14,Cryptography,Encoding,27,0.00860969387755102,66.7655630622321,0.021290039241783198
15,Software Vulnerabilities,Memory Management,120,0.03826530612244898,164.93265527764015,0.052593321198227086
16,Network Security,Other,24,0.007653061224489796,52.92542512205546,0.01687672994963503
