Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Cryptography,Encoding,1234,0.03468630537440971,1487.043650919295,0.04179906821787989
1,Cryptography,Encryption,145,0.004075781425680234,433.9917182104182,0.012199002648145328
2,Secure Development,Implementation,84,0.0023611423431526874,500.55209946172545,0.014069937583250659
3,Data Security,Digital Signature,3292,0.09253429278165055,3362.0599485724815,0.09450359648562182
4,Network Security,Client/Server,1002,0.02816505509332134,1723.0295294413809,0.0484323569103154
5,Secure Development,Testing,10723,0.3014110636384079,8372.762999182101,0.2353486338875113
6,Cryptography,Encryption,2207,0.062036204182595006,1619.7049134154367,0.045528022077114816
7,Network Security,Digital Certificates,1018,0.02861479649201709,1211.9189523093228,0.03406563279484267
8,Secure Development,Implementation,911,0.025607150888239262,1381.123626518165,0.03882177947262663
9,Secure Development,Libraries/Configuration,5349,0.15035417135147292,4432.064807983988,0.12458018911580808
10,Access Control,Authentication,1831,0.051467281313244885,1943.9130403348536,0.05464113560644405
11,Software Vulnerabilities,Network Exploits,213,0.0059871823701371715,501.77768347349775,0.014104387324980261
12,Access Control,Tokens,1865,0.05242298178547335,1906.6315129082213,0.05359319521329608
13,Cryptography,Encryption,1265,0.03555767933438273,1371.919369686715,0.03856305851379343
14,Software Vulnerabilities,Race Condition,210,0.005902855857881718,866.6396040305044,0.024360231730113122
15,Access Control,Authentication,2859,0.08036316617944682,2770.435218773753,0.0778737131429546
16,Data Security,Password/Data Storage,1368,0.03845288958848662,1690.431323893281,0.04751605925042953
