Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Network Security,Digital Certificates,178,0.007867751060820367,430.48155078645505,0.019027649875638927
1,Software Vulnerabilities,Mitigation,804,0.035537482319660536,934.8831589898546,0.04132262902182879
2,Access Control,Tokens,1807,0.07987093352192362,1664.2688313745311,0.07356209473897327
3,Cryptography,Encoding,316,0.013967468175388967,459.6116370409072,0.02031522440951676
4,Access Control,Authentication,1057,0.04672029702970297,1214.8616234619112,0.05369791475697981
5,Secure Development,Implementation,1237,0.05467644978783592,1168.149963661548,0.05163321975165966
6,Secure Development,Implementation,12,0.0005304101838755304,202.7922112756205,0.00896358783926894
7,Data Security,Password/Data Storage,436,0.01927157001414427,795.6110866396775,0.03516668522983016
8,Secure Development,Libraries/Configuration,571,0.02523868458274399,628.8548360114655,0.027795917433321497
9,Software Vulnerabilities,Network Exploits,107,0.00472949080622348,221.85340124048525,0.0098061086121148
10,Network Security,Client/Server,415,0.018343352192362092,1085.7920357803814,0.047992929445738214
11,Access Control,Tokens,631,0.02789073550212164,692.5924280266627,0.03061317309170185
12,Cryptography,Encryption,595,0.02629950495049505,678.7636805457005,0.03000193071718973
13,Network Security,File Transfer,190,0.008398161244695898,693.7659731022723,0.030665044779980208
14,Other,,385,0.01701732673267327,706.8765998482559,0.031244545608568593
15,Secure Development,Implementation,158,0.006983734087694484,603.4376215774391,0.02667245498485852
16,Cryptography,Encryption,808,0.03571428571428571,638.0260124591223,0.028201291215484543
17,Secure Development,Implementation,9495,0.41968705799151346,5982.069521168247,0.264412549556588
18,Secure Development,Libraries/Configuration,1,4.42008486562942e-05,104.13074133285045,0.004602667138121042
19,Secure Development,Testing,2284,0.10095473833097596,2422.207439218648,0.10706362443505338
20,Other,,0,0.0,72.97298468481313,0.0032254678520514998
21,Software Vulnerabilities,Network Exploits,1137,0.0502563649222065,1221.9966561478795,0.05401328925689001
