Topic ID,Category,Sub-Category,Frequency,Norm Frequency,Share,Norm Share
0,Cryptography,Encryption,53,0.028509951586874662,85.42377141374163,0.04595146391271739
1,Secure Development,Implementation,59,0.03173749327595481,80.89512924128212,0.0435154003449608
2,Access Control,Authentication,60,0.0322754168908015,84.01891410001554,0.04519575798817404
3,Secure Development,Testing,47,0.025282409897794515,82.90822137077339,0.044598290140276164
4,Network Security,Digital Certificates,242,0.1301775147928994,116.17296497151256,0.06249218126493414
5,Secure Development,Implementation,73,0.0392684238838085,84.40121357818134,0.04540140590542299
6,Data Security,Password/Data Storage,109,0.0586336740182894,93.12489831028506,0.05009408193129912
7,Access Control,Tokens,95,0.05110274341043572,93.06417194008827,0.05006141578272634
8,Secure Development,Implementation,18,0.009682625067240451,68.9265235895291,0.03707720472809527
9,Secure Development,Testing,37,0.019903173749327596,79.6652128000278,0.0428537992469219
10,Secure Development,Libraries/Configuration,160,0.08606777837547068,99.6412003126461,0.053599354659841905
11,Secure Development,Libraries/Configuration,182,0.0979020979020979,109.58079369738698,0.058946096663467985
12,Secure Development,Implementation,45,0.02420656266810113,82.39283207128756,0.04432105006524344
13,Access Control,Authorization,61,0.0328133405056482,83.507330826018,0.04492056526413018
14,Cryptography,Encoding,155,0.08337816030123722,98.34571431600489,0.05290248214954539
15,Access Control,Tokens,119,0.06401291016675632,89.1063945197966,0.04793243384604443
16,Access Control,Authentication,55,0.029585798816568046,81.55888067791238,0.04387244791711263
17,Cryptography,Encryption,76,0.04088219472834857,84.85298502375372,0.0456444244345098
18,Data Security,Password/Data Storage,83,0.04464766003227542,89.56837003817782,0.048180941386862734
19,Secure Development,Implementation,34,0.01828940290478752,80.46542736771517,0.043284253559825264
20,Cryptography,Encryption,96,0.05164066702528241,91.37904991395772,0.049154948850972414
