Topic ID,Category,Sub-Category,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04
TOPIC 0,Cryptography,Encryption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027393272146582603,0,0,0,0,0,0,0,0,0,0,0,0,0.026620013639330864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022399742156267166,0,0,0,0,0,0,0,0.07168423011898994,0.02764037996530533,0.030643703415989876,0.12796680484380987,0.0385630801320076,0.04556198066307439,0.03584888321347535,0.036533411825075746,0.03813281711190939,0.04789965610123343,0.042211675395568214,0.03705420707248979,0.0638687233440578,0.03924241129841123,0.036733827522645396,0.033649992123246195,0.06574060708284378,0.04527939536741802,0.04249951100963004,0.07933283868161115,0.050830633767570056,0.03869265213974619,0.055029493239190846,0.038195724049821876,0.06907578174243956,0.035471800714731216,0.03953210689360276,0.041106925634988425,0.06617778528828261,0.06825413976452853,0.049740331510129646,0.0369409347737306,0.04245802702317978,0.04046272187877227,0.07513390147291563,0.04199057667883056,0.04993857595103758,0.03729673159412212,0.057628273851040634,0.05069174024869095,0.03938149510612411,0.04982945161378559,0.047522134302804865,0.0395778783907493,0.033104829490184784,0.061961342971171104,0.044719518445756126,0.035652284434921036,0.04085513568398627,0.039506801355041955,0.03884030874663343,0.04368520053950223,0.05139076845863691,0.0373944195990379,0.03263476819388176,0.04009141983284104,0.045829194926602,0.03375943901914137,0.04210533530108238,0.041895808009751914,0.04533715220168233,0.04308694615960121,0.039110569822552954,0.06120449502085303,0.033418183395218466,0.039125990122556686,0.03439668827923015,0.040877396622911476,0.040663125594296766,0.041488966438919306,0.05091517095110918
TOPIC 1,Secure Development,Implementation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030292842537164688,0,0,0,0,0,0,0,0,0,0,0,0,0.050018150359392166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020879289135336876,0,0,0,0,0,0,0,0.0438772551715374,0.02801176719367504,0.06327946484088898,0.03748035948309633,0.03863766541083654,0.03335264387230078,0.050690566189587116,0.04519415879622102,0.03957628421485424,0.050737436653839216,0.050834981724619865,0.03694558816237582,0.04229768024136623,0.05219163705727884,0.04378015920519829,0.05617655888199806,0.03656484417617321,0.04294207979525839,0.04204419438781984,0.03665583021938801,0.04193878585162262,0.034756744912426384,0.041259197828670345,0.04632448744124327,0.040545356213389075,0.05139723556259504,0.03807615541154519,0.03650377042077739,0.04482446195081223,0.03872657202086166,0.043532007111188695,0.04253222161021672,0.044434059603974736,0.061833502669983054,0.046077408773057604,0.04512373583786415,0.041592595201951486,0.04382118349894881,0.037175359655961845,0.03702257048677315,0.03816468539016862,0.04347834380014854,0.0406654360704124,0.044394784348292485,0.047912753570605725,0.03738273067339774,0.04794471200717532,0.05756331225102012,0.04759535927212599,0.06294453869524755,0.04729091674865534,0.04632876841633609,0.03571200814957802,0.04472578646471867,0.03909048746879164,0.043535918598213506,0.035130580092835074,0.038932045507762164,0.0435844493147574,0.0439827015045388,0.03819367731921375,0.04007794953882694,0.04144238871767333,0.03986303553242108,0.04253382506149431,0.050131295807659626,0.04324446237296797,0.051315546656648316,0.03689986172943346,0.0463393148384057,0.03883374497098358
TOPIC 2,Access Control,Authentication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03092634677886963,0,0,0,0,0,0,0,0,0,0,0,0,0.02440200373530388,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017886290326714516,0,0,0,0,0,0,0,0.056534646078944206,0.024347472935914993,0.05025395378470421,0.03084903996851709,0.035273065169652305,0.03400873475604587,0.035412478260695934,0.04616486304439604,0.04256620705127716,0.049238499564429127,0.044819295903046924,0.04910975156558885,0.04187705817942818,0.0379918715916574,0.04562201310570042,0.040642867758870126,0.031197543516755105,0.05356750046568257,0.03388388482305933,0.03798119181936437,0.03434409690089524,0.04711868883376675,0.045204605596760906,0.055062756372185856,0.04476505660397165,0.060073510743677616,0.06326167902443558,0.03836213726678799,0.04289228620744029,0.04417967244884685,0.039351737938630275,0.05117446669426404,0.04609125730549467,0.0533662848174572,0.039852812064482886,0.04299261195190025,0.05776196076638169,0.04126990995266371,0.047436734322797165,0.045915773223069584,0.048421882693806005,0.04689556940951768,0.03895573775904874,0.04232505020788974,0.037203830392921675,0.04347584955394268,0.03397416898413845,0.04257503803819418,0.04702963877582189,0.052739403063529415,0.035436658130493015,0.04685610837557099,0.060546839251541175,0.050404915442833535,0.06339823508537129,0.03969866091445569,0.060472060487989115,0.04054247670703464,0.04201615116509952,0.03937335986772488,0.043903287758843765,0.060760961398482326,0.053517411021809826,0.03552662789950083,0.03531556453315481,0.0423436826094985,0.04696468779002316,0.04686265515211301,0.051038340935784,0.03928704001009464,0.04439571735106016
TOPIC 3,Secure Development,Testing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02830871194601059,0,0,0,0,0,0,0,0,0,0,0,0,0.03292589262127876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020586589351296425,0,0,0,0,0,0,0,0.06965508125722408,0.025288473814725876,0.0503485519438982,0.0346989958650536,0.04695608466863632,0.03950292492906252,0.04544929997064173,0.049058134434744716,0.05072957575321198,0.042014761517445244,0.053357454016804695,0.04265166591438982,0.047345610335469246,0.04750633625579732,0.04004175076261163,0.05746439218521118,0.04175683874636889,0.04067489930561611,0.03968614394612172,0.05286698983135549,0.041350501434256635,0.04194707835891417,0.04566329096754392,0.04100257134399353,0.041248179232592094,0.04001264395908667,0.044640193693339825,0.05605341885881177,0.04492667713744003,0.03703162745621644,0.061730445052186646,0.039274231089573154,0.04370681922240504,0.03902537359253449,0.038426322807722235,0.04197322379684809,0.06365685951378611,0.04054393774519364,0.03729002857863,0.039987994357943535,0.04804505353733417,0.03707912920371575,0.04504722806935509,0.045912569750928216,0.04875838931869058,0.04152585920547285,0.0629676497824814,0.04041368038569753,0.04622423871787208,0.03802989952658352,0.07278525371414919,0.04628241231495684,0.04277945123612881,0.0424174672852342,0.045227932890779095,0.036155632486747157,0.04163902567918686,0.051906035040263775,0.04035466081021648,0.048501615573106144,0.037582820928138166,0.04118145003914833,0.04964353364745253,0.05274485374383371,0.04177152326390628,0.0456587561140103,0.038851996199809946,0.047745125798078686,0.04794182724529697,0.040019087377004325,0.04005482859027229
TOPIC 4,Network Security,Digital Certificates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03573821857571602,0,0,0,0,0,0,0,0,0,0,0,0,0.019059641286730766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016108719632029533,0,0,0,0,0,0,0,0.028784820809960365,0.019222019240260124,0.03228661231696606,0.09419295822994576,0.0394221730530262,0.03540620797624191,0.0932060587219894,0.0943579834420234,0.048024081811308864,0.05004249554541376,0.0685470479230086,0.07713132144676314,0.10889153586079676,0.0596328640489706,0.05166637049987912,0.11440408319234847,0.14004142777994275,0.08777850451213973,0.08850794800502412,0.05168903458186171,0.09747240467307468,0.06348294129462115,0.0679357550624344,0.05908325371833948,0.06347787785617744,0.054200627554494604,0.08267038565827534,0.06413437214134068,0.07314686498842961,0.07257843125415475,0.04965108479014956,0.06435439745454412,0.05098539918404201,0.043909529771874935,0.0418418745017227,0.07134266338790908,0.04705154661227156,0.06786295818164945,0.07258073948888165,0.044711686727223976,0.0697777513715048,0.04070537512683693,0.04190847999416292,0.05311917645546297,0.037457421641139424,0.04653433605187362,0.04527621149368908,0.05106976930354092,0.048202242589358124,0.06238769239893085,0.06268397827322285,0.06849839123473926,0.08214555114794236,0.07095286758759847,0.08651470525288268,0.08763557522287292,0.04893602545866195,0.04606689347161187,0.0733067532511134,0.06356431152029283,0.046646162764065795,0.04060508660972118,0.04916913454469882,0.05076759584761899,0.07120307916474919,0.07705495918967895,0.05046541953925043,0.04789349489296094,0.06927146107679413,0.05168919684365392,0.04168855788578328
TOPIC 5,Secure Development,Implementation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03611190617084503,0,0,0,0,0,0,0,0,0,0,0,0,0.01954335719347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024372760206460953,0,0,0,0,0,0,0,0.04517823737114668,0.04034683480858803,0.0683611985296011,0.026948917967577774,0.03743178521593412,0.12156633080707656,0.042924369452521205,0.0657121860422194,0.03703106641769409,0.044974323672552906,0.038603560999035835,0.06196481527553664,0.03925624256953597,0.03740974821682487,0.04379816142221292,0.045476870611310005,0.03920908879488707,0.04356009694082397,0.03902642308350872,0.0414472204125063,0.045912868808954954,0.0354460816181797,0.038112787529826164,0.04067120717790646,0.04745037437361829,0.04221368914183516,0.040012495941482484,0.0390235966328403,0.04596020276983117,0.04710897666059042,0.0399414267964088,0.056892380706573785,0.04599497248900348,0.044227351489312505,0.047431541634175706,0.03802559795704755,0.04043255028901277,0.03711255598399374,0.03403651544993574,0.0373473573250301,0.05172361181147637,0.06102347434224451,0.042239005444571376,0.0459956427415212,0.04786400420262533,0.056018962134276665,0.04555961918895659,0.051996058029298846,0.05119301883898901,0.03775296693569735,0.041187973537792764,0.039608336025566765,0.03619992231520323,0.0517726271914748,0.04550712952684415,0.04139856916041144,0.03318325063104138,0.047366511076688766,0.04199345635348245,0.047071848514265026,0.0328584753183855,0.04646523311734199,0.05114658083766699,0.035756911761287986,0.04724246218440033,0.057348906328635554,0.06747425967478193,0.04797085603842369,0.043595349295966083,0.054043316922616214,0.056940380777967606
TOPIC 6,Data Security,Password/Data Storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750974714756012,0,0,0,0,0,0,0,0,0,0,0,0,0.3995349109172821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023894742131233215,0,0,0,0,0,0,0,0.05504619516432285,0.11520721018314362,0.03826667554676533,0.04597825391425027,0.07050164230167866,0.04513478693034914,0.0399461155757308,0.059158535208553076,0.0697501927614212,0.056673563085496426,0.03816322100659211,0.06659429261667861,0.04772798748066028,0.04857348843610713,0.0650334958297511,0.034277069941163064,0.043763848058879375,0.04509232049541814,0.04869577392716618,0.047809762160547754,0.053707948264976345,0.04971987217764503,0.04393674267662896,0.05328340112016751,0.04608276053605711,0.052819003780873924,0.04329056717688218,0.04419039793569466,0.050474154806241046,0.03849323520338849,0.05841610031441236,0.04458715997048115,0.04997644200921059,0.05614213300321032,0.052433815401266605,0.042121765119108284,0.04494663976408817,0.05397123243245813,0.047944242050024594,0.05234048428070365,0.049543443226045175,0.04713779282482231,0.04530193726532161,0.04405383325906263,0.05004140625105185,0.042987249971878146,0.05227671968548194,0.04327313476116271,0.039729654055201645,0.05720373831297222,0.04671988810878247,0.06127757381534937,0.06486735249368045,0.06460724025964737,0.0384497556737379,0.04350206207844519,0.0315862072576933,0.05450276409586271,0.09124308314762618,0.038655455641705416,0.04027598234824836,0.0733613270521164,0.0503652005358354,0.05655106844316269,0.054856138724473216,0.06729725302596178,0.039984284521779045,0.05073597229635104,0.043383153936555306,0.034707623650319874,0.06174810461111759
TOPIC 7,Access Control,Tokens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026370622217655182,0,0,0,0,0,0,0,0,0,0,0,0,0.07840331643819809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016730865463614464,0,0,0,0,0,0,0,0.02403300441801548,0.09597260504961014,0.09839831478893757,0.037287344535191856,0.06946672312915325,0.03977526589814159,0.0343509903177619,0.03324818122200668,0.05713626965880394,0.04514677636325359,0.07774122369786103,0.0446352589254578,0.03406931816910704,0.05177659089011805,0.04543901809180776,0.04173023328185081,0.04580254875123501,0.05178197116724082,0.04934917905313127,0.04595338544723662,0.05138752508598069,0.049132023439077396,0.045138811278674335,0.04881223310262729,0.05025965339668533,0.04600758220140751,0.04518908774480224,0.05348744538837466,0.05032581907458777,0.04655501339584589,0.05961058451197086,0.051753034962243157,0.04291120235776079,0.04414346326580819,0.04718003731549663,0.04471253084413933,0.05971462196773953,0.04798863502219319,0.06392873067295912,0.05433273431139462,0.05088360018787846,0.040649082566447114,0.05501266693075498,0.04970889145301448,0.038013091749128175,0.04012843044174294,0.04857122468883577,0.046202322216452776,0.06389270217694117,0.04448077906119196,0.049177070322912186,0.04627121491075465,0.04322684004616279,0.048168614435081296,0.03742322977632284,0.05474700255980415,0.05370641080662608,0.048382282808974934,0.04565757650293802,0.04038701013758265,0.05418007634580135,0.04418370708823204,0.046929445607881794,0.07849440222670293,0.05471212897569903,0.05223336895661695,0.0717733369092457,0.052312179205891415,0.05297294397267603,0.04860003379872069,0.054670472629368305
TOPIC 8,Secure Development,Implementation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458388477563858,0,0,0,0,0,0,0,0,0,0,0,0,0.02635776251554489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01900252141058445,0,0,0,0,0,0,0,0.03398462850600481,0.03325999528169632,0.03548464737832546,0.030836511817243364,0.028176649784048397,0.026846385250488918,0.028749914141371846,0.02856708026956767,0.044344208762049676,0.03389156868474351,0.03383356916407744,0.04922216975440582,0.04319763028373321,0.03907837253063917,0.03279621411735813,0.04864093109965324,0.04150367956608534,0.04343232821140971,0.03827337986406158,0.03347365473481742,0.041921835547933974,0.07421690950702343,0.03210953607534369,0.03704194046365909,0.04057471522623125,0.038521029914800935,0.03311721619684249,0.04009108547249745,0.03561343659841737,0.034980879238757645,0.03407183048339226,0.037946304992625586,0.035080288633190355,0.036036495174116945,0.034380560576477474,0.034520319239659744,0.034043422934633714,0.0334675088007417,0.032671175417349194,0.032690497002366814,0.04339863666363301,0.0329939226674683,0.03292404068633914,0.037576051998055644,0.03145468815722886,0.03208185759403052,0.029113469321442688,0.033581373281776905,0.03119976203324217,0.04154487267920846,0.036394949265134834,0.033606192605061966,0.03262097510294272,0.0350595939761171,0.028042098115149298,0.03480679842252885,0.033892494242857486,0.03193528794993957,0.035805819850218926,0.03649792511915338,0.06274010414361125,0.04321497365832329,0.036267866919699465,0.03405455345737523,0.039152968013959545,0.033443694934248924,0.03201013905345462,0.03838452295615123,0.03690645732586422,0.046373736462555826,0.030704439152032137
TOPIC 9,Secure Development,Testing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05438520386815071,0,0,0,0,0,0,0,0,0,0,0,0,0.024650592356920242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028191739693284035,0,0,0,0,0,0,0,0.029619560576975346,0.03342864289879799,0.04380767047405243,0.03444727241165108,0.04555918710927168,0.031025213810304802,0.03667332883924246,0.03529838006943464,0.059819957800209524,0.037172658989826836,0.0346328337987264,0.037783087955580816,0.03451367405553659,0.04659581936097571,0.0441752353683114,0.04428031593561173,0.03396993055939675,0.037134535823549544,0.03777377888122026,0.039321615657007154,0.04170553161141773,0.04016671452804336,0.05390794575214386,0.045814637858898215,0.03459999532274464,0.048218943715955205,0.04041985602816567,0.04700734992993289,0.04059423880954815,0.03596813045442104,0.03580901905512198,0.03913460858166218,0.03609176192047267,0.03772868583088412,0.035747739185086065,0.042114267351500916,0.037456611102377926,0.05011374048060841,0.057080064194672035,0.04596936409220551,0.038429157327740424,0.04613150700050242,0.03783044110362729,0.048422670664472714,0.036877335542265105,0.03662843431436246,0.038798186199172684,0.035138935958211485,0.042643961157988415,0.05210012030836783,0.03551481512840837,0.04943439014481776,0.03846113419590088,0.03826666007248255,0.03915545805112312,0.04003211146881504,0.06063492930329898,0.04933333424506364,0.041177382398592796,0.03871446729091735,0.054989594138330884,0.06158857837319374,0.04915917625552729,0.06450433112231307,0.053658464532946384,0.050152404666213055,0.040794409927912056,0.03709634756430601,0.050789317176226645,0.0440573773230426,0.039142972471094446
